,RBP4,ORM2,HYDIN,Cluster
EV27,19.230135394009526,21.57503275445787,0.0,0
EV18,18.107130215345126,20.879684200992195,0.0,0
EV17,18.72102573801928,20.725215625330666,0.0,0
EV28,18.091280413907768,19.92932487743015,0.0,0
EV15,16.298823319986106,19.85933762044125,0.0,0
EV29,17.48715701577059,19.772222739933227,0.0,0
EV19,17.377896799811744,19.726763644453733,0.0,0
EV25,17.240428004477415,19.69289810167777,0.0,0
EV20,17.582340479734658,19.472064092747633,0.0,0
EV30,18.111059237005207,19.464765092479123,0.0,0
EV22,17.46460158604399,19.31088122078952,0.0,0
EV26,17.074266923586634,19.21242038787832,0.0,0
EV23,17.93451442834442,18.990428094954677,0.0,0
EV11,0.0,18.73047677110364,0.0,2
EV16,18.138216793974955,18.60944569745855,0.0,0
EV24,16.99469594786956,18.513588821159082,0.0,0
EV21,16.85593910121579,18.037252010387334,0.0,0
EV5,0.0,17.970852980449123,17.542465134492765,1
EV13,0.0,17.38958092739949,20.58994093931201,1
EV10,16.843418120051226,17.235355161317454,0.0,0
EV6,0.0,16.90478748129551,17.938367813497248,1
EV3,0.0,16.835186886810106,19.149657821410948,1
EV9,16.902198441364547,16.562808847524387,0.0,0
EV14,0.0,16.44670370667828,20.24713595889942,1
EV12,0.0,16.198118863416287,19.730955991079643,1
EV7,0.0,15.617137403014981,16.067224260556507,1
EV1,0.0,15.340841097772264,19.637282892526038,1
EV4,0.0,14.754522190244636,19.776967890715355,1
EV2,0.0,14.177030157122418,19.70112198394891,1
