Accession,Title,SubmissionDate,Proposed_Disease_Label,Sample_Type,Review_Decision
PXD068982,Advancing Plasma Proteomics for the Discovery of Ovarian Cancer Biomarkers ,2025-09-30,Ovarian Cancer,Plasma/Serum,Pending
PXD061889,The Multiomics Landscape of Plasma Exosomes in First-Episode Drug-Naïve of Schizophrenia,2025-03-16,Unknown (Check Title),Plasma/Serum,Pending
PXD060460,Newly-Diagnosed Rheumatoid Arthritis Patients have Elevated Levels of Plasma Extracellular Vesicles with Protein Cargo Altered Towards Inflammatory Processes,2025-02-04,Rheumatoid Arthritis,Plasma/Serum,Pending
PXD058373,A translational protocol for the analysis of plasma-derived extracellular vesicle proteomics,2024-11-28,Unknown (Check Title),Plasma/Serum,Pending
PXD046189,Feasibility of phosphoproteomics to uncover oncogenic signalling in secreted extracellular vesicles using glioblastoma-EGFRVIII cells as a model,2023-10-17,Unknown (Check Title),Plasma/Serum,Pending
PXD041028,HIV-1 Nef changes the proteome of T cells extracellular vesicles,2023-03-22,HIV,Plasma/Serum,Pending
PXD036491,"Proteomic analysis identifies a signature of disease severity in the plasma of COVID-19 pneumonia patients associated to neutrophil, platelet and complement activation",2022-09-02,COVID-19,Plasma/Serum,Pending
PXD035884,Unbiased undepleted malignant pleural effusion proteomics study,2022-08-08,Unknown (Check Title),Plasma/Serum,Pending
PXD035422,Data in support of Temporal changes of inflammation and endothelial dysfunction in multiple sclerosis related to the evolution of enhancing lesions on frequent brain MRI,2022-07-20,Unknown (Check Title),Plasma/Serum,Pending
PXD034369,Isolation and Characterisation of EVs from Feline Plasma: A Comparative Analysis with Human Plasma Derived EVs,2022-06-06,Unknown (Check Title),Plasma/Serum,Pending
PXD033989,Serum Proteomics of Severe Fever with Thrombocytopenia Syndrome Patients,2022-05-19,Unknown (Check Title),Plasma/Serum,Pending
PXD032394,Comparison of performances of automatic versus manual liquid handling in density-based separation of extracellular vesicles from plasma and urine,2022-03-18,Unknown (Check Title),Plasma/Serum,Pending
PXD028944,Circulating Microvesicles and Exosomes in Small Cell Lung Cancer by Quantitative Proteomics,2021-10-05,Lung Cancer,Plasma/Serum,Pending
PXD028885,Circulating Microvesicles and Exosomes in Small Cell Lung Cancer by Quantitative Proteomics,2021-10-01,Lung Cancer,Plasma/Serum,Pending
PXD026340,Modulation of Early Neutrophil Granulation: The Circulating Tumor Cell-Extravesicular Connection in Pancreatic Ductal  Adenocarcinoma,2021-05-28,Pancreatic Cancer,Plasma/Serum,Pending
PXD024216,Shotgun-based Proteomics of Extracellular Vesicles in Alzheimer’s Disease Reveals Biomarkers Involved in Immunological and Coagulation Pathways,2021-02-17,Alzheimer's Disease,Plasma/Serum,Pending
PXD021677,"Clinical proteomics data contains uniquely identifiable, personally sensitive and incidental findings",2020-09-25,Unknown (Check Title),Plasma/Serum,Pending
PXD020629,Distinct features of plasma extracellular vesicles in amyotrophic lateral sclerosis patients,2020-07-29,ALS,Plasma/Serum,Pending
PXD019945,Identification of candidate circulating glucocorticoid response biomarkers in humans using a proteomic approach,2020-07-02,Unknown (Check Title),Plasma/Serum,Pending
PXD019817,Plasma proteome changes during the first week of human life in two independent cohorts,2020-06-16,Unknown (Check Title),Plasma/Serum,Pending
PXD019566,Nidogen 1-enriched extracellular vesicles facilitate extrahepatic metastasis of liver cancer by activating pulmonary lung fibroblasts to secrete tumor necrosis factor  receptor 1,2020-06-04,Liver Cancer,Plasma/Serum,Pending
PXD013234,Comparison of proteome composition of serum enriched in extracellular vesicles isolated from polycythemia vera patients and healthy controls,2019-03-26,Unknown (Check Title),Plasma/Serum,Pending
PXD004420,Proteome profiling of blood plasma-derived exosomes in chronic lymphocytic leukemia,2016-06-22,Unknown (Check Title),Plasma/Serum,Pending
