miRNA,DRR006757,DRR006758,DRR006759
hsa-let-7a-5p,29.0,465.0,96.0
hsa-let-7b-5p,17.0,231.0,333.0
hsa-let-7c-3p,0.0,1.0,0.0
hsa-let-7c-5p,1.0,31.0,12.0
hsa-let-7d-5p,0.0,1.0,0.0
hsa-let-7e-5p,1.0,1.0,0.0
hsa-let-7f-5p,9.0,96.0,49.0
hsa-let-7g-5p,0.0,4.0,7.0
hsa-let-7i-5p,2.0,2.0,0.0
hsa-miR-1-3p,9.0,36.0,67.0
hsa-miR-101-3p,1.0,1.0,2.0
hsa-miR-103a-3p,0.0,7.0,3.0
hsa-miR-10401-3p,0.0,0.0,1.0
hsa-miR-106b-5p,0.0,1.0,0.0
hsa-miR-107,0.0,2.0,3.0
hsa-miR-10a-5p,0.0,1.0,0.0
hsa-miR-10b-5p,0.0,3.0,0.0
hsa-miR-1245a,0.0,2.0,0.0
hsa-miR-1246,0.0,1.0,0.0
hsa-miR-1248,0.0,0.0,1.0
hsa-miR-1255a,0.0,0.0,1.0
hsa-miR-125b-5p,0.0,1.0,2.0
hsa-miR-126-3p,0.0,0.0,1.0
hsa-miR-1275,0.0,21.0,0.0
hsa-miR-128-3p,0.0,1.0,1.0
hsa-miR-1291,1.0,9.0,51.0
hsa-miR-1302,0.0,2.0,0.0
hsa-miR-1307-5p,1.0,1.0,1.0
hsa-miR-130b-3p,0.0,1.0,3.0
hsa-miR-132-5p,0.0,2.0,0.0
hsa-miR-1323,0.0,0.0,4.0
hsa-miR-138-5p,0.0,0.0,1.0
hsa-miR-140-3p,0.0,4.0,3.0
hsa-miR-141-3p,0.0,0.0,1.0
hsa-miR-142-3p,2.0,0.0,45.0
hsa-miR-142-5p,0.0,2.0,1.0
hsa-miR-143-3p,1.0,4.0,10.0
hsa-miR-144-5p,0.0,0.0,3.0
hsa-miR-145-5p,0.0,0.0,2.0
hsa-miR-146a-5p,1.0,3.0,6.0
hsa-miR-146b-5p,3.0,5.0,34.0
hsa-miR-148a-3p,0.0,0.0,1.0
hsa-miR-149-3p,0.0,43.0,0.0
hsa-miR-151a-3p,0.0,0.0,2.0
hsa-miR-151a-5p,0.0,0.0,1.0
hsa-miR-181a-5p,0.0,1.0,0.0
hsa-miR-181b-5p,0.0,0.0,1.0
hsa-miR-182-5p,1.0,0.0,4.0
hsa-miR-184,0.0,3.0,2.0
hsa-miR-185-5p,0.0,5.0,8.0
hsa-miR-186-5p,0.0,5.0,0.0
hsa-miR-1908-3p,0.0,11.0,0.0
