miRNA,DRR127191,DRR127193,DRR127195
hsa-let-7a-5p,447.03,1638.43,41.39
hsa-let-7b-5p,22.35,145.95,1.23
hsa-let-7c-5p,27.94,113.0,31.27
hsa-let-7d-3p,0.0,37.67,0.0
hsa-let-7d-5p,11.18,61.21,0.0
hsa-let-7e-5p,0.0,14.12,0.0
hsa-let-7f-5p,279.39,1097.0,59.17
hsa-let-7g-5p,39.12,503.77,0.0
hsa-let-7i-5p,201.16,268.36,9.5
hsa-miR-100-5p,0.0,32.96,0.0
hsa-miR-101-3p,268.22,663.85,18.4
hsa-miR-10394-3p,0.0,0.0,6.13
hsa-miR-10394-5p,0.0,0.0,5.83
hsa-miR-103a-3p,268.22,353.11,154.52
hsa-miR-10401-3p,22.35,18.83,3.99
hsa-miR-106b-3p,329.68,456.69,48.44
hsa-miR-106b-5p,5.59,169.49,0.0
hsa-miR-107,11.18,1209.99,0.61
hsa-miR-10a-3p,0.0,4.71,0.0
hsa-miR-10a-5p,27.94,258.95,6.74
hsa-miR-10b-5p,4358.54,2419.99,496.67
hsa-miR-1180-3p,5.59,9.42,0.0
hsa-miR-1185-5p,0.0,4.71,0.0
hsa-miR-12136,0.0,4.71,0.0
hsa-miR-122-5p,0.0,4.71,0.0
hsa-miR-1226-5p,0.0,4.71,0.0
hsa-miR-1246,106.17,710.93,0.0
hsa-miR-1256,0.0,4.71,0.0
hsa-miR-125a-3p,0.0,4.71,0.0
hsa-miR-125a-5p,5.59,56.5,4.29
hsa-miR-125b-5p,0.0,18.83,3.99
hsa-miR-126-3p,0.0,70.62,0.0
hsa-miR-126-5p,0.0,743.89,4.29
hsa-miR-127-3p,5.59,993.42,0.0
hsa-miR-127-5p,0.0,9.42,0.0
hsa-miR-1270,22.35,9.42,0.0
hsa-miR-1273h-3p,0.0,23.54,0.0
hsa-miR-1275,5.59,47.08,0.0
hsa-miR-128-1-5p,89.41,23.54,9.2
hsa-miR-128-3p,5.59,616.77,0.0
hsa-miR-1285-3p,106.17,23.54,0.0
hsa-miR-1285-5p,5.59,0.0,0.0
hsa-miR-1303,16.76,0.0,0.0
hsa-miR-1307-3p,201.16,84.75,54.27
hsa-miR-1307-5p,16.76,527.31,0.0
hsa-miR-130a-3p,5.59,70.62,0.0
hsa-miR-130b-3p,184.4,178.91,5.83
hsa-miR-130b-5p,0.0,18.83,0.0
hsa-miR-132-3p,16.76,4.71,0.0
hsa-miR-136-3p,0.0,23.54,2.76
hsa-miR-136-5p,0.0,14.12,0.0
hsa-miR-138-1-3p,0.0,4.71,0.0
hsa-miR-138-5p,22.35,37.67,0.0
hsa-miR-139-5p,0.0,56.5,0.0
hsa-miR-140-3p,245.87,174.2,22.38
hsa-miR-140-5p,0.0,4.71,0.0
hsa-miR-141-3p,0.0,14.12,0.0
hsa-miR-142-3p,22.35,37.67,0.0
