miRNA,DRR213885,DRR213886
hsa-let-7a-2-3p,0.14,0.12
hsa-let-7a-3p,0.95,1.58
hsa-let-7a-5p,290.84,258.79
hsa-let-7b-3p,0.14,0.36
hsa-let-7b-5p,169.36,134.74
hsa-let-7c-5p,18.23,19.07
hsa-let-7d-3p,2.99,2.19
hsa-let-7d-5p,8.16,8.63
hsa-let-7e-5p,8.03,6.32
hsa-let-7f-1-3p,0.0,0.36
hsa-let-7f-2-3p,0.14,0.0
hsa-let-7f-5p,150.72,137.78
hsa-let-7g-5p,91.96,77.76
hsa-let-7i-5p,235.88,194.03
hsa-miR-1-3p,0.27,0.12
hsa-miR-100-5p,662.21,556.7
hsa-miR-101-3p,0.95,1.7
hsa-miR-10395-3p,0.14,0.0
hsa-miR-103a-3p,2.45,1.09
hsa-miR-10401-3p,0.27,0.73
hsa-miR-106b-3p,2.31,3.04
hsa-miR-106b-5p,0.41,0.24
hsa-miR-107,0.14,0.24
hsa-miR-10a-3p,2.31,3.04
hsa-miR-10a-5p,250.71,201.93
hsa-miR-10b-3p,0.27,0.12
hsa-miR-10b-5p,223.64,185.04
hsa-miR-1180-3p,1.63,1.58
hsa-miR-1185-1-3p,0.54,1.34
hsa-miR-1185-2-3p,0.82,0.36
hsa-miR-12136,0.27,0.24
hsa-miR-122-5p,1.5,0.0
hsa-miR-1246,9.79,8.14
hsa-miR-1248,0.14,0.24
hsa-miR-1249-3p,0.0,0.12
hsa-miR-1255a,0.14,0.49
hsa-miR-1256,0.0,0.12
hsa-miR-125a-3p,0.54,0.73
hsa-miR-125a-5p,10.2,9.6
hsa-miR-125b-1-3p,7.62,5.59
hsa-miR-125b-2-3p,0.14,0.0
hsa-miR-125b-5p,23.67,17.98
hsa-miR-126-3p,0.54,0.85
hsa-miR-1260b,0.0,0.12
hsa-miR-1268a,0.27,0.0
hsa-miR-1269a,0.14,0.0
hsa-miR-127-3p,37.68,28.43
hsa-miR-127-5p,0.27,0.36
hsa-miR-1271-5p,1.09,0.85
hsa-miR-1275,0.14,0.0
hsa-miR-1276,0.14,0.0
hsa-miR-1277-3p,0.14,0.0
hsa-miR-1278,0.27,0.49
hsa-miR-128-3p,65.3,47.75
hsa-miR-1285-3p,0.27,0.49
hsa-miR-1285-5p,2.31,1.7
hsa-miR-1287-5p,0.41,0.12
hsa-miR-129-5p,0.14,0.61
hsa-miR-1291,0.0,0.24
hsa-miR-1292-5p,0.0,0.12
hsa-miR-1296-5p,0.0,0.12
hsa-miR-1299,0.14,0.24
hsa-miR-1301-3p,0.68,0.36
hsa-miR-1303,0.27,0.36
hsa-miR-1304-3p,0.14,0.49
hsa-miR-1304-5p,0.41,0.12
hsa-miR-1305,0.0,0.12
hsa-miR-1306-3p,0.0,0.24
hsa-miR-1307-3p,6.53,4.98
hsa-miR-1307-5p,0.41,0.12
hsa-miR-130a-3p,0.41,0.49
hsa-miR-130b-3p,0.0,0.24
hsa-miR-130b-5p,2.18,2.55
hsa-miR-132-3p,1.09,1.09
hsa-miR-132-5p,0.54,0.61
hsa-miR-1323,0.14,0.0
hsa-miR-134-5p,16.05,15.31
hsa-miR-136-3p,1.63,1.34
hsa-miR-136-5p,1.09,0.85
hsa-miR-137-3p,0.0,0.36
hsa-miR-137-5p,0.41,0.0
hsa-miR-138-1-3p,0.0,0.24
hsa-miR-138-5p,3.4,5.95
hsa-miR-139-5p,0.82,0.49
hsa-miR-140-3p,5.71,6.07
hsa-miR-140-5p,0.95,1.09
hsa-miR-141-3p,0.0,0.12
hsa-miR-142-5p,0.27,0.0
hsa-miR-143-3p,8.03,6.32
hsa-miR-145-3p,0.27,0.0
hsa-miR-1468-5p,0.0,0.12
hsa-miR-146a-5p,0.54,0.73
hsa-miR-146b-3p,0.27,0.12
hsa-miR-146b-5p,130.46,146.65
hsa-miR-148a-3p,705.06,626.92
hsa-miR-148a-5p,0.54,0.49
hsa-miR-148b-3p,8.57,5.35
hsa-miR-148b-5p,0.27,0.12
hsa-miR-149-5p,3.67,4.62
hsa-miR-151a-3p,89.24,78.61
hsa-miR-151a-5p,0.14,0.0
hsa-miR-152-3p,5.03,5.95
hsa-miR-152-5p,0.0,0.12
hsa-miR-154-5p,0.0,0.12
