miRNA,DRR213885,DRR213886
hsa-let-7a-2-3p,1.0,1.0
hsa-let-7a-3p,7.0,13.0
hsa-let-7a-5p,2138.0,2130.0
hsa-let-7b-3p,1.0,3.0
hsa-let-7b-5p,1245.0,1109.0
hsa-let-7c-5p,134.0,157.0
hsa-let-7d-3p,22.0,18.0
hsa-let-7d-5p,60.0,71.0
hsa-let-7e-5p,59.0,52.0
hsa-let-7f-1-3p,0.0,3.0
hsa-let-7f-2-3p,1.0,0.0
hsa-let-7f-5p,1108.0,1134.0
hsa-let-7g-5p,676.0,640.0
hsa-let-7i-5p,1734.0,1597.0
hsa-miR-1-3p,2.0,1.0
hsa-miR-100-5p,4868.0,4582.0
hsa-miR-101-3p,7.0,14.0
hsa-miR-10395-3p,1.0,0.0
hsa-miR-103a-3p,18.0,9.0
hsa-miR-10401-3p,2.0,6.0
hsa-miR-106b-3p,17.0,25.0
hsa-miR-106b-5p,3.0,2.0
hsa-miR-107,1.0,2.0
hsa-miR-10a-3p,17.0,25.0
hsa-miR-10a-5p,1843.0,1662.0
hsa-miR-10b-3p,2.0,1.0
hsa-miR-10b-5p,1644.0,1523.0
hsa-miR-1180-3p,12.0,13.0
hsa-miR-1185-1-3p,4.0,11.0
hsa-miR-1185-2-3p,6.0,3.0
hsa-miR-12136,2.0,2.0
hsa-miR-122-5p,11.0,0.0
hsa-miR-1246,72.0,67.0
hsa-miR-1248,1.0,2.0
hsa-miR-1249-3p,0.0,1.0
hsa-miR-1255a,1.0,4.0
hsa-miR-1256,0.0,1.0
hsa-miR-125a-3p,4.0,6.0
hsa-miR-125a-5p,75.0,79.0
hsa-miR-125b-1-3p,56.0,46.0
hsa-miR-125b-2-3p,1.0,0.0
hsa-miR-125b-5p,174.0,148.0
hsa-miR-126-3p,4.0,7.0
hsa-miR-1260b,0.0,1.0
hsa-miR-1268a,2.0,0.0
hsa-miR-1269a,1.0,0.0
hsa-miR-127-3p,277.0,234.0
hsa-miR-127-5p,2.0,3.0
hsa-miR-1271-5p,8.0,7.0
hsa-miR-1275,1.0,0.0
hsa-miR-1276,1.0,0.0
hsa-miR-1277-3p,1.0,0.0
hsa-miR-1278,2.0,4.0
hsa-miR-128-3p,480.0,393.0
hsa-miR-1285-3p,2.0,4.0
hsa-miR-1285-5p,17.0,14.0
hsa-miR-1287-5p,3.0,1.0
hsa-miR-129-5p,1.0,5.0
