miRNA,ERR1682041,ERR1682042,ERR1682043,ERR1682044,ERR1682045,ERR1682046,ERR1682047,ERR1682048,ERR1682049,ERR1682050,ERR1682051,ERR1682052,ERR1682053,ERR1682054,ERR1682055,ERR1682056,ERR1682057,ERR1682058,ERR1682059,ERR1682060,ERR1682061,ERR1682062,ERR1682063,ERR1682064,ERR1682065
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.38,0.0
hsa-let-7a-3p,0.0,9.77,13.93,0.0,0.0,24.36,0.0,3.34,5.97,10.83,35.02,13.0,24.96,49.81,0.0,17.45,33.16,100.97,17.14,0.0,0.0,24.39,0.0,16.76,0.0
hsa-let-7a-5p,3528.15,8320.17,7740.96,3725.89,2957.07,7420.84,313.65,688.24,2645.25,3280.96,9819.39,2626.0,2970.1,11671.34,8726.6,2610.42,6076.68,12792.42,4824.13,3067.25,2980.85,13902.1,2651.09,8631.6,1562.81
hsa-let-7b-3p,10.66,26.06,13.93,22.95,33.99,10.44,0.0,0.0,0.0,0.0,8.76,0.0,0.0,0.0,0.0,0.0,8.29,30.29,0.0,25.14,18.87,48.78,49.09,25.14,0.0
hsa-let-7b-5p,1673.47,3847.34,3863.51,1797.91,2243.3,4507.5,432.61,461.05,1540.57,2468.84,6061.06,1040.0,2296.21,5047.07,3559.03,1179.57,2959.59,6290.2,2956.17,4072.91,3678.9,4999.88,2896.56,3477.78,1367.45
hsa-let-7c-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.31,0.0,0.0,0.0,0.0,0.0,3.49,0.0,10.1,0.0,0.0,18.87,0.0,0.0,0.0,0.0
hsa-let-7c-5p,469.0,1283.53,1184.13,849.23,441.86,1385.32,237.94,143.66,423.96,801.29,2324.61,247.0,449.26,1859.45,962.59,254.76,762.69,2271.74,1568.06,527.97,735.78,1146.31,441.85,896.68,586.05
hsa-let-7d-3p,10.66,39.09,65.01,7.65,0.0,139.23,0.0,6.68,17.91,43.31,45.97,52.0,87.36,66.41,38.0,6.98,116.06,151.45,85.69,125.71,132.06,268.29,147.28,201.12,195.35
hsa-let-7d-5p,277.14,403.95,413.28,183.62,135.96,320.22,75.71,40.09,143.31,205.74,343.66,299.0,162.23,597.68,519.29,188.45,256.99,272.61,222.78,75.42,169.8,536.57,147.28,351.97,195.35
hsa-let-7e-3p,0.0,6.52,4.64,0.0,0.0,3.48,0.0,0.0,5.97,10.83,6.57,13.0,12.48,0.0,0.0,0.0,8.29,0.0,0.0,0.0,18.87,0.0,0.0,16.76,0.0
hsa-let-7e-5p,522.29,1045.72,891.58,604.41,67.98,859.73,43.26,100.23,471.73,573.9,654.48,533.0,287.03,1128.95,1101.91,307.11,588.6,777.44,505.55,351.98,584.85,2097.51,785.51,1122.95,586.05
hsa-let-7f-1-3p,0.0,0.0,13.93,0.0,0.0,3.48,0.0,3.34,0.0,0.0,2.19,0.0,0.0,0.0,12.67,6.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-5p,1801.38,3182.77,4156.06,1943.28,5744.2,2690.58,173.05,484.44,1122.59,3486.7,4246.46,3744.0,4654.82,11571.73,9486.54,2624.38,3689.12,5522.85,2502.04,1885.61,1848.88,9365.63,4614.86,4542.06,10353.58
hsa-let-7g-3p,0.0,6.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7g-5p,863.38,1101.1,1328.08,795.67,781.75,817.96,32.45,223.84,208.99,617.21,1035.35,819.0,823.64,2739.36,1456.54,820.12,1334.72,2403.0,1165.33,678.82,811.24,2243.85,883.7,1097.81,195.35
hsa-let-7i-3p,0.0,0.0,0.0,7.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,16.6,12.67,6.98,8.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7i-5p,21.32,65.15,88.23,15.3,33.99,80.06,43.26,23.39,5.97,43.31,74.42,91.0,87.36,282.24,215.32,34.9,49.74,111.06,85.69,50.28,18.87,146.34,49.09,33.52,0.0
hsa-miR-1-3p,159.89,26.06,13.93,84.16,0.0,66.13,0.0,16.7,11.94,21.66,4.38,0.0,24.96,33.2,12.67,3.49,8.29,10.1,8.57,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-100-5p,277.14,263.87,260.04,84.16,135.96,341.11,97.34,26.73,167.19,205.74,190.43,117.0,299.51,581.08,113.99,139.59,174.09,161.55,128.53,578.25,754.65,658.52,147.28,318.45,0.0
hsa-miR-101-3p,756.79,1120.65,919.44,413.14,917.71,536.03,0.0,183.75,89.57,508.93,1011.27,1196.0,1010.83,3503.06,1937.84,1340.11,1600.0,2574.64,1028.23,678.82,603.72,1804.83,1374.64,972.1,0.0
hsa-miR-101-5p,10.66,19.55,27.86,22.95,33.99,13.92,0.0,3.34,0.0,0.0,19.7,13.0,0.0,0.0,12.67,3.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.38,0.0
hsa-miR-10393-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.38,0.0,0.0,0.0,0.0,6.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10394-3p,0.0,0.0,9.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10396a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.57,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10399-3p,10.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.57,0.0,0.0,0.0,0.0,0.0,0.0
