miRNA,ERR1682041,ERR1682042,ERR1682043,ERR1682044,ERR1682045,ERR1682046,ERR1682047,ERR1682048,ERR1682049,ERR1682050,ERR1682051,ERR1682052,ERR1682053,ERR1682054,ERR1682055,ERR1682056,ERR1682057,ERR1682058,ERR1682059,ERR1682060,ERR1682061,ERR1682062,ERR1682063,ERR1682064,ERR1682065
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hsa-let-7a-3p,0.0,3.0,3.0,0.0,0.0,7.0,0.0,1.0,1.0,1.0,16.0,1.0,2.0,3.0,0.0,5.0,4.0,10.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0
hsa-let-7a-5p,331.0,2554.0,1667.0,487.0,87.0,2132.0,29.0,206.0,443.0,303.0,4486.0,202.0,238.0,703.0,689.0,748.0,733.0,1267.0,563.0,122.0,158.0,570.0,54.0,1030.0,8.0
hsa-let-7b-3p,1.0,8.0,3.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,2.0,1.0,3.0,0.0
hsa-let-7b-5p,157.0,1181.0,832.0,235.0,66.0,1295.0,40.0,138.0,258.0,228.0,2769.0,80.0,184.0,304.0,281.0,338.0,357.0,623.0,345.0,162.0,195.0,205.0,59.0,415.0,7.0
hsa-let-7c-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-let-7c-5p,44.0,394.0,255.0,111.0,13.0,398.0,22.0,43.0,71.0,74.0,1062.0,19.0,36.0,112.0,76.0,73.0,92.0,225.0,183.0,21.0,39.0,47.0,9.0,107.0,3.0
hsa-let-7d-3p,1.0,12.0,14.0,1.0,0.0,40.0,0.0,2.0,3.0,4.0,21.0,4.0,7.0,4.0,3.0,2.0,14.0,15.0,10.0,5.0,7.0,11.0,3.0,24.0,1.0
hsa-let-7d-5p,26.0,124.0,89.0,24.0,4.0,92.0,7.0,12.0,24.0,19.0,157.0,23.0,13.0,36.0,41.0,54.0,31.0,27.0,26.0,3.0,9.0,22.0,3.0,42.0,1.0
hsa-let-7e-3p,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
