miRNA,ERR1736309,ERR1736310,ERR1736311,ERR1736312,ERR1736313,ERR1736314,ERR1736315,ERR1736316,ERR1736317,ERR1736318,ERR1736319,ERR1736320,ERR1736321,ERR1736322,ERR1736323,ERR1736324,ERR1736325,ERR1736326,ERR1736327,ERR1736328,ERR1736329,ERR1736330,ERR1736331,ERR1736332,ERR1736333,ERR1736334,ERR1736335,ERR1736336,ERR1736337,ERR1736338,ERR1736339
hsa-let-7a-3p,5.34,3.2,4.14,13.56,0.0,0.0,0.0,0.0,29.22,0.0,4.92,32.86,20.23,0.0,0.0,0.0,80.6,12.0,0.0,58.44,5.85,15.47,11.6,15.71,0.0,0.0,0.0,0.0,15.69,0.0,12.11
hsa-let-7a-5p,769.49,1005.67,1034.01,1003.49,1630.76,3405.05,2888.91,989.64,1358.79,601.6,2718.37,4126.96,3125.38,2624.67,3996.56,3179.84,2310.52,2590.98,1184.94,1273.94,716.8,3929.61,1954.93,3597.32,1057.03,2641.59,2788.03,3857.93,3561.34,2978.52,1479.6
hsa-let-7b-3p,26.72,19.22,24.82,40.68,0.0,51.59,20.78,0.0,14.61,12.03,44.32,19.71,23.6,36.97,0.0,0.0,26.87,71.97,45.57,23.38,32.18,61.88,69.61,23.56,33.74,0.0,50.23,0.0,0.0,85.51,71.29
hsa-let-7b-5p,603.84,646.96,467.37,474.62,543.59,773.87,581.94,123.7,701.31,204.54,329.95,1051.46,890.08,887.21,354.13,856.11,429.86,479.81,182.3,385.69,602.7,518.27,458.28,596.94,438.56,850.68,452.11,1434.77,486.35,456.04,1267.07
hsa-let-7c-3p,5.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.47,0.0,7.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7c-5p,21.37,6.41,28.95,0.0,0.0,0.0,62.35,30.93,14.61,60.16,118.19,118.29,128.12,36.97,101.18,142.69,0.0,12.0,0.0,46.75,26.33,177.92,23.2,109.96,44.98,134.32,50.23,31.88,94.13,28.5,17.49
hsa-let-7d-3p,374.06,301.06,450.83,555.98,1334.26,1599.34,1641.9,649.45,1081.19,505.34,1053.86,1360.32,1119.34,1737.46,1922.4,1875.29,1423.93,839.67,364.6,923.32,263.31,1763.68,823.74,1523.76,652.21,1074.55,1733.1,1530.42,1600.25,1596.15,1327.6
hsa-let-7d-5p,240.47,217.79,210.94,176.29,148.25,206.37,602.72,185.56,409.1,96.26,403.82,755.73,465.27,443.61,455.3,896.88,429.86,383.85,227.87,397.38,172.62,502.8,394.47,557.66,281.13,716.36,627.94,669.56,360.84,612.81,312.06
hsa-let-7e-3p,5.34,0.0,4.14,13.56,0.0,0.0,0.0,0.0,0.0,0.0,4.92,13.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.04
hsa-let-7e-5p,42.75,44.84,28.95,0.0,49.42,257.96,311.75,154.63,87.66,36.1,162.51,394.3,215.78,221.8,354.13,264.99,214.93,131.95,182.3,46.75,43.89,270.74,98.62,212.07,56.23,89.55,226.06,286.95,172.58,142.51,53.8
hsa-let-7f-1-3p,5.34,0.0,4.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.92,0.0,13.49,0.0,0.0,0.0,26.87,12.0,0.0,23.38,2.93,0.0,5.8,0.0,0.0,0.0,25.12,0.0,0.0,14.25,1.35
hsa-let-7f-2-3p,0.0,0.0,0.0,13.56,0.0,0.0,0.0,0.0,0.0,0.0,4.92,0.0,3.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.69
hsa-let-7f-5p,1485.54,1758.32,1832.26,1505.23,2915.6,5571.89,7960.1,3401.89,2907.53,1756.67,7313.0,11809.16,6773.34,7800.08,7183.69,9396.85,4782.25,5937.67,1686.26,2828.39,1439.45,8501.26,4194.1,10469.93,1922.9,5730.92,7535.23,10011.48,7232.51,9448.62,3205.35
hsa-let-7g-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.55,26.29,13.49,0.0,0.0,0.0,26.87,0.0,0.0,0.0,5.85,0.0,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.69
