miRNA,ERR1736309,ERR1736310,ERR1736311,ERR1736312,ERR1736313,ERR1736314,ERR1736315,ERR1736316,ERR1736317,ERR1736318,ERR1736319,ERR1736320,ERR1736321,ERR1736322,ERR1736323,ERR1736324,ERR1736325,ERR1736326,ERR1736327,ERR1736328,ERR1736329,ERR1736330,ERR1736331,ERR1736332,ERR1736333,ERR1736334,ERR1736335,ERR1736336,ERR1736337,ERR1736338,ERR1736339
hsa-let-7a-3p,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,5.0,6.0,0.0,0.0,0.0,3.0,1.0,0.0,5.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0
hsa-let-7a-5p,144.0,314.0,250.0,74.0,33.0,66.0,139.0,32.0,93.0,50.0,552.0,628.0,927.0,71.0,79.0,156.0,86.0,216.0,26.0,109.0,245.0,508.0,337.0,458.0,94.0,59.0,111.0,121.0,227.0,209.0,1100.0
hsa-let-7b-3p,5.0,6.0,6.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,9.0,3.0,7.0,1.0,0.0,0.0,1.0,6.0,1.0,2.0,11.0,8.0,12.0,3.0,3.0,0.0,2.0,0.0,0.0,6.0,53.0
hsa-let-7b-5p,113.0,202.0,113.0,35.0,11.0,15.0,28.0,4.0,48.0,17.0,67.0,160.0,264.0,24.0,7.0,42.0,16.0,40.0,4.0,33.0,206.0,67.0,79.0,76.0,39.0,19.0,18.0,45.0,31.0,32.0,942.0
hsa-let-7c-3p,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7c-5p,4.0,2.0,7.0,0.0,0.0,0.0,3.0,1.0,1.0,5.0,24.0,18.0,38.0,1.0,2.0,7.0,0.0,1.0,0.0,4.0,9.0,23.0,4.0,14.0,4.0,3.0,2.0,1.0,6.0,2.0,13.0
hsa-let-7d-3p,70.0,94.0,109.0,41.0,27.0,31.0,79.0,21.0,74.0,42.0,214.0,207.0,332.0,47.0,38.0,92.0,53.0,70.0,8.0,79.0,90.0,228.0,142.0,194.0,58.0,24.0,69.0,48.0,102.0,112.0,987.0
hsa-let-7d-5p,45.0,68.0,51.0,13.0,3.0,4.0,29.0,6.0,28.0,8.0,82.0,115.0,138.0,12.0,9.0,44.0,16.0,32.0,5.0,34.0,59.0,65.0,68.0,71.0,25.0,16.0,25.0,21.0,23.0,43.0,232.0
hsa-let-7e-3p,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
hsa-let-7e-5p,8.0,14.0,7.0,0.0,1.0,5.0,15.0,5.0,6.0,3.0,33.0,60.0,64.0,6.0,7.0,13.0,8.0,11.0,4.0,4.0,15.0,35.0,17.0,27.0,5.0,2.0,9.0,9.0,11.0,10.0,40.0
hsa-let-7f-1-3p,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
hsa-let-7f-2-3p,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
hsa-let-7f-5p,278.0,549.0,443.0,111.0,59.0,108.0,383.0,110.0,199.0,146.0,1485.0,1797.0,2009.0,211.0,142.0,461.0,178.0,495.0,37.0,242.0,492.0,1099.0,723.0,1333.0,171.0,128.0,300.0,314.0,461.0,663.0,2383.0
hsa-let-7g-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
hsa-let-7g-5p,84.0,128.0,96.0,29.0,7.0,19.0,38.0,6.0,36.0,18.0,136.0,248.0,238.0,41.0,18.0,33.0,25.0,31.0,1.0,41.0,141.0,81.0,116.0,139.0,38.0,32.0,36.0,35.0,63.0,51.0,360.0
hsa-let-7i-3p,12.0,8.0,5.0,2.0,0.0,0.0,1.0,1.0,4.0,1.0,6.0,14.0,17.0,1.0,1.0,6.0,3.0,4.0,1.0,3.0,16.0,3.0,12.0,13.0,2.0,3.0,0.0,6.0,6.0,2.0,56.0
hsa-let-7i-5p,333.0,585.0,495.0,159.0,17.0,40.0,141.0,36.0,154.0,99.0,465.0,529.0,772.0,60.0,36.0,182.0,108.0,183.0,29.0,176.0,476.0,261.0,373.0,411.0,112.0,67.0,113.0,129.0,196.0,163.0,2820.0
hsa-miR-100-5p,38.0,47.0,11.0,7.0,3.0,8.0,10.0,11.0,18.0,7.0,34.0,68.0,44.0,4.0,5.0,16.0,10.0,18.0,8.0,27.0,46.0,52.0,81.0,57.0,6.0,11.0,8.0,6.0,22.0,10.0,699.0
hsa-miR-101-2-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-101-3p,690.0,989.0,880.0,263.0,42.0,80.0,174.0,53.0,307.0,95.0,686.0,670.0,1045.0,55.0,64.0,191.0,145.0,249.0,45.0,147.0,769.0,387.0,682.0,437.0,137.0,164.0,122.0,147.0,194.0,132.0,1983.0
hsa-miR-101-5p,4.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,4.0,2.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
hsa-miR-10399-3p,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
hsa-miR-10399-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-103a-2-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-103a-3p,124.0,2182.0,163.0,55.0,0.0,9.0,0.0,117.0,73.0,131.0,149.0,986.0,1548.0,48.0,49.0,6.0,262.0,432.0,4.0,23.0,211.0,25.0,831.0,174.0,168.0,172.0,185.0,1.0,45.0,0.0,5216.0
hsa-miR-10401-3p,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
hsa-miR-10401-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-106a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-106a-5p,2.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0
hsa-miR-106b-3p,117.0,193.0,164.0,43.0,9.0,15.0,24.0,3.0,46.0,27.0,80.0,105.0,179.0,17.0,12.0,28.0,22.0,29.0,9.0,45.0,141.0,52.0,108.0,78.0,49.0,10.0,21.0,35.0,60.0,37.0,591.0
hsa-miR-106b-5p,114.0,110.0,153.0,43.0,6.0,13.0,25.0,14.0,23.0,20.0,123.0,142.0,164.0,13.0,5.0,17.0,21.0,27.0,4.0,22.0,85.0,39.0,100.0,94.0,38.0,19.0,16.0,28.0,44.0,27.0,287.0
hsa-miR-107,4.0,1.0,1062.0,2.0,3.0,0.0,0.0,27.0,318.0,0.0,644.0,4.0,3.0,5.0,1.0,68.0,0.0,7.0,17.0,168.0,1.0,2.0,1.0,25.0,32.0,4.0,79.0,49.0,0.0,134.0,2.0
