miRNA,ERR2298274,ERR2298275,ERR2298276,ERR2298277,ERR2298278,ERR2298279,ERR2298280,ERR2298281,ERR2298282,ERR2298283,ERR2298285,ERR2298286,ERR2298287,ERR2298288,ERR2298289,ERR2298290,ERR2298291,ERR2298292,ERR2298293,ERR2298294,ERR2298295,ERR2298296,ERR2298297,ERR2298298,ERR2298299,ERR2298300,ERR2298301,ERR2298302,ERR2298303,ERR2298304,ERR2298305,ERR2298306,ERR2298307,ERR2298308,ERR2298309,ERR2298310,ERR2298311,ERR2298312,ERR2298313,ERR2298314,ERR2298315,ERR2298316,ERR2298317,ERR2298318,ERR2298319,ERR2298320,ERR2298321,ERR2298322,ERR2298323,ERR2298324,ERR2298325,ERR2298326,ERR2298327,ERR2298328,ERR2298329,ERR2298330,ERR2298331,ERR2298332,ERR2298333,ERR2298334,ERR2298335,ERR2298336,ERR2298337,ERR2298338,ERR2298339,ERR2298340,ERR2298341,ERR2298342,ERR2298343,ERR2298344,ERR2298345,ERR2298346,ERR2298347,ERR2298348,ERR2298349,ERR2298350,ERR2298351,ERR2298352,ERR2298353,ERR2298354,ERR2298355,ERR2298356,ERR2298357,ERR2298358
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-3p,2.4,1.69,2.97,1.86,2.39,2.87,3.68,3.46,2.73,1.59,1.9,2.04,1.24,13.6,28.9,9.2,11.94,6.3,0.0,3.68,0.0,0.0,2.38,0.0,18.03,0.0,6.01,0.0,0.0,5.48,4.81,3.07,31.23,0.0,22.62,9.66,15.02,0.0,18.51,41.99,18.02,67.7,52.81,83.33,47.79,0.0,12.45,8.16,30.51,32.5,28.28,65.13,55.78,58.21,69.66,53.79,4.16,0.0,0.0,4.63,0.0,0.0,0.0,1.8,1.48,0.0,0.0,6.44,1.57,3.81,0.0,4.75,5.17,6.21,0.0,10.17,17.87,24.2,13.88,19.25,9.9,27.92,6.77,28.12
hsa-let-7a-5p,4423.3,1514.8,5042.74,3363.16,10371.39,6822.39,10032.37,13741.79,2610.39,3663.15,4884.47,3105.29,8244.05,19738.3,21541.57,21404.52,21519.7,11837.52,13896.46,880.41,18840.91,18302.9,3932.05,5380.85,17878.85,2099.81,5137.36,5952.32,4261.79,26354.3,23870.38,15688.23,27827.61,3264.03,58232.7,32678.85,21231.93,200.66,9790.34,7747.54,1730.97,18114.88,15614.01,19241.35,9825.29,279.41,13118.2,5964.27,9766.84,11143.14,13586.56,19406.34,11181.65,19316.33,27760.78,15268.07,478.01,2415.2,777.09,5746.51,1213.72,3642.07,13712.71,3481.99,2018.08,737.52,3918.77,6644.44,4326.79,1720.07,8881.73,3398.41,12225.97,5579.27,3972.88,7592.76,6503.32,10796.01,9748.92,10979.2,8833.07,10652.94,3805.62,8015.97
hsa-let-7b-3p,0.48,0.0,0.99,0.0,0.0,2.87,4.29,2.88,0.68,0.06,0.88,0.21,0.0,0.5,2.22,1.31,4.34,0.0,0.0,0.0,0.0,24.11,0.0,0.0,7.21,0.0,9.01,0.0,0.0,0.0,5.61,0.0,3.47,0.0,9.42,12.42,6.44,0.0,11.9,15.4,3.86,20.23,8.05,23.22,16.6,0.0,2.03,2.16,6.73,3.68,7.07,7.55,6.03,9.25,7.42,10.45,0.0,53.84,0.0,4.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.44,1.57,0.95,6.83,0.0,2.59,12.43,0.0,12.72,19.91,10.25,11.84,15.03,8.55,17.21,5.92,21.6
hsa-let-7b-5p,7276.5,1534.64,9786.11,5332.08,12771.12,5056.25,24003.34,8042.85,2726.49,1819.63,2331.57,2714.85,6191.5,11871.49,12795.43,7443.94,9248.86,10388.89,31370.1,845.49,10981.7,19285.24,2075.38,5399.15,8959.26,726.81,2119.24,6808.25,2053.5,16917.39,8799.91,4323.33,7811.44,1199.34,13414.1,11729.45,14352.8,356.74,8546.38,8511.13,11704.93,8599.98,11052.31,4836.3,5157.36,419.11,5289.44,2687.71,3457.75,4721.33,3407.29,10254.15,3640.01,4425.79,11793.93,10585.16,660.9,1784.48,1257.47,7490.83,1529.2,3392.4,6500.95,1521.91,1421.39,909.93,2682.37,3909.44,1899.76,891.43,6755.17,677.31,4841.76,2609.46,3664.26,6803.37,8032.28,11028.96,9284.26,9742.8,9948.28,7141.58,5597.81,15328.07
hsa-let-7c-3p,0.0,0.0,0.0,0.0,0.0,0.0,1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,1.4,0.0,1.4,1.01,2.28,0.0,0.0,0.0,0.17,0.0,0.64,0.0,0.34,1.36,0.0,0.82,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.41,1.22,0.94,0.0,0.65,0.0,0.0
hsa-let-7c-5p,923.02,70.1,298.38,117.79,353.39,193.37,3980.93,490.57,137.28,337.75,60.49,95.2,147.02,3818.8,3770.26,3761.07,326.19,3040.41,598.41,62.49,1272.56,2784.31,180.67,212.31,876.45,124.12,338.28,231.95,108.84,405.54,1958.3,273.67,3874.49,86.03,546.59,318.69,373.47,178.37,236.63,777.24,736.14,272.76,1671.88,325.88,1433.58,0.0,108.72,57.94,751.6,176.61,855.45,113.64,114.48,127.13,5756.1,2316.67,54.04,99.99,0.0,111.04,460.08,96.75,2560.41,110.0,404.21,9.58,523.9,202.71,48.79,420.51,317.45,104.57,201.74,211.24,1560.46,363.67,117.93,78.74,102.08,586.03,1244.32,124.04,748.26,111.67
hsa-let-7d-3p,20.67,5.91,24.78,9.3,37.01,28.72,49.08,23.64,6.15,18.77,18.9,12.99,23.13,74.55,70.59,58.49,95.52,58.52,505.33,58.82,577.36,614.72,42.79,212.31,360.68,103.65,379.14,143.74,38.7,306.89,351.61,95.32,609.02,53.98,1010.25,907.78,302.64,0.0,410.46,667.0,84.94,1157.34,503.98,1297.07,657.43,0.0,207.45,160.82,328.55,225.77,348.89,267.89,295.24,426.15,410.12,353.62,37.41,161.53,14.13,277.61,72.3,102.99,169.69,100.98,66.63,28.73,117.35,180.19,192.02,77.06,368.65,125.96,623.33,453.55,243.41,316.87,477.83,598.78,464.25,483.2,506.1,407.18,252.95,833.06
hsa-let-7d-5p,206.24,70.52,114.0,99.81,173.12,302.49,395.09,528.62,118.84,405.55,317.85,201.98,558.36,1653.76,1968.78,1928.18,2546.0,1148.82,265.96,5.51,312.25,379.68,33.28,98.83,667.26,40.95,124.98,104.54,70.14,487.74,728.85,384.36,976.86,121.45,1528.57,1245.79,236.1,0.0,255.8,505.68,230.37,783.45,748.93,543.75,556.83,0.0,556.48,219.09,655.07,783.95,729.78,1188.23,627.4,1115.59,1897.06,1037.09,24.94,46.15,14.13,46.27,52.58,68.66,294.13,32.46,11.84,76.63,142.5,102.96,155.03,59.94,102.4,99.81,312.96,105.62,69.55,473.53,716.24,957.63,721.08,600.12,433.22,997.17,287.63,622.76
hsa-let-7e-3p,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.58,0.0,0.06,0.0,0.21,0.0,1.51,0.0,0.66,0.54,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38,0.0,0.0,0.0,0.35,0.0,1.12,0.0,0.62,1.51,0.0,0.0,0.17,0.16,0.16,0.0,1.01,0.78,0.21,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,2.7,0.0,0.42,0.82
