miRNA,ERR2298274,ERR2298275,ERR2298276,ERR2298277,ERR2298278,ERR2298279,ERR2298280,ERR2298281,ERR2298282,ERR2298283,ERR2298285,ERR2298286,ERR2298287,ERR2298288,ERR2298289,ERR2298290,ERR2298291,ERR2298292,ERR2298293,ERR2298294,ERR2298295,ERR2298296,ERR2298297,ERR2298298,ERR2298299,ERR2298300,ERR2298301,ERR2298302,ERR2298303,ERR2298304,ERR2298305,ERR2298306,ERR2298307,ERR2298308,ERR2298309,ERR2298310,ERR2298311,ERR2298312,ERR2298313,ERR2298314,ERR2298315,ERR2298316,ERR2298317,ERR2298318,ERR2298319,ERR2298320,ERR2298321,ERR2298322,ERR2298323,ERR2298324,ERR2298325,ERR2298326,ERR2298327,ERR2298328,ERR2298329,ERR2298330,ERR2298331,ERR2298332,ERR2298333,ERR2298334,ERR2298335,ERR2298336,ERR2298337,ERR2298338,ERR2298339,ERR2298340,ERR2298341,ERR2298342,ERR2298343,ERR2298344,ERR2298345,ERR2298346,ERR2298347,ERR2298348,ERR2298349,ERR2298350,ERR2298351,ERR2298352,ERR2298353,ERR2298354,ERR2298355,ERR2298356,ERR2298357,ERR2298358
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-3p,5.0,4.0,3.0,3.0,2.0,3.0,6.0,6.0,4.0,27.0,13.0,19.0,3.0,27.0,52.0,14.0,22.0,7.0,0.0,2.0,0.0,0.0,1.0,0.0,5.0,0.0,10.0,0.0,0.0,1.0,6.0,1.0,18.0,0.0,12.0,7.0,7.0,0.0,56.0,120.0,14.0,241.0,210.0,402.0,95.0,0.0,86.0,49.0,195.0,203.0,160.0,388.0,287.0,277.0,338.0,242.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,4.0,0.0,2.0,2.0,1.0,0.0,20.0,35.0,59.0,34.0,41.0,22.0,86.0,16.0,69.0
hsa-let-7a-5p,9201.0,3587.0,5087.0,5425.0,8687.0,7127.0,16353.0,23838.0,3822.0,62244.0,33347.0,28934.0,19962.0,39184.0,38755.0,32570.0,39650.0,13148.0,1045.0,479.0,3198.0,3037.0,1654.0,1470.0,4957.0,1641.0,8550.0,1822.0,1762.0,4809.0,29803.0,5102.0,16038.0,1935.0,30896.0,23687.0,9892.0,9.0,29624.0,22139.0,1345.0,64487.0,62087.0,92819.0,19533.0,2.0,90617.0,35825.0,62427.0,69592.0,76871.0,115615.0,57530.0,91925.0,134702.0,68693.0,115.0,314.0,55.0,1242.0,554.0,1167.0,7273.0,1931.0,1363.0,77.0,935.0,2065.0,5498.0,1808.0,2602.0,1430.0,4727.0,898.0,914.0,14928.0,12739.0,26324.0,23876.0,23381.0,19635.0,32808.0,8997.0,19668.0
hsa-let-7b-3p,1.0,0.0,1.0,0.0,0.0,3.0,7.0,5.0,1.0,1.0,6.0,2.0,0.0,1.0,4.0,2.0,8.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,15.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,5.0,9.0,3.0,0.0,36.0,44.0,3.0,72.0,32.0,112.0,33.0,0.0,14.0,13.0,43.0,23.0,40.0,45.0,31.0,44.0,36.0,47.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,0.0,25.0,39.0,25.0,29.0,32.0,19.0,53.0,14.0,53.0
hsa-let-7b-5p,15136.0,3634.0,9872.0,8601.0,10697.0,5282.0,39126.0,13952.0,3992.0,30919.0,15918.0,25296.0,14992.0,23567.0,23020.0,11327.0,17041.0,11539.0,2359.0,460.0,1864.0,3200.0,873.0,1475.0,2484.0,568.0,3527.0,2084.0,849.0,3087.0,10987.0,1406.0,4502.0,711.0,7117.0,8502.0,6687.0,16.0,25860.0,24321.0,9095.0,30615.0,43948.0,23330.0,10253.0,3.0,36538.0,16144.0,22101.0,29486.0,19278.0,61090.0,18728.0,21062.0,57227.0,47624.0,159.0,232.0,89.0,1619.0,698.0,1087.0,3448.0,844.0,960.0,95.0,640.0,1215.0,2414.0,937.0,1979.0,285.0,1872.0,420.0,843.0,13376.0,15734.0,26892.0,22738.0,20748.0,22114.0,21994.0,13234.0,37609.0
hsa-let-7c-3p,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,5.0,4.0,11.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0,7.0,0.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,2.0,0.0,0.0
hsa-let-7c-5p,1920.0,166.0,301.0,190.0,296.0,202.0,6489.0,851.0,201.0,5739.0,413.0,887.0,356.0,7581.0,6783.0,5723.0,601.0,3377.0,45.0,34.0,216.0,462.0,76.0,58.0,243.0,97.0,563.0,71.0,45.0,74.0,2445.0,89.0,2233.0,51.0,290.0,231.0,174.0,8.0,716.0,2221.0,572.0,971.0,6648.0,1572.0,2850.0,0.0,751.0,348.0,4804.0,1103.0,4840.0,677.0,589.0,605.0,27930.0,10423.0,13.0,13.0,0.0,24.0,210.0,31.0,1358.0,61.0,273.0,1.0,125.0,63.0,62.0,442.0,93.0,44.0,78.0,34.0,359.0,715.0,231.0,192.0,250.0,1248.0,2766.0,382.0,1769.0,274.0
hsa-let-7d-3p,43.0,14.0,25.0,15.0,31.0,30.0,80.0,41.0,9.0,319.0,129.0,121.0,56.0,148.0,127.0,89.0,176.0,65.0,38.0,32.0,98.0,102.0,18.0,58.0,100.0,81.0,631.0,44.0,16.0,56.0,439.0,31.0,351.0,32.0,536.0,658.0,141.0,0.0,1242.0,1906.0,66.0,4120.0,2004.0,6257.0,1307.0,0.0,1433.0,966.0,2100.0,1410.0,1974.0,1596.0,1519.0,2028.0,1990.0,1591.0,9.0,21.0,1.0,60.0,33.0,33.0,90.0,56.0,45.0,3.0,28.0,56.0,244.0,81.0,108.0,53.0,241.0,73.0,56.0,623.0,936.0,1460.0,1137.0,1029.0,1125.0,1254.0,598.0,2044.0
hsa-let-7d-5p,429.0,167.0,115.0,161.0,145.0,316.0,644.0,917.0,174.0,6891.0,2170.0,1882.0,1352.0,3283.0,3542.0,2934.0,4691.0,1276.0,20.0,3.0,53.0,63.0,14.0,27.0,185.0,32.0,208.0,32.0,29.0,89.0,910.0,125.0,563.0,72.0,811.0,903.0,110.0,0.0,774.0,1445.0,179.0,2789.0,2978.0,2623.0,1107.0,0.0,3844.0,1316.0,4187.0,4896.0,4129.0,7079.0,3228.0,5309.0,9205.0,4666.0,6.0,6.0,1.0,10.0,24.0,22.0,156.0,18.0,8.0,8.0,34.0,32.0,197.0,63.0,30.0,42.0,121.0,17.0,16.0,931.0,1403.0,2335.0,1766.0,1278.0,963.0,3071.0,680.0,1528.0
hsa-let-7e-3p,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,6.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,1.0,2.0
