miRNA,ERR2856791,ERR2856792,ERR2856793,ERR2856794,ERR2856797,ERR2856798,ERR2856800,ERR2856801,ERR2856802,ERR2856803,ERR2856804,ERR2856805,ERR2856806,ERR2856808,ERR2856809,ERR2856812,ERR2856813,ERR2856815,ERR2856816,ERR2856818,ERR2856819,ERR2856821,ERR2856822,ERR2856824,ERR2856825,ERR2856826,ERR2856827,ERR2856830,ERR2856831,ERR2856833,ERR2856834,ERR2856835,ERR2856836,ERR2856838,ERR2856840,ERR2856841,ERR2856842,ERR2856843,ERR2856844,ERR2856845,ERR2856847,ERR2856848,ERR2856850,ERR2856851,ERR2856853,ERR2856854,ERR2856855,ERR2856856,ERR2856858,ERR2856859,ERR2856861,ERR2856862,ERR2856865,ERR2856866,ERR2856867,ERR2856868,ERR2856871,ERR2856872,ERR2856873,ERR2856874,ERR2856876,ERR2856877,ERR2856879,ERR2856880,ERR2856882,ERR2856883,ERR2856885,ERR2856886,ERR2856887,ERR2856888,ERR2856889,ERR2856891,ERR2856892,ERR2856893,ERR2856895,ERR2856896,ERR2856897,ERR2856898,ERR2856901,ERR2856904,ERR2856905,ERR2856907,ERR2856908,ERR2856909,ERR2856910,ERR2856912,ERR2856913,ERR2856915,ERR2856916,ERR2856917,ERR2856918,ERR2856920,ERR2856921,ERR2856924,ERR2856925,ERR2856927,ERR2856928,ERR2856929,ERR2856930,ERR2856933,ERR2856934,ERR2856935,ERR2856936,ERR2856938,ERR2856939,ERR2856942,ERR2856943
hsa-let-7a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-5p,2.0,0.0,2.0,2.0,25.0,16.0,25.0,26.0,66.0,62.0,18.0,117.0,99.0,6.0,14.0,42.0,24.0,11.0,22.0,22.0,51.0,15.0,20.0,9.0,9.0,23.0,9.0,10.0,20.0,8.0,11.0,6.0,12.0,2.0,0.0,13.0,20.0,4.0,19.0,22.0,8.0,9.0,2.0,2.0,46.0,36.0,24.0,17.0,9.0,21.0,18.0,9.0,11.0,17.0,10.0,8.0,3.0,4.0,2.0,2.0,26.0,36.0,10.0,9.0,10.0,12.0,66.0,18.0,23.0,85.0,67.0,13.0,4.0,4.0,6.0,6.0,2.0,5.0,2.0,10.0,18.0,2.0,4.0,5.0,5.0,4.0,7.0,8.0,11.0,9.0,13.0,54.0,42.0,14.0,19.0,10.0,17.0,7.0,11.0,14.0,9.0,44.0,57.0,4.0,6.0,29.0,22.0
hsa-let-7b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7b-5p,0.0,0.0,2.0,1.0,7.0,8.0,0.0,0.0,9.0,8.0,6.0,16.0,8.0,4.0,10.0,7.0,5.0,3.0,2.0,10.0,22.0,2.0,7.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,4.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,5.0,3.0,4.0,0.0,2.0,5.0,12.0,3.0,5.0,7.0,11.0,2.0,3.0,3.0,3.0,14.0,19.0,2.0,2.0,0.0,2.0,9.0,6.0,5.0,9.0,9.0,1.0,0.0,0.0,6.0,9.0,1.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,1.0,1.0,6.0,8.0,0.0,0.0,2.0,5.0,2.0,1.0,5.0,5.0,7.0,17.0,1.0,4.0,8.0,6.0
hsa-let-7c-5p,0.0,0.0,0.0,0.0,0.0,3.0,3.0,5.0,0.0,0.0,4.0,8.0,7.0,2.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,0.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,5.0,4.0,3.0,2.0,1.0,9.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,14.0,10.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,10.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0
hsa-let-7d-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7d-5p,0.0,0.0,1.0,2.0,1.0,3.0,2.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,3.0,2.0,3.0,0.0,1.0,1.0
hsa-let-7e-5p,0.0,0.0,0.0,0.0,3.0,1.0,5.0,0.0,3.0,7.0,0.0,5.0,9.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
hsa-let-7f-5p,2.0,2.0,3.0,9.0,35.0,29.0,24.0,23.0,44.0,53.0,14.0,84.0,72.0,17.0,17.0,38.0,22.0,12.0,19.0,26.0,50.0,11.0,16.0,10.0,15.0,19.0,21.0,12.0,14.0,9.0,14.0,7.0,8.0,2.0,0.0,11.0,24.0,1.0,13.0,23.0,12.0,7.0,3.0,3.0,62.0,46.0,22.0,31.0,21.0,30.0,13.0,13.0,8.0,14.0,7.0,9.0,7.0,4.0,7.0,6.0,18.0,29.0,5.0,8.0,26.0,9.0,44.0,14.0,20.0,105.0,89.0,11.0,1.0,1.0,12.0,11.0,7.0,5.0,2.0,14.0,19.0,1.0,1.0,4.0,2.0,5.0,15.0,5.0,12.0,9.0,11.0,53.0,64.0,24.0,24.0,7.0,17.0,13.0,20.0,15.0,10.0,15.0,39.0,8.0,7.0,25.0,21.0
hsa-let-7g-5p,2.0,0.0,2.0,6.0,4.0,5.0,4.0,6.0,4.0,3.0,16.0,8.0,5.0,0.0,0.0,10.0,5.0,1.0,4.0,8.0,10.0,5.0,3.0,7.0,7.0,5.0,1.0,3.0,2.0,3.0,4.0,6.0,11.0,2.0,0.0,2.0,3.0,1.0,3.0,5.0,4.0,4.0,0.0,0.0,6.0,5.0,1.0,1.0,0.0,1.0,3.0,4.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,7.0,1.0,1.0,2.0,0.0,7.0,3.0,4.0,16.0,14.0,7.0,9.0,2.0,1.0,0.0,4.0,6.0,0.0,0.0,1.0,1.0,4.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,5.0,8.0,11.0,1.0,3.0,3.0,7.0,3.0,3.0,6.0,3.0,2.0,7.0,0.0,0.0,4.0,5.0
