miRNA,ERR3404462,ERR3404463,ERR3404464,ERR3404465,ERR3404466,ERR3404467,ERR3404468,ERR3404469,ERR3404470,ERR3404471,ERR3404472,ERR3404473,ERR3404474,ERR3404475,ERR3404476,ERR3404477,ERR3404478,ERR3404479,ERR3404480,ERR3404481,ERR3404482,ERR3404483,ERR3404484,ERR3404485,ERR3404486,ERR3404487,ERR3404488,ERR3404489,ERR3404490,ERR3404491,ERR3404492,ERR3404493,ERR3404494,ERR3404495,ERR3404496,ERR3404497,ERR3404498,ERR3404499,ERR3404500,ERR3404501,ERR3404502,ERR3404503,ERR3404504,ERR3404505,ERR3404506,ERR3404507,ERR3404508,ERR3404509,ERR3404510,ERR3404511,ERR3404512,ERR3404513,ERR3404514,ERR3404515,ERR3404516,ERR3404517,ERR3404518,ERR3404519,ERR3404520,ERR3404521,ERR3404522,ERR3404523,ERR3404524,ERR3404525,ERR3404526,ERR3404527,ERR3404528,ERR3404529
hsa-let-7a-2-3p,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-3p,57.11,85.17,100.57,106.2,58.16,77.28,57.24,84.04,59.16,42.09,19.61,8.98,16.33,26.47,64.22,73.43,61.12,58.11,44.58,41.51,102.97,138.13,39.32,58.93,66.04,78.24,45.61,53.4,71.76,45.57,30.68,24.72,74.45,66.16,52.17,39.98,56.57,80.34,102.21,94.07,29.21,12.76,8.94,31.15,9.19,28.86,13.89,23.0,23.68,29.26,29.58,32.84,30.39,25.14,27.8,29.6,29.17,28.71,7.92,29.46,27.15,20.82,21.83,20.65,33.15,31.73,54.67,39.4
hsa-let-7a-5p,9500.1,7793.92,10831.68,7747.0,5486.44,6826.68,17383.33,13799.79,10022.35,7657.14,3892.45,3344.84,4420.11,3145.99,9528.94,7366.48,12017.58,9648.09,4424.63,5029.69,10635.51,10541.18,12916.6,12803.72,16053.79,12958.48,7943.27,9393.02,11224.41,7416.93,4792.12,4075.51,6775.11,11614.88,14330.2,15364.75,12538.66,13427.61,8970.02,2927.14,39591.51,34657.95,24755.64,30020.7,9381.85,41280.11,21230.39,36035.35,33088.81,46896.36,39546.19,36436.98,45106.19,29828.0,35753.25,29160.17,38099.44,26345.42,12086.63,24102.65,47886.96,47807.09,47711.49,50438.09,51665.62,23927.13,45195.31,57984.37
hsa-let-7b-3p,15.8,12.17,15.72,11.73,16.42,14.96,16.07,13.61,24.01,35.08,6.96,8.98,3.63,5.42,30.08,23.02,7.89,10.49,11.4,18.65,13.83,14.81,18.98,18.47,12.17,19.26,26.69,24.94,24.44,17.88,16.56,14.7,16.67,16.65,15.86,18.51,9.43,11.02,29.84,20.43,12.85,12.76,6.7,20.25,1.67,7.7,4.63,8.05,6.96,8.64,12.4,16.95,11.2,9.78,13.24,5.69,20.29,16.62,5.28,21.43,14.54,14.75,9.7,8.85,5.23,3.53,15.26,16.59
hsa-let-7b-5p,24689.27,25814.22,22570.47,22807.57,33735.56,34394.92,6861.57,7105.33,16530.35,29309.68,10994.06,8138.15,2002.79,1997.38,21599.86,25737.74,6496.94,11410.27,6585.63,5246.28,16268.22,22652.7,16603.18,14600.15,10971.04,15213.92,3955.18,3088.15,9140.83,12053.74,3879.58,3249.98,3412.98,6134.05,10306.21,11950.03,6871.13,12883.19,7132.37,5688.93,13358.04,10339.66,9857.12,13015.98,3569.34,17314.92,11761.91,11511.07,13829.95,12779.1,15291.77,19899.56,13104.12,13003.74,14368.03,11784.06,18731.38,19290.96,6122.56,16967.47,13108.03,16151.17,14830.66,20638.72,11137.56,7382.81,15259.62,19718.32
hsa-let-7c-3p,0.36,0.26,0.66,0.31,0.68,0.5,0.0,1.19,1.17,1.75,0.0,0.0,0.0,0.0,0.81,0.0,0.39,0.0,1.04,0.0,0.88,0.0,0.0,0.0,0.0,0.0,1.81,1.76,0.52,1.15,1.88,1.67,0.0,2.19,0.0,1.26,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.65,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7c-5p,1259.21,2302.5,209.33,1133.62,578.82,1303.61,135.92,852.53,2031.3,2020.39,186.79,718.81,82.54,291.86,1451.86,772.16,84.38,151.18,627.2,312.85,955.6,1085.09,1500.94,260.34,169.89,1050.88,864.79,761.94,232.95,252.06,692.31,567.95,132.8,236.58,1975.51,294.13,630.41,221.6,201.11,106.9,767.76,637.86,529.62,577.83,1273.57,607.98,4026.61,501.48,738.15,5397.72,590.64,712.89,534.27,4537.13,557.4,382.52,995.61,936.97,192.82,4412.61,4353.18,5030.0,4342.55,652.1,4297.84,225.64,663.63,897.89
hsa-let-7d-3p,727.3,641.51,782.3,664.98,1235.63,617.03,1316.59,1076.95,980.5,1666.12,581.45,515.25,760.12,825.17,1472.18,953.01,755.88,982.24,770.27,882.0,499.57,512.28,591.83,777.5,753.42,587.84,631.81,751.75,1135.65,919.4,317.92,500.46,647.03,772.4,818.55,866.41,822.88,613.17,1144.25,1106.52,766.59,803.7,335.2,496.84,157.84,1135.15,475.35,669.41,504.17,792.67,1442.73,910.98,1114.14,724.99,688.48,788.94,550.44,616.59,211.3,496.84,482.83,740.14,1053.5,1354.36,869.69,453.05,570.82,583.73
hsa-let-7d-5p,1076.76,1122.0,1307.77,1089.78,486.45,757.88,1477.89,1279.88,1043.76,631.37,547.51,312.07,163.27,175.11,861.69,694.34,1000.35,860.77,497.62,580.58,1241.58,1379.07,1225.7,1198.36,1659.34,1326.94,443.93,582.43,1226.65,723.87,432.74,300.01,613.14,1031.32,1517.94,1281.31,1266.03,1500.43,863.58,412.39,3898.38,4021.69,1662.59,2211.64,965.41,3695.98,1727.01,4266.04,2669.89,5782.75,4117.31,2819.79,5247.57,2967.02,2968.4,2693.56,2712.87,1370.69,861.07,1463.73,5543.77,4819.15,4455.75,3779.21,8271.17,3839.48,4202.97,4378.51
hsa-let-7e-3p,0.0,0.26,0.0,0.31,0.0,0.25,0.28,0.24,1.76,0.0,0.63,0.0,0.91,0.0,0.0,1.64,1.58,0.0,0.0,0.0,0.29,0.64,0.0,0.44,0.0,0.4,0.26,0.35,0.0,0.0,0.0,0.33,0.28,2.19,0.35,1.68,1.63,0.0,0.0,0.0,1.17,0.0,0.0,1.56,0.0,2.89,0.0,2.3,0.0,1.33,0.95,1.06,4.0,0.0,0.0,0.0,3.8,3.02,0.0,2.68,0.0,0.0,0.0,1.18,0.87,0.0,0.0,2.07
hsa-let-7e-5p,51.72,35.73,41.28,37.36,77.31,53.35,56.4,40.82,134.72,135.04,25.3,27.32,19.96,11.8,106.49,71.24,41.4,45.44,31.62,39.71,43.25,69.23,169.48,76.52,125.14,108.34,18.14,20.73,126.88,81.33,18.26,15.37,16.39,38.99,109.28,116.14,30.56,20.01,107.74,25.66,1521.49,1148.14,462.58,605.87,178.72,769.59,408.99,759.12,853.75,1141.12,813.92,766.92,981.37,852.11,609.04,511.16,558.05,695.17,343.37,890.56,971.47,1098.49,1561.25,1810.53,547.81,271.48,1055.19,1340.61
hsa-let-7f-1-3p,5.03,3.37,4.91,4.94,3.42,3.49,3.38,3.82,3.51,0.0,4.22,0.37,0.0,0.32,5.69,3.84,2.37,0.44,2.07,1.8,6.77,6.76,5.42,3.96,4.34,5.62,4.15,4.92,4.16,3.46,3.39,2.0,5.28,7.89,0.71,0.42,6.5,4.64,5.53,2.38,1.17,3.19,2.23,1.56,0.84,3.85,1.54,1.15,1.39,0.66,0.95,4.24,2.4,1.4,0.0,1.14,3.8,15.11,0.0,4.02,0.97,1.74,1.62,0.0,5.23,0.0,2.54,1.04
hsa-let-7f-2-3p,1.08,1.04,4.91,2.47,0.68,1.5,0.56,0.95,4.1,0.0,1.26,0.37,0.0,0.96,0.0,0.0,0.0,0.44,1.04,0.0,2.06,2.58,2.71,1.32,1.3,1.61,2.07,3.16,1.56,0.58,1.51,1.34,1.39,2.63,0.35,0.42,1.95,3.19,2.76,1.9,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.0,1.39,0.0,0.95,0.0,0.8,0.0,1.32,0.0,1.27,0.0,0.0,1.34,0.0,2.6,0.0,0.0,1.74,0.0,2.54,0.0
