miRNA,ERR3404462,ERR3404463,ERR3404464,ERR3404465,ERR3404466,ERR3404467,ERR3404468,ERR3404469,ERR3404470,ERR3404471,ERR3404472,ERR3404473,ERR3404474,ERR3404475,ERR3404476,ERR3404477,ERR3404478,ERR3404479,ERR3404480,ERR3404481,ERR3404482,ERR3404483,ERR3404484,ERR3404485,ERR3404486,ERR3404487,ERR3404488,ERR3404489,ERR3404490,ERR3404491,ERR3404492,ERR3404493,ERR3404494,ERR3404495,ERR3404496,ERR3404497,ERR3404498,ERR3404499,ERR3404500,ERR3404501,ERR3404502,ERR3404503,ERR3404504,ERR3404505,ERR3404506,ERR3404507,ERR3404508,ERR3404509,ERR3404510,ERR3404511,ERR3404512,ERR3404513,ERR3404514,ERR3404515,ERR3404516,ERR3404517,ERR3404518,ERR3404519,ERR3404520,ERR3404521,ERR3404522,ERR3404523,ERR3404524,ERR3404525,ERR3404526,ERR3404527,ERR3404528,ERR3404529
hsa-let-7a-2-3p,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-3p,159.0,329.0,307.0,344.0,85.0,310.0,203.0,352.0,101.0,24.0,93.0,24.0,18.0,83.0,79.0,134.0,155.0,133.0,86.0,69.0,350.0,429.0,58.0,134.0,152.0,195.0,176.0,152.0,138.0,79.0,163.0,74.0,268.0,151.0,148.0,95.0,174.0,277.0,185.0,198.0,25.0,4.0,4.0,20.0,11.0,30.0,9.0,20.0,17.0,44.0,31.0,31.0,38.0,18.0,21.0,26.0,23.0,19.0,3.0,22.0,28.0,24.0,27.0,35.0,38.0,18.0,43.0,38.0
hsa-let-7a-5p,26451.0,30106.0,33064.0,25094.0,8019.0,27383.0,61646.0,57803.0,17111.0,4366.0,18463.0,8939.0,4873.0,9863.0,11722.0,13442.0,30478.0,22081.0,8536.0,8360.0,36149.0,32738.0,19053.0,29115.0,36948.0,32295.0,30651.0,26739.0,21586.0,12859.0,25459.0,12199.0,24387.0,26511.0,40651.0,36514.0,38566.0,46294.0,16235.0,6161.0,33880.0,10867.0,11078.0,19275.0,11234.0,42911.0,13756.0,31330.0,23758.0,70522.0,41445.0,34398.0,56396.0,21353.0,27004.0,25614.0,30040.0,17433.0,4576.0,17998.0,49392.0,55097.0,59011.0,85469.0,59229.0,13573.0,35550.0,55925.0
hsa-let-7b-3p,44.0,47.0,48.0,38.0,24.0,60.0,57.0,57.0,41.0,20.0,33.0,24.0,4.0,17.0,37.0,42.0,20.0,24.0,22.0,31.0,47.0,46.0,28.0,42.0,28.0,48.0,103.0,71.0,47.0,31.0,88.0,44.0,60.0,38.0,45.0,44.0,29.0,38.0,54.0,43.0,11.0,4.0,3.0,13.0,2.0,8.0,3.0,7.0,5.0,13.0,13.0,16.0,14.0,7.0,10.0,5.0,16.0,11.0,2.0,16.0,15.0,17.0,12.0,15.0,6.0,2.0,12.0,16.0
hsa-let-7b-5p,68742.0,99714.0,68897.0,73878.0,49308.0,137964.0,24333.0,29762.0,28222.0,16712.0,52148.0,21749.0,2208.0,6262.0,26571.0,46965.0,16477.0,26114.0,12705.0,8720.0,55294.0,70353.0,24491.0,33200.0,25250.0,37916.0,15262.0,8791.0,17579.0,20898.0,20611.0,9728.0,12285.0,14001.0,29236.0,28399.0,21134.0,44417.0,12909.0,11974.0,11431.0,3242.0,4411.0,8357.0,4274.0,17999.0,7621.0,10008.0,9930.0,19217.0,16026.0,18786.0,16384.0,9309.0,10852.0,10351.0,14769.0,12765.0,2318.0,12670.0,13520.0,18614.0,18343.0,34973.0,12768.0,4188.0,12003.0,19018.0
hsa-let-7c-3p,1.0,1.0,2.0,1.0,1.0,2.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,1.0,2.0,10.0,5.0,0.0,5.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7c-5p,3506.0,8894.0,639.0,3672.0,846.0,5229.0,482.0,3571.0,3468.0,1152.0,886.0,1921.0,91.0,915.0,1786.0,1409.0,214.0,346.0,1210.0,520.0,3248.0,3370.0,2214.0,592.0,391.0,2619.0,3337.0,2169.0,448.0,437.0,3678.0,1700.0,478.0,540.0,5604.0,699.0,1939.0,764.0,364.0,225.0,657.0,200.0,237.0,371.0,1525.0,632.0,2609.0,436.0,530.0,8117.0,619.0,673.0,668.0,3248.0,421.0,336.0,785.0,620.0,73.0,3295.0,4490.0,5797.0,5371.0,1105.0,4927.0,128.0,522.0,866.0
hsa-let-7d-3p,2025.0,2478.0,2388.0,2154.0,1806.0,2475.0,4669.0,4511.0,1674.0,950.0,2758.0,1377.0,838.0,2587.0,1811.0,1739.0,1917.0,2248.0,1486.0,1466.0,1698.0,1591.0,873.0,1768.0,1734.0,1465.0,2438.0,2140.0,2184.0,1594.0,1689.0,1498.0,2329.0,1763.0,2322.0,2059.0,2531.0,2114.0,2071.0,2329.0,656.0,252.0,150.0,319.0,189.0,1180.0,308.0,582.0,362.0,1192.0,1512.0,860.0,1393.0,519.0,520.0,693.0,434.0,408.0,80.0,371.0,498.0,853.0,1303.0,2295.0,997.0,257.0,449.0,563.0
hsa-let-7d-5p,2998.0,4334.0,3992.0,3530.0,711.0,3040.0,5241.0,5361.0,1782.0,360.0,2597.0,834.0,180.0,549.0,1060.0,1267.0,2537.0,1970.0,960.0,965.0,4220.0,4283.0,1808.0,2725.0,3819.0,3307.0,1713.0,1658.0,2359.0,1255.0,2299.0,898.0,2207.0,2354.0,4306.0,3045.0,3894.0,5173.0,1563.0,868.0,3336.0,1261.0,744.0,1420.0,1156.0,3842.0,1119.0,3709.0,1917.0,8696.0,4315.0,2662.0,6561.0,2124.0,2242.0,2366.0,2139.0,907.0,326.0,1093.0,5718.0,5554.0,5511.0,6404.0,9482.0,2178.0,3306.0,4223.0
hsa-let-7e-3p,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,4.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,2.0,1.0,1.0,5.0,0.0,0.0,0.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0
hsa-let-7e-5p,144.0,138.0,126.0,121.0,113.0,214.0,200.0,171.0,230.0,77.0,120.0,73.0,22.0,37.0,131.0,130.0,105.0,104.0,61.0,66.0,147.0,215.0,250.0,174.0,288.0,270.0,70.0,59.0,244.0,141.0,97.0,46.0,59.0,89.0,310.0,276.0,94.0,69.0,195.0,54.0,1302.0,360.0,207.0,389.0,214.0,800.0,265.0,660.0,613.0,1716.0,853.0,724.0,1227.0,610.0,460.0,449.0,440.0,460.0,130.0,665.0,1002.0,1266.0,1931.0,3068.0,628.0,154.0,830.0,1293.0
hsa-let-7f-1-3p,14.0,13.0,15.0,16.0,5.0,14.0,12.0,16.0,6.0,0.0,20.0,1.0,0.0,1.0,7.0,7.0,6.0,1.0,4.0,3.0,23.0,21.0,8.0,9.0,10.0,14.0,16.0,14.0,8.0,6.0,18.0,6.0,19.0,18.0,2.0,1.0,20.0,16.0,10.0,5.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,0.0,1.0,3.0,10.0,0.0,3.0,1.0,2.0,2.0,0.0,6.0,0.0,2.0,1.0
hsa-let-7f-2-3p,3.0,4.0,15.0,8.0,1.0,6.0,2.0,4.0,7.0,0.0,6.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,7.0,8.0,4.0,3.0,3.0,4.0,8.0,9.0,3.0,1.0,8.0,4.0,5.0,6.0,1.0,1.0,6.0,11.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0
hsa-let-7f-5p,24169.0,24314.0,24683.0,22734.0,6216.0,20521.0,84250.0,80768.0,17333.0,3689.0,16151.0,7622.0,8958.0,18910.0,9050.0,9584.0,40130.0,20478.0,8528.0,8933.0,34487.0,29670.0,18540.0,23721.0,38231.0,30670.0,49439.0,48040.0,19773.0,8661.0,28610.0,12822.0,37208.0,31053.0,50821.0,36031.0,47268.0,44212.0,15508.0,5428.0,29812.0,9450.0,8438.0,15311.0,10842.0,38360.0,12175.0,30788.0,17352.0,74606.0,42739.0,30795.0,60106.0,21003.0,21029.0,23047.0,25210.0,10163.0,3367.0,12432.0,41011.0,45549.0,58650.0,83819.0,65470.0,14828.0,25879.0,34991.0
hsa-let-7g-3p,6.0,1.0,2.0,6.0,0.0,7.0,0.0,5.0,5.0,0.0,7.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,2.0,9.0,2.0,2.0,5.0,9.0,1.0,2.0,1.0,3.0,6.0,4.0,3.0,6.0,2.0,4.0,0.0,6.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0
hsa-let-7g-5p,23954.0,35467.0,17613.0,17942.0,5580.0,23659.0,49896.0,55699.0,9347.0,2387.0,17192.0,5686.0,7770.0,14389.0,6373.0,8570.0,26523.0,13121.0,6050.0,3846.0,25260.0,21013.0,7349.0,12046.0,15988.0,14738.0,33122.0,27877.0,8580.0,4538.0,25085.0,10712.0,32515.0,17038.0,22003.0,13931.0,30744.0,35249.0,6515.0,3967.0,6671.0,2060.0,2538.0,5006.0,3176.0,9862.0,4376.0,6986.0,4468.0,16315.0,9236.0,9410.0,12504.0,5120.0,6290.0,5067.0,6942.0,3564.0,1012.0,4346.0,9507.0,10420.0,9912.0,13709.0,16032.0,4639.0,7008.0,10687.0
hsa-let-7i-3p,26.0,36.0,63.0,45.0,15.0,30.0,39.0,49.0,15.0,5.0,32.0,13.0,4.0,13.0,12.0,6.0,15.0,16.0,17.0,12.0,50.0,68.0,7.0,20.0,31.0,22.0,36.0,27.0,37.0,15.0,19.0,8.0,50.0,31.0,29.0,13.0,21.0,29.0,38.0,30.0,2.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,3.0,5.0,3.0,6.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,8.0,2.0,0.0,1.0
hsa-let-7i-5p,80235.0,98012.0,80264.0,86261.0,26855.0,87614.0,155580.0,179560.0,42660.0,9809.0,103186.0,20098.0,17781.0,51198.0,23700.0,37619.0,75885.0,42345.0,26610.0,24064.0,104812.0,100563.0,48750.0,54645.0,65754.0,67576.0,86699.0,79179.0,62538.0,39943.0,75560.0,29458.0,107851.0,66742.0,102469.0,72631.0,105599.0,125145.0,28631.0,37225.0,29994.0,11855.0,9546.0,17535.0,12980.0,47942.0,16372.0,48004.0,17352.0,91528.0,45237.0,33840.0,69001.0,21008.0,24075.0,33455.0,32102.0,12511.0,3963.0,12339.0,41009.0,47194.0,66822.0,107742.0,47165.0,9532.0,17473.0,22287.0
hsa-miR-1-3p,397.0,578.0,1311.0,956.0,354.0,1134.0,1698.0,1424.0,645.0,158.0,869.0,380.0,495.0,1581.0,467.0,390.0,1419.0,852.0,871.0,534.0,1632.0,1221.0,1288.0,1919.0,570.0,884.0,3816.0,2254.0,1952.0,1422.0,1658.0,946.0,947.0,923.0,1667.0,1297.0,837.0,1368.0,2572.0,2484.0,183.0,23.0,30.0,12.0,29.0,92.0,42.0,185.0,85.0,895.0,71.0,34.0,27.0,7.0,16.0,10.0,34.0,2.0,1.0,61.0,179.0,201.0,721.0,843.0,210.0,36.0,75.0,87.0
hsa-miR-100-5p,1764.0,4946.0,2336.0,2391.0,760.0,2919.0,3142.0,3865.0,1576.0,353.0,4189.0,2777.0,711.0,2160.0,1076.0,870.0,1755.0,1207.0,3972.0,1448.0,1795.0,1256.0,1922.0,2161.0,2254.0,3109.0,9843.0,7691.0,3932.0,3080.0,11421.0,4410.0,1943.0,3366.0,2704.0,2477.0,965.0,989.0,2096.0,2594.0,544.0,88.0,180.0,204.0,76.0,188.0,136.0,85.0,102.0,174.0,212.0,257.0,186.0,148.0,299.0,136.0,309.0,280.0,28.0,447.0,76.0,135.0,53.0,134.0,63.0,13.0,288.0,254.0
