miRNA,ERR3412357,ERR3412358,ERR3412359,ERR3412360,ERR3412361,ERR3412362,ERR3412363,ERR3412364,ERR3412365,ERR3412366,ERR3412367,ERR3412368,ERR3412369,ERR3412370,ERR3412371,ERR3412372,ERR3412373,ERR3412374,ERR3412375,ERR3412376,ERR3412377,ERR3412378
hsa-let-7a-3p,6.86,2.25,4.38,0.0,0.0,27.94,29.41,0.0,0.0,17.83,0.0,0.0,0.0,5.47,0.0,1.65,2.78,16.84,3.2,0.0,1.59,0.0
hsa-let-7a-5p,1526.19,1970.63,1848.6,1967.33,1925.94,3800.5,5278.75,1366.04,2331.74,1069.8,3954.84,3156.51,1376.06,3312.02,3210.52,4175.28,1882.89,1583.17,2627.54,974.58,458.3,1454.33
hsa-let-7b-3p,0.0,0.0,0.0,12.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.11,3.2,0.0,0.0,0.0
hsa-let-7b-5p,322.63,234.49,477.48,161.87,399.72,335.34,213.21,111.36,123.65,160.47,223.26,368.94,334.19,412.64,470.82,611.3,271.37,734.74,837.49,146.47,52.51,291.56
hsa-let-7c-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0
hsa-let-7c-5p,171.61,299.88,245.31,186.77,136.27,454.1,441.12,126.21,229.64,106.98,398.67,655.9,117.95,475.49,313.88,952.37,225.45,737.55,533.82,173.23,62.06,203.28
hsa-let-7d-3p,18.31,13.53,17.52,24.9,18.17,41.92,7.35,29.7,17.66,0.0,0.0,81.99,137.61,32.79,8.97,34.6,26.44,11.23,60.73,11.27,1.59,10.45
hsa-let-7d-5p,6.86,47.35,52.57,112.06,63.59,34.93,80.87,37.12,105.99,35.66,31.89,122.98,39.32,38.26,4.48,49.43,57.06,20.35,31.97,45.07,3.18,90.61
hsa-let-7e-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0
hsa-let-7e-5p,27.46,148.81,131.42,236.58,163.52,244.52,220.56,81.67,194.31,35.66,63.79,491.92,78.63,207.68,62.78,173.01,134.99,50.53,60.73,101.4,15.91,159.14
hsa-let-7f-5p,1423.22,3499.33,3110.2,2241.26,1280.93,3052.98,3323.11,994.83,3197.31,517.07,2519.61,2582.6,1238.45,4962.56,2654.51,6043.78,3785.27,1299.66,3135.79,2157.59,456.71,3183.96
hsa-let-7g-5p,286.02,200.67,262.83,62.26,254.37,447.12,301.43,74.24,335.63,213.96,350.83,81.99,19.66,316.99,582.92,487.72,130.81,228.77,476.28,87.32,119.35,109.19
hsa-let-7i-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0
hsa-let-7i-5p,105.25,63.13,91.99,62.26,136.27,139.72,66.17,29.7,52.99,53.49,47.84,81.99,0.0,112.04,295.94,92.27,90.46,308.07,460.3,39.43,20.69,46.46
