miRNA,ERR3412357,ERR3412358,ERR3412359,ERR3412360,ERR3412361,ERR3412362,ERR3412363,ERR3412364,ERR3412365,ERR3412366,ERR3412367,ERR3412368,ERR3412369,ERR3412370,ERR3412371,ERR3412372,ERR3412373,ERR3412374,ERR3412375,ERR3412376,ERR3412377,ERR3412378
hsa-let-7a-3p,3.0,1.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,24.0,1.0,0.0,1.0,0.0
hsa-let-7a-5p,667.0,874.0,422.0,158.0,212.0,544.0,718.0,184.0,132.0,60.0,248.0,77.0,70.0,1212.0,716.0,2534.0,1353.0,2256.0,822.0,692.0,288.0,1252.0
hsa-let-7b-3p,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0
hsa-let-7b-5p,141.0,104.0,109.0,13.0,44.0,48.0,29.0,15.0,7.0,9.0,14.0,9.0,17.0,151.0,105.0,371.0,195.0,1047.0,262.0,104.0,33.0,251.0
hsa-let-7c-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-let-7c-5p,75.0,133.0,56.0,15.0,15.0,65.0,60.0,17.0,13.0,6.0,25.0,16.0,6.0,174.0,70.0,578.0,162.0,1051.0,167.0,123.0,39.0,175.0
hsa-let-7d-3p,8.0,6.0,4.0,2.0,2.0,6.0,1.0,4.0,1.0,0.0,0.0,2.0,7.0,12.0,2.0,21.0,19.0,16.0,19.0,8.0,1.0,9.0
hsa-let-7d-5p,3.0,21.0,12.0,9.0,7.0,5.0,11.0,5.0,6.0,2.0,2.0,3.0,2.0,14.0,1.0,30.0,41.0,29.0,10.0,32.0,2.0,78.0
hsa-let-7e-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-let-7e-5p,12.0,66.0,30.0,19.0,18.0,35.0,30.0,11.0,11.0,2.0,4.0,12.0,4.0,76.0,14.0,105.0,97.0,72.0,19.0,72.0,10.0,137.0
hsa-let-7f-5p,622.0,1552.0,710.0,180.0,141.0,437.0,452.0,134.0,181.0,29.0,158.0,63.0,63.0,1816.0,592.0,3668.0,2720.0,1852.0,981.0,1532.0,287.0,2741.0
hsa-let-7g-5p,125.0,89.0,60.0,5.0,28.0,64.0,41.0,10.0,19.0,12.0,22.0,2.0,1.0,116.0,130.0,296.0,94.0,326.0,149.0,62.0,75.0,94.0
