miRNA,ERR3481953,ERR3481952,ERR3481951,ERR3481950,ERR3481949,ERR3481948,ERR3481947,ERR3481946,ERR3481945,ERR3481944,ERR3481943,ERR3481942
hsa-let-7a-3p,0.0,0.0,0.0,0.0,61.51,0.0,84.12,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-5p,18207.6,30946.08,33765.85,66230.37,17121.86,5211.0,10151.4,1322.81,2802.56,10896.24,11208.7,3757.45
hsa-let-7b-3p,0.0,0.0,32.32,0.0,0.0,0.0,66.41,0.0,0.0,0.0,0.0,0.0
hsa-let-7b-5p,13949.56,27807.66,28209.75,43035.47,49486.47,8824.44,23684.05,3495.3,6361.23,13917.15,48479.09,12158.24
hsa-let-7c-5p,1218.45,465.53,438.91,755.69,303.59,1905.81,34.61,725.65,1.56,585.24,363.02,0.0
hsa-let-7d-3p,0.0,421.72,67.73,313.01,375.59,900.3,355.79,894.25,0.0,0.0,153.61,10.18
hsa-let-7d-5p,1163.61,2029.17,4172.48,3850.26,3516.59,467.28,1511.72,1.49,478.03,1163.5,1559.91,10.18
hsa-let-7e-5p,3.12,547.2,1229.22,1127.41,195.02,0.0,249.14,0.0,3.12,2.99,280.88,20.37
hsa-let-7f-5p,9943.94,16273.42,14106.93,27575.29,5294.57,24.46,3216.64,2283.16,354.62,2196.4,2576.23,5539.43
hsa-let-7g-5p,3473.37,5008.69,4655.65,5200.7,2926.65,1436.08,3142.18,1565.68,2408.89,2107.66,2647.71,30.55
hsa-let-7i-5p,3129.33,5810.56,2563.23,4012.46,5482.83,1120.49,4495.72,2604.76,506.15,1727.8,4951.83,71.28
hsa-miR-1-3p,0.0,68.31,13.59,57.87,39.84,0.0,66.41,0.0,1.56,0.0,0.0,10.18
hsa-miR-100-5p,0.0,0.0,33.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-101-3p,755.38,1190.18,247.24,932.68,519.58,3182.87,247.93,2928.59,1.56,0.0,218.5,20.37
hsa-miR-10395-5p,0.0,0.74,0.21,0.42,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
hsa-miR-103a-3p,1.25,2493.21,77.2,1130.37,4187.38,614.07,1435.25,637.26,3.12,958.12,160.5,2657.71
hsa-miR-106a-5p,289.19,251.7,1.03,0.84,76.19,0.0,1.21,0.0,0.0,1.99,0.94,0.0
hsa-miR-106b-3p,193.83,171.51,64.02,97.15,147.49,0.0,367.47,0.0,0.0,0.0,184.96,0.0
