miRNA,ERR3523233,ERR3523234,ERR3523235,ERR3523236,ERR3523237,ERR3523238,ERR3523239
hsa-let-7a-5p,131.3,694.83,299.0,1098.45,415.0,539.45,831.83
hsa-let-7b-5p,262.61,277.93,747.5,411.92,691.66,269.72,277.28
hsa-let-7f-5p,525.21,555.86,299.0,274.61,138.33,269.72,277.28
hsa-let-7g-5p,0.0,0.0,0.0,0.0,138.33,0.0,0.0
hsa-let-7i-5p,0.0,277.93,0.0,137.31,138.33,269.72,0.0
hsa-miR-10b-5p,0.0,0.0,0.0,137.31,0.0,0.0,138.64
hsa-miR-122-5p,0.0,0.0,0.0,0.0,0.0,0.0,138.64
hsa-miR-125b-5p,0.0,0.0,149.5,0.0,138.33,404.59,0.0
hsa-miR-126-3p,0.0,138.97,448.5,0.0,138.33,0.0,138.64
hsa-miR-142-3p,0.0,277.93,149.5,0.0,0.0,0.0,0.0
hsa-miR-143-3p,525.21,277.93,0.0,137.31,276.66,539.45,554.55
hsa-miR-148b-3p,0.0,0.0,0.0,0.0,0.0,134.86,0.0
hsa-miR-151a-3p,0.0,138.97,0.0,0.0,0.0,0.0,0.0
hsa-miR-155-5p,0.0,138.97,0.0,0.0,0.0,0.0,0.0
hsa-miR-16-5p,393.91,277.93,0.0,411.92,415.0,269.72,138.64
hsa-miR-181a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,138.64
hsa-miR-181c-5p,0.0,0.0,0.0,137.31,0.0,0.0,0.0
hsa-miR-186-5p,0.0,0.0,149.5,0.0,0.0,0.0,0.0
hsa-miR-191-5p,131.3,0.0,0.0,137.31,0.0,0.0,0.0
hsa-miR-196b-5p,0.0,138.97,0.0,0.0,0.0,134.86,0.0
hsa-miR-199a-3p,525.21,0.0,0.0,411.92,138.33,404.59,138.64
hsa-miR-199b-3p,0.0,0.0,149.5,0.0,691.66,0.0,0.0
hsa-miR-19b-3p,0.0,0.0,0.0,0.0,0.0,0.0,138.64
hsa-miR-203a-3p,0.0,0.0,0.0,0.0,0.0,0.0,138.64
hsa-miR-21-5p,656.51,833.8,149.5,961.14,553.33,539.45,554.55
hsa-miR-221-3p,0.0,138.97,0.0,137.31,138.33,0.0,0.0
hsa-miR-223-3p,0.0,138.97,0.0,0.0,0.0,0.0,0.0
hsa-miR-224-5p,0.0,0.0,0.0,0.0,0.0,0.0,138.64
hsa-miR-24-3p,0.0,0.0,0.0,137.31,0.0,0.0,0.0
hsa-miR-25-3p,0.0,0.0,149.5,0.0,0.0,0.0,0.0
hsa-miR-26a-5p,0.0,0.0,0.0,0.0,0.0,134.86,138.64
hsa-miR-27b-3p,0.0,0.0,149.5,0.0,0.0,0.0,0.0
hsa-miR-29a-3p,0.0,0.0,0.0,0.0,138.33,134.86,0.0
hsa-miR-29b-3p,0.0,0.0,0.0,137.31,0.0,0.0,0.0
hsa-miR-30a-5p,0.0,0.0,0.0,0.0,138.33,0.0,0.0
hsa-miR-30c-5p,0.0,0.0,149.5,0.0,0.0,0.0,0.0
hsa-miR-320a-3p,131.3,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-335-5p,0.0,138.97,0.0,137.31,0.0,0.0,0.0
hsa-miR-34a-5p,0.0,0.0,0.0,137.31,0.0,0.0,0.0
hsa-miR-3648,0.0,0.0,0.0,0.0,0.0,0.0,138.64
hsa-miR-431-5p,0.0,0.0,0.0,0.0,138.33,0.0,0.0
hsa-miR-4516,262.61,0.0,0.0,137.31,0.0,0.0,0.0
hsa-miR-487b-3p,0.0,0.0,149.5,0.0,0.0,0.0,0.0
hsa-miR-93-5p,0.0,0.0,0.0,137.31,0.0,0.0,0.0
hsa-mir-3648-2-5p,0.0,0.0,0.0,0.0,0.0,0.0,138.64
