miRNA,ERR3523233,ERR3523234,ERR3523235,ERR3523236,ERR3523237,ERR3523238,ERR3523239
hsa-let-7a-5p,1.0,5.0,2.0,8.0,3.0,4.0,6.0
hsa-let-7b-5p,2.0,2.0,5.0,3.0,5.0,2.0,2.0
hsa-let-7f-5p,4.0,4.0,2.0,2.0,1.0,2.0,2.0
hsa-let-7g-5p,0.0,0.0,0.0,0.0,1.0,0.0,0.0
hsa-let-7i-5p,0.0,2.0,0.0,1.0,1.0,2.0,0.0
hsa-miR-10b-5p,0.0,0.0,0.0,1.0,0.0,0.0,1.0
hsa-miR-122-5p,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-125b-5p,0.0,0.0,1.0,0.0,1.0,3.0,0.0
hsa-miR-126-3p,0.0,1.0,3.0,0.0,1.0,0.0,1.0
hsa-miR-142-3p,0.0,2.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-143-3p,4.0,2.0,0.0,1.0,2.0,4.0,4.0
hsa-miR-148b-3p,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-151a-3p,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-155-5p,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-16-5p,3.0,2.0,0.0,3.0,3.0,2.0,1.0
hsa-miR-181a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-181c-5p,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-186-5p,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-191-5p,1.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-196b-5p,0.0,1.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-199a-3p,4.0,0.0,0.0,3.0,1.0,3.0,1.0
hsa-miR-199b-3p,0.0,0.0,1.0,0.0,5.0,0.0,0.0
hsa-miR-19b-3p,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-203a-3p,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-21-5p,5.0,6.0,1.0,7.0,4.0,4.0,4.0
hsa-miR-221-3p,0.0,1.0,0.0,1.0,1.0,0.0,0.0
hsa-miR-223-3p,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-224-5p,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-24-3p,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-25-3p,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-26a-5p,0.0,0.0,0.0,0.0,0.0,1.0,1.0
hsa-miR-27b-3p,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-29a-3p,0.0,0.0,0.0,0.0,1.0,1.0,0.0
hsa-miR-29b-3p,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-30a-5p,0.0,0.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-30c-5p,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-320a-3p,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-335-5p,0.0,1.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-34a-5p,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-3648,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-431-5p,0.0,0.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-4516,2.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-487b-3p,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-93-5p,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-mir-3648-2-5p,0.0,0.0,0.0,0.0,0.0,0.0,1.0
