miRNA,ERR3559065,ERR3559066
hsa-let-7a-3p,8.17,13.77
hsa-let-7a-5p,1346.44,2409.81
hsa-let-7b-3p,48.19,45.61
hsa-let-7b-5p,5191.16,11561.85
hsa-let-7c-3p,0.0,0.39
hsa-let-7c-5p,43.06,76.08
hsa-let-7d-3p,924.45,1378.74
hsa-let-7d-5p,171.6,517.49
hsa-let-7e-3p,0.97,2.83
hsa-let-7e-5p,65.59,102.64
hsa-let-7f-5p,1302.8,2096.53
hsa-let-7g-5p,146.91,324.42
hsa-let-7i-3p,1.15,0.0
hsa-let-7i-5p,283.92,427.16
hsa-miR-1-3p,28.89,27.54
hsa-miR-100-5p,2947.69,1824.26
hsa-miR-101-3p,39.62,50.78
hsa-miR-10396a-3p,1.72,0.78
hsa-miR-10396b-3p,0.97,1.17
hsa-miR-103a-3p,31.89,30.96
hsa-miR-10401-3p,2.03,0.98
hsa-miR-10401-5p,0.0,0.2
hsa-miR-10527-5p,2.52,0.59
hsa-miR-106a-3p,3.27,1.17
hsa-miR-106a-5p,0.18,4.98
hsa-miR-106b-3p,168.5,223.15
hsa-miR-106b-5p,3.0,7.13
hsa-miR-107,0.09,8.98
hsa-miR-10a-3p,0.88,2.25
hsa-miR-10a-5p,5312.71,3939.82
hsa-miR-10b-3p,6.89,0.68
hsa-miR-10b-5p,7700.74,3871.37
hsa-miR-11400,1.06,0.0
hsa-miR-11401,3.27,1.37
hsa-miR-1180-3p,84.27,67.19
hsa-miR-1180-5p,0.97,0.0
hsa-miR-1199-5p,0.09,0.29
hsa-miR-122-3p,0.22,0.0
hsa-miR-122-5p,1144.28,105.76
hsa-miR-1224-5p,9.58,7.91
hsa-miR-1226-3p,20.89,21.88
hsa-miR-1226-5p,0.09,0.59
hsa-miR-1227-3p,0.84,1.37
hsa-miR-1228-3p,2.21,4.0
hsa-miR-1228-5p,1.46,3.03
hsa-miR-1229-3p,0.09,1.66
hsa-miR-122b-5p,0.88,0.0
hsa-miR-1238-3p,0.09,0.88
hsa-miR-124-3p,4.86,15.14
hsa-miR-1246,1.63,0.2
hsa-miR-1247-5p,0.04,0.0
hsa-miR-1248,1.59,0.68
hsa-miR-1249-3p,1.9,3.71
hsa-miR-1255b-5p,1.37,0.0
hsa-miR-125a-3p,4.99,5.86
hsa-miR-125a-5p,3390.04,3512.08
hsa-miR-125b-1-3p,2.52,1.07
hsa-miR-125b-5p,5215.94,3964.83
hsa-miR-126-3p,92.05,110.45
hsa-miR-126-5p,88.43,77.64
hsa-miR-1260a,0.18,1.07
hsa-miR-1260b,6.49,7.32
hsa-miR-1268b,0.31,0.0
hsa-miR-127-3p,37.94,77.44
hsa-miR-1270,0.18,2.54
hsa-miR-1271-5p,2.78,6.05
hsa-miR-1273c,0.93,0.68
