miRNA,ERR3559065,ERR3559066
hsa-let-7a-3p,185.0,141.0
hsa-let-7a-5p,30484.0,24676.0
hsa-let-7b-3p,1091.0,467.0
hsa-let-7b-5p,117530.0,118391.0
hsa-let-7c-3p,0.0,4.0
hsa-let-7c-5p,975.0,779.0
hsa-let-7d-3p,20930.0,14118.0
hsa-let-7d-5p,3885.0,5299.0
hsa-let-7e-3p,22.0,29.0
hsa-let-7e-5p,1485.0,1051.0
hsa-let-7f-5p,29496.0,21468.0
hsa-let-7g-5p,3326.0,3322.0
hsa-let-7i-3p,26.0,0.0
hsa-let-7i-5p,6428.0,4374.0
hsa-miR-1-3p,654.0,282.0
hsa-miR-100-5p,66737.0,18680.0
hsa-miR-101-3p,897.0,520.0
hsa-miR-10396a-3p,39.0,8.0
hsa-miR-10396b-3p,22.0,12.0
hsa-miR-103a-3p,722.0,317.0
hsa-miR-10401-3p,46.0,10.0
hsa-miR-10401-5p,0.0,2.0
hsa-miR-10527-5p,57.0,6.0
hsa-miR-106a-3p,74.0,12.0
hsa-miR-106a-5p,4.0,51.0
hsa-miR-106b-3p,3815.0,2285.0
hsa-miR-106b-5p,68.0,73.0
hsa-miR-107,2.0,92.0
hsa-miR-10a-3p,20.0,23.0
hsa-miR-10a-5p,120282.0,40343.0
hsa-miR-10b-3p,156.0,7.0
hsa-miR-10b-5p,174348.0,39642.0
hsa-miR-11400,24.0,0.0
hsa-miR-11401,74.0,14.0
hsa-miR-1180-3p,1908.0,688.0
hsa-miR-1180-5p,22.0,0.0
hsa-miR-1199-5p,2.0,3.0
hsa-miR-122-3p,5.0,0.0
hsa-miR-122-5p,25907.0,1083.0
hsa-miR-1224-5p,217.0,81.0
hsa-miR-1226-3p,473.0,224.0
hsa-miR-1226-5p,2.0,6.0
hsa-miR-1227-3p,19.0,14.0
hsa-miR-1228-3p,50.0,41.0
hsa-miR-1228-5p,33.0,31.0
hsa-miR-1229-3p,2.0,17.0
hsa-miR-122b-5p,20.0,0.0
hsa-miR-1238-3p,2.0,9.0
hsa-miR-124-3p,110.0,155.0
hsa-miR-1246,37.0,2.0
hsa-miR-1247-5p,1.0,0.0
hsa-miR-1248,36.0,7.0
hsa-miR-1249-3p,43.0,38.0
hsa-miR-1255b-5p,31.0,0.0
hsa-miR-125a-3p,113.0,60.0
hsa-miR-125a-5p,76752.0,35963.0
hsa-miR-125b-1-3p,57.0,11.0
hsa-miR-125b-5p,118091.0,40599.0
hsa-miR-126-3p,2084.0,1131.0
hsa-miR-126-5p,2002.0,795.0
hsa-miR-1260a,4.0,11.0
hsa-miR-1260b,147.0,75.0
hsa-miR-1268b,7.0,0.0
hsa-miR-127-3p,859.0,793.0
hsa-miR-1270,4.0,26.0
hsa-miR-1271-5p,63.0,62.0
hsa-miR-1273c,21.0,7.0
hsa-miR-1273h-3p,131.0,68.0
hsa-miR-1273h-5p,6.0,26.0
hsa-miR-128-1-5p,40.0,9.0
hsa-miR-128-3p,3150.0,1474.0
hsa-miR-1284,310.0,66.0
hsa-miR-1285-3p,617.0,95.0
hsa-miR-1285-5p,0.0,17.0
hsa-miR-1287-5p,48.0,8.0
hsa-miR-1289,41.0,0.0
hsa-miR-1291,96.0,7.0
