miRNA,ERR3629088,ERR3629087,ERR3629086,ERR3629085,ERR3629084,ERR3629083,ERR3629082,ERR3629081,ERR3629080,ERR3629079,ERR3629078,ERR3629077
hsa-let-7a-3p,5.7,4.6,6.53,4.53,5.06,6.31,6.75,5.17,5.61,5.63,7.9,6.97
hsa-let-7a-5p,11349.64,10949.94,9580.61,18671.28,15655.91,17991.74,16527.89,14969.98,9964.02,11946.15,11756.5,14699.89
hsa-let-7b-3p,0.34,0.82,0.26,0.18,0.15,0.17,0.31,0.2,0.24,0.0,0.62,0.22
hsa-let-7b-5p,3025.88,3018.49,2345.95,4317.14,3629.96,4192.19,7485.21,4276.28,3115.1,4357.72,4722.55,5645.76
hsa-let-7c-5p,113.35,112.93,101.68,166.98,201.06,140.24,1622.2,1048.3,89.78,131.87,977.54,148.42
hsa-let-7d-3p,42.59,47.11,37.64,53.48,50.19,50.45,70.4,65.8,65.63,63.25,66.07,76.69
hsa-let-7d-5p,815.41,764.39,631.77,1704.59,1294.61,1757.87,2610.16,1679.5,1011.28,1278.18,1547.66,1835.07
hsa-let-7e-3p,0.17,0.33,0.26,0.36,0.61,0.5,0.77,0.2,1.95,0.27,0.42,0.67
hsa-let-7e-5p,103.12,85.02,71.62,311.66,243.57,301.22,795.0,393.24,210.8,143.39,193.64,228.93
hsa-let-7f-1-3p,0.84,1.81,0.26,0.73,1.53,0.83,1.99,1.59,0.49,1.07,1.45,1.12
hsa-let-7f-2-3p,2.68,1.48,1.31,2.54,2.76,2.82,1.99,1.99,1.71,1.07,1.66,1.35
hsa-let-7f-5p,39095.46,38945.74,33740.32,61556.2,55373.08,55933.73,43076.76,50685.01,43309.34,35994.7,34529.65,37979.85
hsa-let-7g-3p,0.34,0.49,0.0,0.36,0.0,0.17,0.31,0.0,0.73,0.0,0.0,0.0
hsa-let-7g-5p,91399.09,93847.78,81274.54,104626.24,99807.77,101375.69,58213.14,86320.92,49294.59,74422.48,65672.28,74379.88
hsa-let-7i-3p,3.02,2.95,3.14,3.08,3.99,4.15,7.67,4.57,7.81,5.09,5.82,4.5
hsa-let-7i-5p,46288.25,44830.89,39279.63,46129.85,43994.82,43786.99,63483.15,51360.15,45152.1,47829.62,42880.64,46159.17
hsa-miR-1-3p,1003.71,956.76,908.58,885.11,841.23,813.38,389.29,1028.61,572.13,1340.1,1167.65,1205.39
hsa-miR-100-5p,149.73,162.82,163.89,137.61,133.53,147.21,127.0,100.0,96.37,174.75,155.62,150.45
hsa-miR-101-2-5p,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-101-3p,19781.05,22535.27,22053.46,11219.99,13257.93,11300.66,4331.14,8861.51,8992.26,10959.57,10404.56,8578.05
hsa-miR-101-5p,0.84,1.15,0.52,1.09,0.46,0.83,0.77,2.19,1.22,0.54,0.62,0.9
hsa-miR-10393-3p,0.17,0.33,0.52,0.91,0.31,0.0,0.61,0.99,0.24,0.8,0.83,0.0
hsa-miR-10394-3p,0.17,0.16,0.26,0.0,0.0,0.0,0.15,0.2,0.0,0.27,0.0,0.0
hsa-miR-10394-5p,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10395-3p,0.84,0.82,1.05,0.0,0.15,0.66,0.92,0.99,0.49,0.27,0.62,1.12
hsa-miR-10395-5p,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0
hsa-miR-10396a-3p,0.0,0.0,0.0,0.0,0.0,0.17,0.31,0.0,0.24,0.0,0.0,0.0
hsa-miR-10396a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0
