miRNA,ERR3629088,ERR3629087,ERR3629086,ERR3629085,ERR3629084,ERR3629083,ERR3629082,ERR3629081,ERR3629080,ERR3629079,ERR3629078,ERR3629077
hsa-let-7a-3p,34.0,28.0,25.0,25.0,33.0,38.0,44.0,26.0,23.0,21.0,38.0,31.0
hsa-let-7a-5p,67688.0,66712.0,36653.0,102985.0,102006.0,108409.0,107754.0,75300.0,40840.0,44572.0,56585.0,65366.0
hsa-let-7b-3p,2.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,3.0,1.0
hsa-let-7b-5p,18046.0,18390.0,8975.0,23812.0,23651.0,25260.0,48800.0,21510.0,12768.0,16259.0,22730.0,25105.0
hsa-let-7c-5p,676.0,688.0,389.0,921.0,1310.0,845.0,10576.0,5273.0,368.0,492.0,4705.0,660.0
hsa-let-7d-3p,254.0,287.0,144.0,295.0,327.0,304.0,459.0,331.0,269.0,236.0,318.0,341.0
hsa-let-7d-5p,4863.0,4657.0,2417.0,9402.0,8435.0,10592.0,17017.0,8448.0,4145.0,4769.0,7449.0,8160.0
hsa-let-7e-3p,1.0,2.0,1.0,2.0,4.0,3.0,5.0,1.0,8.0,1.0,2.0,3.0
hsa-let-7e-5p,615.0,518.0,274.0,1719.0,1587.0,1815.0,5183.0,1978.0,864.0,535.0,932.0,1018.0
hsa-let-7f-1-3p,5.0,11.0,1.0,4.0,10.0,5.0,13.0,8.0,2.0,4.0,7.0,5.0
hsa-let-7f-2-3p,16.0,9.0,5.0,14.0,18.0,17.0,13.0,10.0,7.0,4.0,8.0,6.0
hsa-let-7f-5p,233161.0,237275.0,129082.0,339525.0,360783.0,337028.0,280840.0,254949.0,177514.0,134299.0,166194.0,168885.0
hsa-let-7g-3p,2.0,3.0,0.0,2.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0
hsa-let-7g-5p,545094.0,571763.0,310936.0,577086.0,650297.0,610838.0,379522.0,434200.0,202046.0,277676.0,316086.0,330745.0
hsa-let-7i-3p,18.0,18.0,12.0,17.0,26.0,25.0,50.0,23.0,32.0,19.0,28.0,20.0
hsa-let-7i-5p,276058.0,273130.0,150274.0,254438.0,286648.0,263838.0,413880.0,258345.0,185067.0,178456.0,206388.0,205256.0
