miRNA,ERR5056743,ERR5056744,ERR5056745,ERR5056746,ERR5056747,ERR5056748,ERR5056749,ERR5056750,ERR5056751,ERR5056752,ERR5056753,ERR5056754,ERR5056755,ERR5056756,ERR5056757,ERR5056758,ERR5056759,ERR5056760
hsa-let-7a-3p,0.0,4.1,0.0,4.97,0.0,0.0,6.78,0.0,0.0,6.91,0.0,0.0,0.0,4.54,0.0,16.02,21.6,0.0
hsa-let-7a-5p,20.68,182.43,67.83,415.16,78.98,42.73,132.12,75.36,1006.21,656.0,579.27,1245.89,616.3,934.91,612.99,1751.87,1000.92,1950.96
hsa-let-7b-3p,1.97,14.35,10.71,4.97,4.51,0.0,6.78,3.97,0.0,20.72,0.0,0.0,15.94,27.23,8.95,37.39,14.4,24.54
hsa-let-7b-5p,17.73,135.29,49.98,266.0,78.98,28.49,125.35,99.16,366.6,504.09,199.32,670.01,387.85,912.21,353.48,1030.82,684.08,1392.66
hsa-let-7c-5p,1.97,0.0,0.0,24.86,4.51,5.34,0.0,10.58,39.0,55.24,49.83,55.37,10.63,104.38,0.0,16.02,93.61,92.03
hsa-let-7d-3p,9.85,86.09,35.7,49.72,14.67,3.56,64.37,3.97,62.4,6.91,6.23,121.82,58.44,81.69,31.32,69.43,57.61,165.65
hsa-let-7d-5p,0.0,14.35,0.0,17.4,3.39,0.0,16.94,2.64,46.8,41.43,12.46,44.3,21.25,31.77,22.37,16.02,43.21,116.57
hsa-let-7e-5p,0.98,0.0,0.0,22.37,0.0,0.0,6.78,1.32,39.0,6.91,0.0,11.07,5.31,13.62,31.32,5.34,14.4,36.81
hsa-let-7f-1-3p,0.0,8.2,0.0,0.0,1.13,0.0,6.78,1.32,0.0,0.0,0.0,5.54,5.31,0.0,4.47,10.68,0.0,0.0
hsa-let-7f-5p,12.8,65.59,17.85,176.51,13.54,14.24,98.25,31.73,257.4,151.92,124.57,326.7,148.76,290.46,192.4,363.19,396.05,533.75
hsa-let-7g-5p,0.0,18.45,10.71,67.12,9.03,0.0,16.94,6.61,31.2,48.34,18.69,77.52,37.19,40.85,26.85,21.36,86.41,233.13
hsa-let-7i-3p,0.0,0.0,0.0,0.0,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7i-5p,1.97,10.25,0.0,12.43,2.26,0.0,16.94,6.61,0.0,20.72,6.23,0.0,10.63,40.85,4.47,42.73,14.4,92.03
hsa-miR-1-3p,0.0,0.0,0.0,0.0,5.64,1.78,0.0,0.0,0.0,0.0,6.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-101-3p,0.0,2.05,0.0,4.97,4.51,0.0,3.39,0.0,7.8,6.91,0.0,11.07,0.0,22.69,17.9,5.34,21.6,6.14
hsa-miR-101-5p,0.0,0.0,0.0,0.0,0.0,1.78,0.0,0.0,0.0,0.0,0.0,0.0,10.63,0.0,0.0,0.0,0.0,0.0
hsa-miR-10401-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.54,0.0,0.0,0.0,0.0
hsa-miR-106a-5p,0.0,0.0,0.0,2.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.69,0.0,0.0,0.0,0.0
hsa-miR-106b-3p,0.0,0.0,0.0,2.49,0.0,0.0,0.0,0.0,7.8,0.0,12.46,5.54,5.31,4.54,0.0,10.68,0.0,24.54
hsa-miR-10a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.54,0.0,0.0,0.0,0.0
hsa-miR-10b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.07,0.0,0.0,0.0,0.0,7.2,0.0
hsa-miR-11400,0.0,6.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-122-5p,36.44,18.45,0.0,12.43,14.67,0.0,84.7,158.66,15.6,20.72,12.46,11.07,74.38,45.38,22.37,69.43,21.6,6.14
hsa-miR-1229-3p,0.0,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.91,0.0,0.0,0.0,13.62,0.0,0.0,0.0,0.0
hsa-miR-1246,0.0,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.88,9.08,0.0,21.36,7.2,0.0
hsa-miR-1255b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.27
hsa-miR-125a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.62,0.0,0.0,0.0,0.0
hsa-miR-125a-5p,0.0,0.0,0.0,2.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.15,10.63,59.0,0.0,0.0,0.0,0.0
hsa-miR-125b-5p,0.98,0.0,0.0,0.0,0.0,0.0,0.0,3.97,0.0,0.0,0.0,0.0,0.0,13.62,0.0,0.0,0.0,0.0
hsa-miR-126-3p,4.92,30.75,3.57,169.05,18.05,0.0,60.98,13.22,54.6,110.49,62.29,265.79,90.32,240.53,237.14,138.87,180.02,380.38
hsa-miR-126-5p,22.65,569.85,353.42,720.94,103.81,0.0,332.01,75.36,553.8,545.52,485.84,1622.42,818.2,658.06,832.23,977.41,748.89,1619.66
hsa-miR-1260b,0.0,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.25,0.0,0.0,0.0,0.0,0.0
hsa-miR-1277-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.08,0.0,0.0,0.0,0.0
hsa-miR-1277-5p,0.0,0.0,0.0,0.0,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.47,0.0,0.0,0.0
hsa-miR-1304-5p,0.0,0.0,0.0,0.0,0.0,0.0,3.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1306-5p,0.0,4.1,7.14,0.0,2.26,0.0,0.0,0.0,0.0,27.62,0.0,0.0,0.0,4.54,0.0,0.0,0.0,0.0
hsa-miR-130a-3p,0.98,16.4,21.42,4.97,9.03,0.0,23.71,2.64,0.0,27.62,0.0,0.0,5.31,27.23,13.42,0.0,7.2,36.81
hsa-miR-130b-3p,0.98,2.05,0.0,4.97,2.26,0.0,10.16,2.64,0.0,0.0,0.0,0.0,0.0,4.54,13.42,0.0,0.0,6.14
