miRNA,ERR5056743,ERR5056744,ERR5056745,ERR5056746,ERR5056747,ERR5056748,ERR5056749,ERR5056750,ERR5056751,ERR5056752,ERR5056753,ERR5056754,ERR5056755,ERR5056756,ERR5056757,ERR5056758,ERR5056759,ERR5056760
hsa-let-7a-3p,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0
hsa-let-7a-5p,21.0,89.0,19.0,167.0,70.0,24.0,39.0,57.0,129.0,95.0,93.0,225.0,116.0,206.0,137.0,328.0,139.0,318.0
hsa-let-7b-3p,2.0,7.0,3.0,2.0,4.0,0.0,2.0,3.0,0.0,3.0,0.0,0.0,3.0,6.0,2.0,7.0,2.0,4.0
hsa-let-7b-5p,18.0,66.0,14.0,107.0,70.0,16.0,37.0,75.0,47.0,73.0,32.0,121.0,73.0,201.0,79.0,193.0,95.0,227.0
hsa-let-7c-5p,2.0,0.0,0.0,10.0,4.0,3.0,0.0,8.0,5.0,8.0,8.0,10.0,2.0,23.0,0.0,3.0,13.0,15.0
hsa-let-7d-3p,10.0,42.0,10.0,20.0,13.0,2.0,19.0,3.0,8.0,1.0,1.0,22.0,11.0,18.0,7.0,13.0,8.0,27.0
hsa-let-7d-5p,0.0,7.0,0.0,7.0,3.0,0.0,5.0,2.0,6.0,6.0,2.0,8.0,4.0,7.0,5.0,3.0,6.0,19.0
hsa-let-7e-5p,1.0,0.0,0.0,9.0,0.0,0.0,2.0,1.0,5.0,1.0,0.0,2.0,1.0,3.0,7.0,1.0,2.0,6.0
hsa-let-7f-1-3p,0.0,4.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0
hsa-let-7f-5p,13.0,32.0,5.0,71.0,12.0,8.0,29.0,24.0,33.0,22.0,20.0,59.0,28.0,64.0,43.0,68.0,55.0,87.0
hsa-let-7g-5p,0.0,9.0,3.0,27.0,8.0,0.0,5.0,5.0,4.0,7.0,3.0,14.0,7.0,9.0,6.0,4.0,12.0,38.0
