miRNA,ERR5319140,ERR5319141,ERR5319142,ERR5319143
hsa-let-7a-3p,0.0,0.48,2.15,3.63
hsa-let-7a-5p,104.2,28.95,2441.77,1229.69
hsa-let-7b-5p,48.27,8.27,1644.34,2000.18
hsa-let-7c-5p,5.11,2.55,139.12,155.19
hsa-let-7d-3p,1.92,1.11,27.25,36.3
hsa-let-7d-5p,12.15,1.27,91.79,67.16
hsa-let-7e-3p,0.64,0.16,0.0,0.0
hsa-let-7e-5p,7.67,1.11,413.06,181.5
hsa-let-7f-1-3p,0.32,0.64,0.0,1.82
hsa-let-7f-5p,179.96,61.88,2679.85,1790.54
hsa-let-7g-5p,101.65,53.77,799.58,907.52
hsa-let-7i-5p,879.01,268.19,20686.55,10900.23
hsa-miR-1-3p,14.38,6.84,37.29,2104.54
hsa-miR-100-5p,60.41,50.11,4700.67,3050.18
hsa-miR-101-3p,28.13,18.77,182.15,199.65
hsa-miR-101-5p,0.0,0.0,0.72,0.0
hsa-miR-10394-3p,0.0,0.0,0.72,0.0
hsa-miR-10395-3p,0.0,0.0,1.43,0.0
hsa-miR-10396a-3p,2.56,4.29,0.0,0.91
hsa-miR-10396b-3p,9.59,49.47,0.0,0.0
hsa-miR-10396b-5p,1.28,0.16,0.0,0.0
hsa-miR-10399-3p,0.0,0.16,0.0,0.0
hsa-miR-103a-3p,5.43,0.64,77.45,70.79
hsa-miR-10401-3p,0.32,1.11,2.15,0.91
hsa-miR-105-5p,0.0,0.0,6.45,1.82
hsa-miR-10526-3p,0.0,0.0,1.43,1.82
hsa-miR-106b-3p,15.66,2.55,74.58,67.16
hsa-miR-106b-5p,2.56,1.27,9.32,8.17
hsa-miR-107,0.96,0.0,0.0,9.08
hsa-miR-10a-3p,0.0,0.0,0.72,4.54
hsa-miR-10a-5p,4.16,2.86,522.78,305.83
hsa-miR-10b-3p,0.0,0.0,0.0,0.91
hsa-miR-10b-5p,34.2,18.77,67.41,135.22
hsa-miR-1180-3p,3.2,0.48,30.84,35.39
hsa-miR-1197,0.0,0.16,0.0,0.0
hsa-miR-1199-5p,0.0,0.0,0.72,0.0
hsa-miR-12136,0.32,0.0,0.72,0.0
hsa-miR-122-5p,38.68,172.59,3.59,14.52
hsa-miR-1226-5p,0.0,0.16,0.0,0.0
hsa-miR-1236-5p,0.32,0.0,0.0,0.0
hsa-miR-124-3p,0.0,0.0,0.0,16.34
hsa-miR-1246,7.35,0.95,846.19,48.1
hsa-miR-1248,0.64,0.0,0.0,0.0
hsa-miR-1255a,0.0,0.0,5.74,0.91
hsa-miR-1255b-5p,0.0,0.0,0.72,0.0
hsa-miR-125a-3p,1.6,0.32,15.06,8.17
hsa-miR-125a-5p,2.56,1.75,90.36,68.97
hsa-miR-125b-1-3p,0.0,0.0,39.44,13.61
hsa-miR-125b-2-3p,0.0,0.0,0.0,0.91
hsa-miR-125b-5p,3.52,1.11,92.51,142.48
hsa-miR-126-3p,281.28,90.51,69.56,167.89
hsa-miR-126-5p,1.92,1.59,0.0,4.54
hsa-miR-1260b,0.32,0.0,0.0,0.0
hsa-miR-1262,0.0,0.0,6.45,3.63
hsa-miR-1266-5p,0.0,0.16,0.0,0.0
hsa-miR-1268a,1.6,1.11,0.72,0.0
hsa-miR-1268b,0.32,0.0,0.0,0.0
hsa-miR-1269a,3.52,1.59,0.0,0.0
hsa-miR-127-3p,22.37,5.41,7.17,80.77
hsa-miR-1273c,0.32,0.0,0.0,0.0
hsa-miR-1273h-5p,0.96,0.0,0.0,0.0
hsa-miR-1275,0.32,0.0,0.72,0.0
hsa-miR-1276,0.0,0.0,1.43,0.91
