miRNA,ERR5319140,ERR5319141,ERR5319142,ERR5319143
hsa-let-7a-3p,0.0,3.0,3.0,4.0
hsa-let-7a-5p,326.0,182.0,3405.0,1355.0
hsa-let-7b-5p,151.0,52.0,2293.0,2204.0
hsa-let-7c-5p,16.0,16.0,194.0,171.0
hsa-let-7d-3p,6.0,7.0,38.0,40.0
hsa-let-7d-5p,38.0,8.0,128.0,74.0
hsa-let-7e-3p,2.0,1.0,0.0,0.0
hsa-let-7e-5p,24.0,7.0,576.0,200.0
hsa-let-7f-1-3p,1.0,4.0,0.0,2.0
hsa-let-7f-5p,563.0,389.0,3737.0,1973.0
hsa-let-7g-5p,318.0,338.0,1115.0,1000.0
hsa-let-7i-5p,2750.0,1686.0,28847.0,12011.0
hsa-miR-1-3p,45.0,43.0,52.0,2319.0
hsa-miR-100-5p,189.0,315.0,6555.0,3361.0
hsa-miR-101-3p,88.0,118.0,254.0,220.0
hsa-miR-101-5p,0.0,0.0,1.0,0.0
hsa-miR-10394-3p,0.0,0.0,1.0,0.0
hsa-miR-10395-3p,0.0,0.0,2.0,0.0
hsa-miR-10396a-3p,8.0,27.0,0.0,1.0
hsa-miR-10396b-3p,30.0,311.0,0.0,0.0
hsa-miR-10396b-5p,4.0,1.0,0.0,0.0
hsa-miR-10399-3p,0.0,1.0,0.0,0.0
hsa-miR-103a-3p,17.0,4.0,108.0,78.0
hsa-miR-10401-3p,1.0,7.0,3.0,1.0
hsa-miR-105-5p,0.0,0.0,9.0,2.0
hsa-miR-10526-3p,0.0,0.0,2.0,2.0
hsa-miR-106b-3p,49.0,16.0,104.0,74.0
hsa-miR-106b-5p,8.0,8.0,13.0,9.0
hsa-miR-107,3.0,0.0,0.0,10.0
hsa-miR-10a-3p,0.0,0.0,1.0,5.0
hsa-miR-10a-5p,13.0,18.0,729.0,337.0
hsa-miR-10b-3p,0.0,0.0,0.0,1.0
hsa-miR-10b-5p,107.0,118.0,94.0,149.0
hsa-miR-1180-3p,10.0,3.0,43.0,39.0
hsa-miR-1197,0.0,1.0,0.0,0.0
hsa-miR-1199-5p,0.0,0.0,1.0,0.0
hsa-miR-12136,1.0,0.0,1.0,0.0
hsa-miR-122-5p,121.0,1085.0,5.0,16.0
hsa-miR-1226-5p,0.0,1.0,0.0,0.0
hsa-miR-1236-5p,1.0,0.0,0.0,0.0
hsa-miR-124-3p,0.0,0.0,0.0,18.0
hsa-miR-1246,23.0,6.0,1180.0,53.0
hsa-miR-1248,2.0,0.0,0.0,0.0
hsa-miR-1255a,0.0,0.0,8.0,1.0
hsa-miR-1255b-5p,0.0,0.0,1.0,0.0
hsa-miR-125a-3p,5.0,2.0,21.0,9.0
hsa-miR-125a-5p,8.0,11.0,126.0,76.0
hsa-miR-125b-1-3p,0.0,0.0,55.0,15.0
hsa-miR-125b-2-3p,0.0,0.0,0.0,1.0
hsa-miR-125b-5p,11.0,7.0,129.0,157.0
hsa-miR-126-3p,880.0,569.0,97.0,185.0
hsa-miR-126-5p,6.0,10.0,0.0,5.0
hsa-miR-1260b,1.0,0.0,0.0,0.0
hsa-miR-1262,0.0,0.0,9.0,4.0
hsa-miR-1266-5p,0.0,1.0,0.0,0.0
hsa-miR-1268a,5.0,7.0,1.0,0.0
hsa-miR-1268b,1.0,0.0,0.0,0.0
hsa-miR-1269a,11.0,10.0,0.0,0.0
hsa-miR-127-3p,70.0,34.0,10.0,89.0
hsa-miR-1273c,1.0,0.0,0.0,0.0
hsa-miR-1273h-5p,3.0,0.0,0.0,0.0
hsa-miR-1275,1.0,0.0,1.0,0.0
hsa-miR-1276,0.0,0.0,2.0,1.0
hsa-miR-1278,0.0,0.0,2.0,4.0
hsa-miR-128-3p,76.0,46.0,941.0,537.0
hsa-miR-1283,2.0,3.0,7.0,0.0
hsa-miR-1285-3p,0.0,1.0,5.0,1.0
hsa-miR-1285-5p,1.0,1.0,3.0,0.0
hsa-miR-1287-5p,4.0,1.0,0.0,3.0
hsa-miR-129-1-3p,0.0,0.0,2.0,1.0
hsa-miR-129-2-3p,0.0,0.0,0.0,5.0
hsa-miR-129-5p,5.0,0.0,137.0,87.0
hsa-miR-1291,0.0,1.0,3.0,0.0
hsa-miR-1292-5p,0.0,0.0,11.0,2.0
hsa-miR-1293,2.0,0.0,1.0,7.0
hsa-miR-1294,0.0,0.0,0.0,2.0
hsa-miR-1296-5p,1.0,0.0,4.0,1.0
hsa-miR-1297,0.0,1.0,0.0,0.0
hsa-miR-1298-5p,0.0,0.0,0.0,4.0
hsa-miR-1299,0.0,0.0,8.0,2.0
hsa-miR-1301-3p,2.0,0.0,27.0,3.0
hsa-miR-1303,2.0,4.0,3.0,5.0
hsa-miR-1304-5p,0.0,0.0,15.0,0.0
hsa-miR-1306-3p,2.0,0.0,2.0,3.0
hsa-miR-1306-5p,0.0,0.0,5.0,0.0
hsa-miR-1307-3p,89.0,55.0,373.0,311.0
hsa-miR-1307-5p,2.0,7.0,4.0,5.0
hsa-miR-130a-3p,0.0,0.0,2.0,1.0
hsa-miR-130a-5p,0.0,2.0,0.0,0.0
hsa-miR-130b-3p,0.0,1.0,2.0,0.0
hsa-miR-130b-5p,1.0,3.0,11.0,2.0
hsa-miR-132-3p,0.0,1.0,1.0,7.0
hsa-miR-132-5p,1.0,1.0,9.0,12.0
hsa-miR-1323,8.0,3.0,5.0,0.0
hsa-miR-133a-3p,2.0,2.0,2.0,191.0
hsa-miR-133a-5p,0.0,0.0,0.0,3.0
hsa-miR-133b,0.0,0.0,0.0,3.0
hsa-miR-134-5p,7.0,1.0,1.0,0.0
hsa-miR-135a-5p,0.0,0.0,0.0,3.0
hsa-miR-135b-5p,5.0,9.0,69.0,19.0
hsa-miR-136-3p,6.0,6.0,4.0,12.0
hsa-miR-136-5p,3.0,1.0,2.0,0.0
hsa-miR-137-3p,0.0,0.0,0.0,1.0
hsa-miR-137-5p,0.0,0.0,1.0,1.0
hsa-miR-138-5p,1.0,0.0,8.0,7.0
hsa-miR-139-3p,0.0,0.0,4.0,2.0
hsa-miR-139-5p,7.0,2.0,123.0,65.0
hsa-miR-140-3p,37.0,12.0,46.0,28.0
