miRNA,ERR5918165,ERR5918166,ERR5918167,ERR5918168,ERR5918169,ERR5918170,ERR5918175,ERR5918178,ERR5918193,ERR5918198,ERR5918202,ERR5918203,ERR5918211,ERR5918218,ERR5918219,ERR5918220,ERR5918228,ERR5918233,ERR5918234,ERR5918237,ERR5918238,ERR5918239,ERR5918240,ERR5918241,ERR5918242,ERR5918243,ERR5918244,ERR5918245,ERR5918246,ERR5918247,ERR5918264,ERR5918265,ERR5918266,ERR5918267,ERR5918268,ERR5918269,ERR5918270,ERR5918271,ERR5918272,ERR5918273,ERR5918274,ERR5918275,ERR5918276,ERR5918277,ERR5918278,ERR5918279,ERR5918280,ERR5918281,ERR5918282,ERR5918283,ERR5918284,ERR5918285,ERR5918286,ERR5918287,ERR5918288,ERR5918289,ERR5918290,ERR5918298,ERR5918299,ERR5918300,ERR5918301,ERR5918302,ERR5918303,ERR5918304,ERR5918305,ERR5918306,ERR5918307,ERR5918308,ERR5918309,ERR5918310,ERR5918311,ERR5918312,ERR5918313,ERR5918314,ERR5918315,ERR5918318,ERR5918319,ERR5918320,ERR5918321,ERR5918322,ERR5918328,ERR5918329,ERR5918330,ERR5918331,ERR5918332,ERR5918333,ERR5918334,ERR5918335,ERR5918338,ERR5918339,ERR5918340,ERR5918341,ERR5918342,ERR5918345,ERR5918346,ERR5918347,ERR5918349,ERR5918350,ERR5918353,ERR5918354,ERR5918355,ERR5918357,ERR5918358,ERR5918359,ERR5918360,ERR5918361,ERR5918362,ERR5918363,ERR5918364,ERR5918367,ERR5918368,ERR5918369,ERR5918370,ERR5918163,ERR5918164,ERR5918171,ERR5918172,ERR5918173,ERR5918174,ERR5918176,ERR5918177,ERR5918179,ERR5918180,ERR5918181,ERR5918182,ERR5918183,ERR5918184,ERR5918185,ERR5918186,ERR5918187,ERR5918188,ERR5918189,ERR5918190,ERR5918191,ERR5918192,ERR5918194,ERR5918195,ERR5918196,ERR5918197,ERR5918199,ERR5918200,ERR5918201,ERR5918204,ERR5918205,ERR5918206,ERR5918207,ERR5918208,ERR5918209,ERR5918210,ERR5918212,ERR5918213,ERR5918214,ERR5918215,ERR5918216,ERR5918217,ERR5918221,ERR5918222,ERR5918223,ERR5918224,ERR5918225,ERR5918226,ERR5918227,ERR5918229,ERR5918230,ERR5918231,ERR5918232,ERR5918235,ERR5918236,ERR5918248,ERR5918249,ERR5918250,ERR5918251,ERR5918252,ERR5918253,ERR5918254,ERR5918255,ERR5918256,ERR5918257,ERR5918258,ERR5918259,ERR5918260,ERR5918261,ERR5918262,ERR5918263,ERR5918291,ERR5918292,ERR5918293,ERR5918294,ERR5918295,ERR5918296,ERR5918297,ERR5918316,ERR5918317,ERR5918323,ERR5918324,ERR5918325,ERR5918326,ERR5918327,ERR5918336,ERR5918337,ERR5918343,ERR5918344,ERR5918348,ERR5918351,ERR5918352,ERR5918356,ERR5918365,ERR5918366
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21,0.0,0.0,1.18,0.0,0.0,0.0,0.0,13.23,12.07,13.56,12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.58,0.0,1.07,0.0,0.0,8.67,11.4,0.0,0.0,0.0,2.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.71,0.0,8.87,4.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-5p,281.41,629.3,86.22,272.97,319.06,152.62,613.46,624.42,272.37,650.84,429.97,440.24,483.2,603.66,776.69,888.05,173.82,481.95,480.68,692.26,758.35,662.92,904.23,723.76,791.83,631.69,206.08,676.83,793.8,963.22,790.35,1363.12,796.89,417.77,448.78,420.33,495.75,395.19,433.79,476.41,543.79,9879.5,9911.98,9734.62,9972.15,744.91,562.21,884.83,900.17,399.81,280.94,368.16,390.08,569.91,756.85,965.38,595.2,191.16,612.03,729.4,39704.51,39858.49,489.13,543.14,582.6,362.25,649.53,200.76,762.31,752.91,189.39,646.58,241.95,239.97,515.36,414.7,331.23,301.4,291.09,308.34,226.02,247.22,119.14,491.9,516.78,209.31,599.55,421.92,306.04,130.64,134.93,124.17,86.57,274.61,524.87,471.72,534.04,592.06,898.91,826.16,265.87,333.54,648.75,542.33,639.79,635.93,601.7,814.91,363.09,1035.41,1094.67,858.42,242.75,560.74,268.34,708.9,737.84,687.98,631.04,510.19,550.04,247.82,278.11,94.68,295.49,470.26,444.16,443.92,382.23,638.34,714.17,643.89,601.3,259.09,301.94,244.58,225.45,590.34,172.55,397.71,438.91,443.23,566.69,577.12,597.0,657.01,245.91,657.31,394.23,542.39,472.99,522.22,604.86,577.71,221.01,652.01,839.9,836.81,820.13,905.29,913.27,571.33,567.45,491.88,410.09,809.78,615.17,870.16,433.78,760.1,1005.27,342.09,792.33,779.55,784.94,1266.06,1338.37,728.88,797.17,1131.84,1244.67,1203.9,1222.37,1117.31,127.68,128.98,140.41,266.63,265.12,269.52,321.52,614.21,644.77,142.56,136.19,193.01,475.44,173.68,597.49,600.62,453.31,622.62,458.66,753.54,205.36,612.9,387.84,968.93
hsa-let-7b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.29,0.15,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7b-5p,17769.48,16155.89,14893.82,16174.12,15352.8,16062.01,26738.13,28206.37,13203.91,33969.01,30827.13,17883.59,32542.39,33985.51,24161.69,23783.35,34004.13,23506.89,24166.74,29920.68,30668.08,27005.71,28790.81,28749.21,28831.6,64617.83,64773.49,63925.71,65074.5,32452.74,37911.48,36725.86,37845.96,5771.48,5784.28,4762.09,5954.87,3971.22,3927.51,3850.27,3912.0,2309.56,2294.43,2281.11,2275.46,5548.65,4229.74,5639.85,5568.76,21224.1,21046.2,20896.64,21285.92,12505.77,14447.34,15217.23,14062.76,9802.38,10884.37,10444.4,12966.56,12981.4,15317.47,16655.39,16315.47,16975.37,44273.0,44902.7,48276.17,45348.1,34049.04,33252.14,33923.33,28755.47,10702.81,10697.25,14489.7,14378.9,14182.11,14491.88,5949.84,5739.08,5962.72,26402.18,26188.92,26091.76,26713.78,20529.46,24082.11,6370.95,6776.84,6571.95,6994.64,19817.68,19861.45,20826.61,18815.75,20813.12,56479.71,57192.03,22200.35,22597.58,22408.62,41396.59,43408.98,42326.83,43137.28,57199.92,61123.52,49225.4,50045.91,48433.06,49486.97,17968.57,17655.89,13059.73,13842.39,13163.38,13323.61,24952.69,26557.15,23749.73,24439.81,22159.71,20701.34,19353.01,19927.97,18812.26,16847.35,20011.31,22042.19,21864.57,20057.59,13972.26,14242.91,14668.35,32887.98,34180.75,32953.88,26838.92,30091.47,29711.23,19749.97,18945.29,19839.65,36603.64,36215.99,35041.68,35909.62,32184.1,31861.37,31889.33,33352.58,32542.77,30994.89,20465.75,23870.51,23716.53,20506.57,23356.75,24076.93,33578.79,33318.51,31189.38,23649.83,24743.63,26449.19,31479.62,33939.51,32432.46,33649.4,35481.66,35767.9,35515.75,35350.68,31026.98,32807.94,31319.05,31852.21,34173.14,35169.3,34346.66,33626.98,30866.23,7723.3,7349.09,7295.61,7408.02,10082.56,9024.81,10135.52,10781.02,10547.91,20162.91,19653.81,19601.49,20035.42,5951.68,23424.29,23625.41,19911.15,19813.8,20852.81,56555.04,55693.86,22706.25,59842.13,61439.41
hsa-let-7c-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7c-5p,384.59,11.29,155.75,3.0,0.0,146.86,6.6,3.36,2.9,2.28,17.3,8.31,13.71,15.03,33.77,25.87,313.45,369.95,405.68,40.92,13.91,9.68,0.0,10.05,15.03,0.0,582.91,5.74,5.71,9.13,595.9,6.03,619.12,0.0,3.65,2.02,4.73,4.83,6.45,1.63,6.3,101.37,70.1,99.81,74.09,3.82,4.39,17.31,9.32,4.88,0.0,9.82,14.45,5.88,24.76,3.58,360.34,145.24,0.0,14.19,291.91,276.52,16.38,30.74,18.05,322.0,25.57,494.17,25.04,27.7,469.36,40.67,433.84,411.38,1.6,274.89,11.23,5.53,11.2,13.77,12.22,8.17,103.25,6.83,26.67,291.66,3.37,0.0,355.41,0.0,4.35,0.0,69.25,393.07,13.06,21.28,13.11,7.01,5.05,29.51,283.84,304.54,21.27,8.7,9.05,12.06,26.42,10.06,590.7,26.1,132.42,34.86,684.91,24.92,345.0,3.79,7.85,11.47,0.0,3.09,10.12,4.13,4.28,173.59,17.18,0.0,5.38,2.54,2.24,2.5,20.0,2.76,0.0,6.24,3.25,15.68,352.97,2.36,301.95,2.21,5.16,0.0,3.11,3.02,6.03,14.93,399.61,24.9,394.23,14.09,41.13,37.54,12.55,12.72,302.43,28.98,54.05,13.25,6.71,7.53,9.38,0.0,5.46,5.02,389.76,3.49,9.05,21.49,619.68,22.49,22.64,449.39,2.19,1.08,3.16,22.71,11.95,493.57,658.53,9.47,0.0,9.44,4.68,0.0,136.19,126.18,83.1,2.75,4.55,6.17,2.3,3.16,3.22,268.93,249.69,258.43,3.19,12.12,6.79,6.83,5.33,8.05,10.67,14.87,706.25,21.76,639.12,0.0
hsa-let-7d-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.38,7.41,0.0,0.0,0.0,29.55,30.18,0.0,0.0,0.0,0.0,0.0,29.03,15.5,35.18,5.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21,2.43,0.0,3.55,1.61,3.23,5.69,1.57,124.35,126.38,132.88,128.38,0.0,0.0,1.92,1.86,9.75,9.86,4.91,4.82,0.0,7.07,7.15,3.22,0.0,5.75,2.84,178.06,186.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92,0.0,0.0,0.0,0.0,0.0,4.28,3.95,0.0,2.58,0.0,0.0,0.0,2.5,0.0,5.53,0.0,0.0,0.0,0.0,0.0,7.08,0.0,6.63,7.75,7.43,0.0,0.0,0.0,19.91,5.12,14.94,4.99,0.0,0.0,0.0,0.0,0.0,0.0,18.11,8.32,0.0,0.0,0.0,1.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15,0.0,1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7d-5p,12.51,5.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.76,17.3,0.0,3.43,5.01,4.22,4.31,2.85,16.97,20.45,27.28,31.31,62.91,46.5,40.21,5.01,0.0,0.0,0.0,0.0,4.57,6.27,0.0,6.13,21.73,21.89,24.25,20.11,26.56,34.67,40.65,32.27,766.46,753.18,785.65,782.95,64.94,38.07,50.01,52.18,4.88,0.0,0.0,4.82,41.13,28.29,25.03,25.74,5.34,37.35,17.03,2148.55,2241.05,7.02,17.93,5.16,7.55,2.56,0.0,8.35,2.52,12.35,0.0,4.17,0.0,9.57,4.71,5.61,0.0,0.0,0.0,6.11,2.04,5.96,6.83,3.33,3.43,3.37,11.33,16.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.28,3.5,5.05,0.0,7.19,7.25,21.27,14.5,6.04,3.01,2.94,5.03,0.0,4.35,0.0,4.36,17.34,6.23,9.58,15.16,19.62,11.47,18.89,3.09,3.37,0.0,0.0,0.0,0.0,20.67,26.92,27.9,29.06,12.52,8.57,5.53,9.98,3.12,3.25,0.0,11.39,11.81,6.81,8.84,7.75,19.81,6.23,9.06,18.09,29.86,5.12,14.94,9.98,3.52,0.0,0.0,2.51,2.54,0.0,3.62,4.16,13.25,5.03,5.65,13.13,2.76,5.46,7.53,6.78,13.96,21.11,28.65,9.53,4.5,4.53,2.12,4.39,2.15,4.21,5.68,5.97,0.0,11.55,9.47,0.0,9.44,9.37,9.84,2.84,0.0,5.73,2.75,0.0,2.06,1.15,6.32,11.26,3.24,3.24,3.27,0.0,2.02,10.18,23.89,0.0,0.0,0.0,0.0,5.01,14.51,5.46,15.88
hsa-let-7e-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.04,0.87,1.49,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.58,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
