miRNA,ERR5922419,ERR5922420,ERR5922421,ERR5922422,ERR5922423,ERR5922424,ERR5922425,ERR5922426,ERR5922427,ERR5922428
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0
hsa-let-7a-3p,3.36,2.93,2.03,3.42,8.31,14.13,5.92,14.82,10.42,9.94
hsa-let-7a-5p,543.03,813.91,470.21,792.3,591.74,899.92,853.81,1134.01,750.41,2501.42
hsa-let-7b-3p,0.0,0.09,0.0,0.12,0.7,1.51,0.83,0.57,0.78,1.12
hsa-let-7b-5p,72.46,108.3,89.24,68.68,242.66,375.09,395.85,273.82,649.77,867.88
hsa-let-7c-3p,0.11,0.09,0.1,0.0,0.0,0.84,0.5,0.43,0.13,0.5
hsa-let-7c-5p,50.88,72.69,42.49,26.62,55.36,84.2,181.42,80.78,301.65,352.59
hsa-let-7d-3p,7.92,4.94,4.45,3.42,14.32,23.81,39.27,22.79,20.18,27.94
hsa-let-7d-5p,48.92,32.31,32.04,36.16,27.63,28.6,48.94,42.74,46.87,118.48
hsa-let-7e-3p,2.06,0.64,1.16,0.71,2.6,4.37,6.17,3.99,6.38,4.97
hsa-let-7e-5p,81.57,79.28,72.11,80.69,147.56,31.46,85.46,66.53,114.96,249.76
hsa-let-7f-1-3p,0.22,0.18,0.1,0.0,0.4,0.59,0.58,0.85,0.78,0.25
hsa-let-7f-2-3p,0.11,0.09,0.39,0.0,0.8,0.5,0.5,0.57,0.78,0.12
hsa-let-7f-5p,880.07,656.64,573.97,594.76,534.38,663.88,533.5,718.87,537.94,993.94
hsa-let-7g-3p,0.22,0.37,0.0,0.12,0.7,0.25,1.0,0.85,1.95,0.25
hsa-let-7g-5p,520.36,272.61,399.26,352.45,614.16,357.6,325.57,436.65,700.42,544.47
hsa-let-7i-3p,0.22,0.09,0.0,0.0,0.6,1.51,1.25,0.71,0.39,0.5
hsa-let-7i-5p,1903.22,2365.1,1011.17,860.03,1228.62,1419.79,1525.29,1694.89,1885.92,2425.54
hsa-miR-1-3p,15.84,23.71,36.01,93.65,137.85,142.5,41.1,78.21,111.44,658.24
hsa-miR-100-3p,0.11,0.0,0.29,0.12,0.0,1.09,0.08,0.0,0.26,0.25
hsa-miR-100-5p,8122.09,2381.22,2717.88,833.18,1285.18,35490.31,19419.11,6646.51,9570.07,2689.33
hsa-miR-101-2-5p,0.0,0.0,0.19,0.0,0.1,0.08,0.0,0.0,0.39,0.0
hsa-miR-101-3p,272.82,257.97,173.93,129.93,323.65,670.19,292.38,562.31,561.9,385.75
hsa-miR-101-5p,0.33,0.0,0.0,0.0,0.1,0.25,0.33,0.0,0.0,0.12
hsa-miR-10392-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0
hsa-miR-10393-3p,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10394-3p,0.0,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.37
hsa-miR-10394-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0
hsa-miR-10395-3p,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.13,0.0
hsa-miR-10396b-3p,0.43,0.37,0.0,0.12,0.1,0.0,0.33,0.0,0.0,0.0
hsa-miR-10398-3p,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.14,0.0,0.12
hsa-miR-10399-3p,0.43,0.37,0.0,0.24,0.4,3.28,1.17,1.42,0.26,1.37
hsa-miR-10399-5p,0.11,0.0,0.1,0.0,0.1,0.08,0.0,0.0,0.0,0.25
hsa-miR-103a-2-5p,0.0,0.0,0.0,0.12,0.3,0.0,0.0,0.0,0.39,0.0
hsa-miR-103a-3p,222.7,17.58,0.97,3.06,42.35,6.98,157.99,211.56,186.3,93.77
hsa-miR-10401-3p,0.11,0.37,0.1,0.12,0.2,0.93,0.75,0.71,0.13,0.25
hsa-miR-10401-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
hsa-miR-105-3p,0.43,0.09,0.0,0.35,0.2,1.68,1.92,1.57,0.52,0.5
hsa-miR-105-5p,29.18,21.33,5.42,7.42,32.23,81.6,262.7,151.72,45.18,201.82
hsa-miR-10522-5p,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10526-3p,0.0,0.0,0.0,0.0,0.0,0.42,0.08,0.0,0.0,0.0
hsa-miR-10527-5p,0.0,0.09,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0
hsa-miR-106a-3p,0.0,0.0,0.0,0.35,2.3,1.09,0.42,1.28,1.3,0.37
hsa-miR-106a-5p,0.98,0.82,1.55,2.83,8.71,5.64,3.25,4.99,6.64,13.16
hsa-miR-106b-3p,67.04,79.46,41.72,60.9,166.18,142.16,187.59,230.22,210.13,234.73
hsa-miR-106b-5p,16.71,3.57,15.49,19.79,30.83,29.86,9.59,13.11,39.84,33.41
hsa-miR-107,7.38,2.65,10.26,16.84,30.53,10.09,214.27,8.98,84.23,44.09
hsa-miR-10a-3p,5.64,3.94,5.32,2.83,14.12,50.81,23.09,41.31,16.14,13.79
hsa-miR-10a-5p,322.07,298.89,196.68,106.37,500.04,1260.46,1143.28,636.1,669.69,822.55
hsa-miR-10b-3p,1.19,0.55,0.39,0.35,3.5,3.36,5.5,4.42,1.56,2.11
hsa-miR-10b-5p,142.97,110.49,32.42,32.28,406.74,534.67,649.05,461.73,128.11,402.52
hsa-miR-11399,0.54,0.64,0.19,0.12,0.0,1.77,1.42,1.57,0.26,0.75
