miRNA,ERR5922419,ERR5922420,ERR5922421,ERR5922422,ERR5922423,ERR5922424,ERR5922425,ERR5922426,ERR5922427,ERR5922428
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
hsa-let-7a-3p,31.0,32.0,21.0,29.0,83.0,168.0,71.0,104.0,80.0,80.0
hsa-let-7a-5p,5006.0,8891.0,4858.0,6726.0,5911.0,10698.0,10241.0,7960.0,5764.0,20141.0
hsa-let-7b-3p,0.0,1.0,0.0,1.0,7.0,18.0,10.0,4.0,6.0,9.0
hsa-let-7b-5p,668.0,1183.0,922.0,583.0,2424.0,4459.0,4748.0,1922.0,4991.0,6988.0
hsa-let-7c-3p,1.0,1.0,1.0,0.0,0.0,10.0,6.0,3.0,1.0,4.0
hsa-let-7c-5p,469.0,794.0,439.0,226.0,553.0,1001.0,2176.0,567.0,2317.0,2839.0
hsa-let-7d-3p,73.0,54.0,46.0,29.0,143.0,283.0,471.0,160.0,155.0,225.0
hsa-let-7d-5p,451.0,353.0,331.0,307.0,276.0,340.0,587.0,300.0,360.0,954.0
hsa-let-7e-3p,19.0,7.0,12.0,6.0,26.0,52.0,74.0,28.0,49.0,40.0
hsa-let-7e-5p,752.0,866.0,745.0,685.0,1474.0,374.0,1025.0,467.0,883.0,2011.0
hsa-let-7f-1-3p,2.0,2.0,1.0,0.0,4.0,7.0,7.0,6.0,6.0,2.0
hsa-let-7f-2-3p,1.0,1.0,4.0,0.0,8.0,6.0,6.0,4.0,6.0,1.0
hsa-let-7f-5p,8113.0,7173.0,5930.0,5049.0,5338.0,7892.0,6399.0,5046.0,4132.0,8003.0
hsa-let-7g-3p,2.0,4.0,0.0,1.0,7.0,3.0,12.0,6.0,15.0,2.0
hsa-let-7g-5p,4797.0,2978.0,4125.0,2992.0,6135.0,4251.0,3905.0,3065.0,5380.0,4384.0
hsa-let-7i-3p,2.0,1.0,0.0,0.0,6.0,18.0,15.0,5.0,3.0,4.0
hsa-let-7i-5p,17545.0,25836.0,10447.0,7301.0,12273.0,16878.0,18295.0,11897.0,14486.0,19530.0
hsa-miR-1-3p,146.0,259.0,372.0,795.0,1377.0,1694.0,493.0,549.0,856.0,5300.0
hsa-miR-100-3p,1.0,0.0,3.0,1.0,0.0,13.0,1.0,0.0,2.0,2.0
hsa-miR-100-5p,74874.0,26012.0,28080.0,7073.0,12838.0,421898.0,232922.0,46654.0,73509.0,21654.0
hsa-miR-101-2-5p,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0
hsa-miR-101-3p,2515.0,2818.0,1797.0,1103.0,3233.0,7967.0,3507.0,3947.0,4316.0,3106.0
hsa-miR-101-5p,3.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,1.0
hsa-miR-10392-5p,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-10393-3p,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10394-3p,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0
hsa-miR-10394-5p,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-10395-3p,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-10396b-3p,4.0,4.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0
hsa-miR-10398-3p,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
hsa-miR-10399-3p,4.0,4.0,0.0,2.0,4.0,39.0,14.0,10.0,2.0,11.0
hsa-miR-10399-5p,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0
hsa-miR-103a-2-5p,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0
hsa-miR-103a-3p,2053.0,192.0,10.0,26.0,423.0,83.0,1895.0,1485.0,1431.0,755.0
hsa-miR-10401-3p,1.0,4.0,1.0,1.0,2.0,11.0,9.0,5.0,1.0,2.0
hsa-miR-10401-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
hsa-miR-105-3p,4.0,1.0,0.0,3.0,2.0,20.0,23.0,11.0,4.0,4.0
hsa-miR-105-5p,269.0,233.0,56.0,63.0,322.0,970.0,3151.0,1065.0,347.0,1625.0
hsa-miR-10522-5p,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10526-3p,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0
hsa-miR-10527-5p,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-106a-3p,0.0,0.0,0.0,3.0,23.0,13.0,5.0,9.0,10.0,3.0
hsa-miR-106a-5p,9.0,9.0,16.0,24.0,87.0,67.0,39.0,35.0,51.0,106.0
hsa-miR-106b-3p,618.0,868.0,431.0,517.0,1660.0,1690.0,2250.0,1616.0,1614.0,1890.0
hsa-miR-106b-5p,154.0,39.0,160.0,168.0,308.0,355.0,115.0,92.0,306.0,269.0
hsa-miR-107,68.0,29.0,106.0,143.0,305.0,120.0,2570.0,63.0,647.0,355.0
hsa-miR-10a-3p,52.0,43.0,55.0,24.0,141.0,604.0,277.0,290.0,124.0,111.0
hsa-miR-10a-5p,2969.0,3265.0,2032.0,903.0,4995.0,14984.0,13713.0,4465.0,5144.0,6623.0
hsa-miR-10b-3p,11.0,6.0,4.0,3.0,35.0,40.0,66.0,31.0,12.0,17.0
hsa-miR-10b-5p,1318.0,1207.0,335.0,274.0,4063.0,6356.0,7785.0,3241.0,984.0,3241.0
hsa-miR-11399,5.0,7.0,2.0,1.0,0.0,21.0,17.0,11.0,2.0,6.0
hsa-miR-11400,4.0,0.0,0.0,10.0,0.0,10.0,5.0,0.0,0.0,20.0
hsa-miR-11401,1.0,2.0,0.0,0.0,1.0,10.0,24.0,9.0,5.0,15.0
hsa-miR-1179,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-1180-3p,72.0,125.0,82.0,79.0,486.0,1291.0,1668.0,919.0,338.0,1211.0
hsa-miR-1185-1-3p,16.0,29.0,19.0,20.0,58.0,24.0,27.0,43.0,39.0,92.0
hsa-miR-1185-2-3p,1.0,7.0,3.0,3.0,35.0,10.0,5.0,15.0,3.0,8.0
hsa-miR-1185-5p,1.0,9.0,21.0,10.0,145.0,10.0,7.0,22.0,96.0,24.0
hsa-miR-1193,0.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0
hsa-miR-1197,18.0,22.0,38.0,25.0,488.0,69.0,72.0,110.0,285.0,129.0
hsa-miR-12114,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
hsa-miR-12131,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-12133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-12136,10.0,2.0,15.0,9.0,276.0,1.0,0.0,0.0,3.0,7.0
hsa-miR-122-5p,565.0,947.0,1.0,5.0,11.0,28.0,356.0,50.0,5.0,28.0
hsa-miR-1226-3p,2.0,0.0,0.0,2.0,3.0,1.0,1.0,1.0,1.0,6.0
hsa-miR-1226-5p,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1227-3p,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
hsa-miR-1228-3p,1.0,0.0,1.0,1.0,1.0,9.0,7.0,2.0,2.0,14.0
hsa-miR-1228-5p,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0
hsa-miR-1229-3p,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
hsa-miR-122b-5p,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
hsa-miR-1231,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0
hsa-miR-1233-3p,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-1234-3p,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0
hsa-miR-1236-5p,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-1237-5p,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
hsa-miR-124-3p,0.0,17.0,0.0,1.0,5.0,3.0,6.0,87.0,2.0,2.0
hsa-miR-124-5p,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1243,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
hsa-miR-1244,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1245a,0.0,6.0,0.0,3.0,1.0,0.0,5.0,2.0,4.0,7.0
hsa-miR-1245b-3p,1.0,2.0,0.0,0.0,1.0,0.0,6.0,4.0,0.0,0.0
hsa-miR-1245b-5p,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1246,108.0,511.0,15.0,6.0,93.0,141.0,898.0,1375.0,24.0,35.0
hsa-miR-1247-3p,1.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0
hsa-miR-1247-5p,70.0,96.0,89.0,115.0,464.0,221.0,448.0,258.0,282.0,582.0
hsa-miR-1248,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-1249-3p,4.0,3.0,2.0,3.0,8.0,23.0,35.0,10.0,12.0,11.0
hsa-miR-1249-5p,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1250-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-1250-5p,2.0,15.0,0.0,2.0,8.0,4.0,15.0,22.0,2.0,10.0
hsa-miR-1251-5p,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0
hsa-miR-1252-5p,2.0,0.0,4.0,0.0,2.0,1.0,0.0,2.0,5.0,0.0
hsa-miR-1255a,4.0,7.0,2.0,0.0,2.0,3.0,3.0,2.0,6.0,1.0
hsa-miR-1255b-5p,8.0,39.0,27.0,15.0,67.0,82.0,124.0,60.0,116.0,140.0
hsa-miR-1256,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
