miRNA,ERR5981316,ERR5981317,ERR5981318,ERR5981319,ERR5981320,ERR5981321,ERR5981322,ERR5981323,ERR5981324,ERR5981325,ERR5981326,ERR5981327,ERR5981328,ERR5981329,ERR5981330,ERR5981331,ERR5981332,ERR5981333,ERR5981334,ERR5981335,ERR5981336,ERR5981337,ERR5981338,ERR5981339
hsa-let-7a-3p,0.0,158.38,1.91,39.55,5.16,3.42,30.39,3.17,4.66,27.81,0.97,0.96,0.0,6.75,0.0,66.25,93.84,0.77,0.0,27.33,37.54,57.72,170.21,1.61
hsa-let-7a-5p,450.4,36880.5,129.88,12571.84,2647.38,76.25,13266.01,1425.49,1001.43,7493.49,2972.32,918.43,984.52,152.17,41.51,18079.32,32025.96,396.47,975.59,10853.73,14860.78,12586.84,24884.23,578.13
hsa-let-7b-3p,0.0,30.74,0.0,18.65,0.0,0.0,26.49,0.0,0.0,4.94,0.0,0.0,1.6,0.0,0.0,16.7,45.3,0.0,0.0,5.63,11.55,7.14,17.41,0.0
hsa-let-7b-5p,957.58,40657.81,4590.5,16411.2,5783.34,2016.6,20549.29,2542.05,1501.45,7796.77,5026.32,1634.49,2859.9,7889.73,2424.19,22149.67,43559.32,970.69,2125.54,12191.53,16290.37,10241.88,23604.21,1443.37
hsa-let-7c-3p,0.0,29.64,0.0,11.95,0.32,0.21,6.71,0.0,0.0,3.66,1.93,0.39,0.0,0.75,0.0,4.53,24.42,0.15,0.92,4.58,8.66,3.33,7.28,0.0
hsa-let-7c-5p,194.58,94821.42,2174.15,32387.92,494.39,980.96,35823.39,258.38,154.57,16342.31,516.88,193.5,302.27,3443.74,1031.94,42360.53,81422.76,98.16,169.77,23385.29,30659.37,21734.65,47883.3,99.3
hsa-let-7d-3p,0.0,413.19,3.51,306.01,0.97,0.43,170.76,0.0,0.0,73.6,0.0,0.0,11.18,5.62,1.66,347.13,255.45,0.31,0.0,46.29,89.07,86.76,109.26,2.06
hsa-let-7d-5p,11.48,14446.1,13.08,4708.45,22.57,10.47,4529.09,12.21,4.66,2731.97,22.22,7.51,6.92,35.98,7.89,5196.4,9609.28,2.61,13.13,3163.88,4758.82,3381.19,6068.12,7.34
hsa-let-7e-3p,0.0,6.48,0.0,4.21,0.0,0.0,3.15,0.0,0.0,1.47,0.0,0.0,0.0,0.0,0.0,6.98,9.3,0.0,0.0,0.8,3.74,1.45,4.44,0.0
hsa-let-7e-5p,0.96,2638.8,2.87,860.92,4.84,4.49,937.38,3.66,1.4,592.11,17.87,2.7,1.06,4.87,3.74,1868.73,2698.74,1.07,1.83,634.95,1413.4,1174.66,2013.92,2.52
hsa-let-7f-1-3p,0.0,6.19,0.0,0.98,0.0,0.21,5.27,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,2.39,4.59,0.0,0.0,0.96,3.28,2.84,4.69,0.0
hsa-let-7f-2-3p,0.0,1.62,0.0,0.37,0.32,0.0,0.27,0.0,0.0,0.29,0.0,0.58,0.0,0.0,0.0,1.25,2.41,0.31,0.0,0.4,2.49,0.67,3.01,0.0
