miRNA,ERR5981316,ERR5981317,ERR5981318,ERR5981319,ERR5981320,ERR5981321,ERR5981322,ERR5981323,ERR5981324,ERR5981325,ERR5981326,ERR5981327,ERR5981328,ERR5981329,ERR5981330,ERR5981331,ERR5981332,ERR5981333,ERR5981334,ERR5981335,ERR5981336,ERR5981337,ERR5981338,ERR5981339
hsa-let-7a-3p,0.0,2736.0,6.0,649.0,16.0,16.0,444.0,13.0,10.0,585.0,2.0,5.0,0.0,18.0,0.0,1111.0,1595.0,5.0,0.0,680.0,663.0,954.0,2033.0,7.0
hsa-let-7a-5p,1412.0,637120.0,407.0,206278.0,8209.0,357.0,193828.0,5837.0,2151.0,157612.0,6153.0,4770.0,3700.0,406.0,100.0,303174.0,544352.0,2585.0,3195.0,270101.0,262445.0,208049.0,297227.0,2521.0
hsa-let-7b-3p,0.0,531.0,0.0,306.0,0.0,0.0,387.0,0.0,0.0,104.0,0.0,0.0,6.0,0.0,0.0,280.0,770.0,0.0,0.0,140.0,204.0,118.0,208.0,0.0
hsa-let-7b-5p,3002.0,702374.0,14385.0,269274.0,17933.0,9442.0,300243.0,10409.0,3225.0,163991.0,10405.0,8489.0,10748.0,21050.0,5840.0,371430.0,740387.0,6329.0,6961.0,303393.0,287692.0,169289.0,281938.0,6294.0
hsa-let-7c-3p,0.0,512.0,0.0,196.0,1.0,1.0,98.0,0.0,0.0,77.0,4.0,2.0,0.0,2.0,0.0,76.0,415.0,1.0,3.0,114.0,153.0,55.0,87.0,0.0
hsa-let-7c-5p,610.0,1638064.0,6813.0,531419.0,1533.0,4593.0,523411.0,1058.0,332.0,343731.0,1070.0,1005.0,1136.0,9188.0,2486.0,710348.0,1383960.0,640.0,556.0,581956.0,541452.0,359254.0,571937.0,433.0
hsa-let-7d-3p,0.0,7138.0,11.0,5021.0,3.0,2.0,2495.0,0.0,0.0,1548.0,0.0,0.0,42.0,15.0,4.0,5821.0,4342.0,2.0,0.0,1152.0,1573.0,1434.0,1305.0,9.0
hsa-let-7d-5p,36.0,249560.0,41.0,77256.0,70.0,49.0,66174.0,50.0,10.0,57462.0,46.0,39.0,26.0,96.0,19.0,87139.0,163331.0,17.0,43.0,78735.0,84042.0,55888.0,72480.0,32.0
hsa-let-7e-3p,0.0,112.0,0.0,69.0,0.0,0.0,46.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,117.0,158.0,0.0,0.0,20.0,66.0,24.0,53.0,0.0
hsa-let-7e-5p,3.0,45586.0,9.0,14126.0,15.0,21.0,13696.0,15.0,3.0,12454.0,37.0,14.0,4.0,13.0,9.0,31337.0,45871.0,7.0,6.0,15801.0,24961.0,19416.0,24055.0,11.0
hsa-let-7f-1-3p,0.0,107.0,0.0,16.0,0.0,1.0,77.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,40.0,78.0,0.0,0.0,24.0,58.0,47.0,56.0,0.0
hsa-let-7f-2-3p,0.0,28.0,0.0,6.0,1.0,0.0,4.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,21.0,41.0,2.0,0.0,10.0,44.0,11.0,36.0,0.0
hsa-let-7f-5p,30.0,753408.0,99.0,210994.0,95.0,171.0,141446.0,182.0,39.0,198357.0,163.0,165.0,10.0,62.0,34.0,258329.0,419443.0,27.0,15.0,148074.0,223036.0,227913.0,412231.0,30.0
hsa-let-7g-3p,0.0,81.0,0.0,93.0,0.0,0.0,80.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,47.0,142.0,0.0,0.0,72.0,209.0,52.0,104.0,0.0
hsa-let-7g-5p,2.0,163115.0,21.0,49043.0,40.0,30.0,34284.0,59.0,2.0,44085.0,27.0,34.0,2.0,18.0,15.0,87707.0,156258.0,3.0,7.0,56814.0,67647.0,64650.0,116604.0,9.0
hsa-let-7i-3p,0.0,1706.0,0.0,868.0,0.0,0.0,1136.0,2.0,0.0,537.0,1.0,1.0,0.0,0.0,0.0,617.0,1043.0,0.0,0.0,532.0,886.0,606.0,1262.0,3.0
hsa-let-7i-5p,32.0,793094.0,840.0,219042.0,1116.0,721.0,156647.0,1148.0,240.0,193534.0,1128.0,826.0,349.0,308.0,359.0,248908.0,488607.0,266.0,149.0,153746.0,247166.0,205152.0,392603.0,217.0
hsa-miR-1-3p,0.0,5.0,0.0,2.0,0.0,0.0,0.0,2.0,3.0,5.0,0.0,1.0,0.0,2.0,3.0,4.0,6.0,4.0,0.0,4.0,1.0,5.0,18.0,0.0
hsa-miR-100-5p,0.0,185.0,0.0,47.0,4.0,0.0,24.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,20.0,38.0,0.0,0.0,30.0,14.0,11.0,14.0,0.0
hsa-miR-101-2-5p,0.0,11.0,0.0,5.0,0.0,0.0,9.0,4.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,22.0,0.0,0.0,0.0,10.0,7.0,15.0,0.0
hsa-miR-101-3p,90.0,3748.0,273.0,1246.0,185.0,169.0,465.0,2089.0,421.0,1218.0,1932.0,838.0,143.0,136.0,78.0,1781.0,4197.0,181.0,90.0,1040.0,1634.0,3019.0,12912.0,276.0
hsa-miR-101-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,2.0,4.0,16.0,0.0
hsa-miR-10394-3p,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10395-3p,0.0,53.0,0.0,40.0,0.0,0.0,10.0,4.0,0.0,18.0,0.0,8.0,7.0,0.0,0.0,73.0,2.0,2.0,0.0,18.0,5.0,27.0,1.0,4.0
hsa-miR-10396a-3p,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10396b-3p,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10396b-5p,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-103a-1-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
hsa-miR-103a-2-5p,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,3.0,3.0,3.0,0.0
hsa-miR-103a-3p,15553.0,130697.0,34393.0,10102.0,67668.0,59849.0,29069.0,79761.0,15162.0,7459.0,47577.0,44635.0,16502.0,27855.0,19458.0,1052.0,3673.0,16311.0,16323.0,9514.0,58454.0,24853.0,20729.0,23109.0
hsa-miR-10401-3p,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10401-5p,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10527-5p,0.0,0.0,0.0,13.0,0.0,0.0,3.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,14.0,8.0,7.0,5.0,0.0
hsa-miR-106a-3p,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-106a-5p,0.0,106.0,0.0,33.0,0.0,0.0,15.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,37.0,115.0,0.0,0.0,46.0,59.0,38.0,84.0,0.0
