miRNA,ERR7197456,ERR7197457,ERR7197458,ERR7197459,ERR7197460,ERR7197461
hsa-let-7a-2-3p,4.0,3.0,3.0,0.0,0.0,1.0
hsa-let-7a-3p,5921.0,4914.0,4706.0,17.0,13.0,31.0
hsa-let-7a-5p,5534.0,5383.0,5106.0,1723.0,1673.0,1580.0
hsa-let-7b-3p,33.0,39.0,38.0,0.0,0.0,0.0
hsa-let-7b-5p,1944.0,1956.0,1858.0,574.0,575.0,513.0
hsa-let-7c-3p,8.0,3.0,13.0,0.0,1.0,0.0
hsa-let-7c-5p,61135.0,55196.0,54733.0,517.0,569.0,487.0
hsa-let-7d-3p,641.0,599.0,570.0,91.0,125.0,118.0
hsa-let-7d-5p,391.0,425.0,395.0,547.0,628.0,549.0
hsa-let-7e-3p,68.0,83.0,82.0,0.0,0.0,3.0
hsa-let-7e-5p,1409.0,1016.0,1212.0,132.0,115.0,117.0
hsa-let-7f-1-3p,7.0,13.0,1.0,4.0,3.0,3.0
hsa-let-7f-2-3p,67.0,43.0,36.0,0.0,4.0,6.0
hsa-let-7f-5p,17214.0,13866.0,14104.0,3439.0,3283.0,3380.0
hsa-let-7g-3p,8.0,1.0,9.0,0.0,0.0,0.0
hsa-let-7g-5p,24680.0,21267.0,21769.0,3108.0,2997.0,2817.0
hsa-let-7i-3p,9.0,13.0,7.0,8.0,6.0,4.0
hsa-let-7i-5p,3748.0,3423.0,3627.0,3412.0,3429.0,3135.0
hsa-miR-1-3p,2054.0,1923.0,1815.0,8.0,9.0,17.0
hsa-miR-100-5p,18884.0,16554.0,16305.0,845.0,640.0,842.0
hsa-miR-101-2-5p,5.0,11.0,1.0,0.0,0.0,0.0
hsa-miR-101-3p,46856.0,49549.0,46019.0,4080.0,4618.0,4059.0
hsa-miR-101-5p,24.0,3.0,9.0,1.0,0.0,0.0
hsa-miR-10395-3p,2.0,0.0,3.0,0.0,0.0,0.0
hsa-miR-103a-1-5p,0.0,3.0,3.0,0.0,0.0,0.0
hsa-miR-103a-2-5p,7.0,19.0,4.0,1.0,0.0,2.0
hsa-miR-103a-3p,36270.0,1088.0,27133.0,27.0,824.0,16.0
hsa-miR-10527-5p,1.0,2.0,6.0,0.0,0.0,0.0
hsa-miR-106a-5p,313.0,189.0,135.0,19.0,19.0,12.0
hsa-miR-106b-3p,4331.0,4873.0,4470.0,127.0,135.0,166.0
hsa-miR-106b-5p,25068.0,27506.0,27175.0,464.0,479.0,414.0
hsa-miR-107,2031.0,2790.0,647.0,162.0,14.0,7.0
hsa-miR-10a-3p,8.0,3.0,7.0,50.0,40.0,43.0
hsa-miR-10a-5p,395.0,274.0,281.0,1094.0,881.0,902.0
hsa-miR-10b-3p,14.0,12.0,17.0,52.0,63.0,49.0
hsa-miR-10b-5p,1984.0,1601.0,1270.0,1406.0,1214.0,1185.0
hsa-miR-1185-5p,25.0,22.0,29.0,3.0,3.0,1.0
hsa-miR-1197,131.0,131.0,138.0,11.0,14.0,9.0
hsa-miR-12114,0.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-122-5p,66.0,84.0,121.0,354.0,441.0,16.0
hsa-miR-122b-5p,2.0,2.0,1.0,2.0,2.0,1.0
hsa-miR-124-3p,3318.0,3545.0,3493.0,0.0,1.0,0.0
hsa-miR-124-5p,51.0,40.0,34.0,0.0,0.0,0.0
hsa-miR-1244,5.0,4.0,3.0,0.0,0.0,0.0
hsa-miR-1246,12.0,5.0,12.0,5.0,2.0,1.0
hsa-miR-1248,35.0,11.0,13.0,0.0,0.0,0.0
hsa-miR-1249-3p,395.0,399.0,314.0,1.0,1.0,3.0
hsa-miR-125a-3p,241.0,218.0,273.0,14.0,13.0,9.0
hsa-miR-125a-5p,6643.0,6292.0,5727.0,74.0,49.0,59.0
hsa-miR-125b-1-3p,307.0,282.0,252.0,35.0,57.0,38.0
hsa-miR-125b-2-3p,0.0,0.0,0.0,1.0,1.0,3.0
hsa-miR-125b-5p,25445.0,24273.0,23155.0,1436.0,1486.0,1328.0
hsa-miR-126-3p,20835.0,20788.0,19842.0,325.0,410.0,361.0
hsa-miR-126-5p,2976.0,3096.0,3255.0,52.0,49.0,67.0
hsa-miR-1260a,0.0,74.0,69.0,0.0,1.0,0.0
hsa-miR-1260b,16.0,34.0,29.0,0.0,0.0,0.0
hsa-miR-1268a,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-127-3p,1770.0,1947.0,1457.0,164.0,183.0,159.0
hsa-miR-127-5p,9.0,20.0,15.0,5.0,1.0,4.0
hsa-miR-1271-3p,0.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-1273c,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-1277-3p,1.0,6.0,1.0,0.0,0.0,0.0
hsa-miR-128-1-5p,22.0,6.0,36.0,0.0,0.0,1.0
hsa-miR-128-3p,8178.0,9369.0,8432.0,52.0,38.0,46.0
hsa-miR-1285-3p,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1285-5p,4.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1287-5p,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-129-1-3p,148.0,111.0,110.0,0.0,0.0,0.0
hsa-miR-129-2-3p,136.0,117.0,105.0,0.0,0.0,0.0
hsa-miR-129-5p,174.0,138.0,167.0,0.0,1.0,0.0
hsa-miR-1296-5p,3.0,7.0,1.0,0.0,1.0,2.0
hsa-miR-1297,38.0,2.0,1.0,1.0,0.0,1.0
hsa-miR-1298-5p,4.0,2.0,1.0,0.0,0.0,0.0
hsa-miR-1306-3p,19.0,31.0,21.0,2.0,3.0,0.0
hsa-miR-1306-5p,205.0,232.0,268.0,3.0,2.0,0.0
hsa-miR-1307-3p,9.0,8.0,8.0,7.0,8.0,1.0
hsa-miR-1307-5p,8.0,25.0,8.0,0.0,2.0,5.0
hsa-miR-130a-3p,7139.0,7237.0,6803.0,115.0,137.0,133.0
hsa-miR-130a-5p,57.0,51.0,54.0,0.0,5.0,1.0
hsa-miR-130b-3p,7438.0,7764.0,7496.0,6.0,9.0,4.0
hsa-miR-130b-5p,507.0,436.0,384.0,3.0,6.0,1.0
hsa-miR-132-3p,3442.0,3539.0,3529.0,20.0,36.0,10.0
hsa-miR-132-5p,670.0,637.0,524.0,0.0,1.0,0.0
hsa-miR-1322,0.0,3.0,0.0,0.0,0.0,0.0
hsa-miR-133a-3p,280.0,240.0,274.0,4.0,3.0,2.0
hsa-miR-133a-5p,6.0,8.0,7.0,0.0,0.0,0.0
hsa-miR-133b,19.0,22.0,7.0,0.0,0.0,0.0
hsa-miR-134-3p,2.0,3.0,4.0,0.0,0.0,0.0
hsa-miR-134-5p,299.0,258.0,224.0,0.0,0.0,0.0
hsa-miR-1343-3p,7.0,1.0,3.0,0.0,1.0,5.0
hsa-miR-135a-5p,7.0,2.0,22.0,0.0,1.0,1.0
hsa-miR-135b-3p,0.0,5.0,0.0,0.0,0.0,0.0
hsa-miR-135b-5p,23.0,12.0,25.0,2.0,0.0,0.0
hsa-miR-136-3p,1910.0,1918.0,1994.0,61.0,80.0,52.0
hsa-miR-136-5p,242.0,230.0,223.0,4.0,0.0,0.0
hsa-miR-137-3p,13156.0,12501.0,11885.0,25.0,19.0,15.0
hsa-miR-137-5p,62.0,67.0,75.0,0.0,0.0,0.0
hsa-miR-138-1-3p,49.0,69.0,85.0,0.0,0.0,0.0
hsa-miR-138-2-3p,58.0,39.0,47.0,0.0,0.0,0.0
hsa-miR-138-5p,8629.0,8513.0,7998.0,1.0,0.0,2.0
