miRNA,ERR10658906,ERR10658907,ERR10658908,ERR10658909,ERR10658910,ERR10658911
hsa-let-7a-2-3p,0.0,2.75,0.0,0.0,0.0,0.0
hsa-let-7a-3p,0.1,0.0,1.76,0.0,0.0,7.27
hsa-let-7a-5p,2476.35,10715.51,13214.65,9518.85,6360.44,5348.19
hsa-let-7b-3p,0.0,1.27,0.0,0.0,0.0,0.0
hsa-let-7b-5p,4795.43,11480.84,17754.81,12750.41,7784.99,10310.92
hsa-let-7c-3p,0.0,3.8,0.0,0.0,0.0,0.0
hsa-let-7c-5p,522.31,1553.28,2254.99,1404.48,1197.45,942.37
hsa-let-7d-3p,0.0,4.01,2.94,0.0,37.32,0.0
hsa-let-7d-5p,38.22,175.8,232.22,106.39,38.91,10.53
hsa-let-7e-5p,320.84,1347.47,1677.67,1001.83,570.93,458.65
hsa-let-7f-1-3p,0.0,0.21,0.0,0.0,0.0,0.0
hsa-let-7f-2-3p,0.0,0.0,0.0,0.0,0.0,0.25
hsa-let-7f-5p,1035.29,5737.89,7246.86,3698.49,3075.4,2182.24
hsa-let-7g-5p,58.37,215.1,246.13,107.87,183.43,90.98
hsa-let-7i-3p,0.0,0.0,2.55,0.0,0.0,0.0
hsa-let-7i-5p,943.63,5061.3,6090.26,2716.61,1345.94,2472.97
hsa-miR-1-3p,5.98,41.84,3.72,0.0,59.55,6.77
hsa-miR-100-3p,3.57,6.13,2.35,0.0,17.47,4.26
hsa-miR-100-5p,1037.6,3529.36,3581.49,1843.33,1519.04,939.61
hsa-miR-101-3p,2.73,47.33,49.38,115.99,45.26,43.86
hsa-miR-10396b-3p,8.08,0.0,0.0,0.0,0.79,0.0
hsa-miR-103a-3p,98.69,580.23,1152.68,2.96,192.16,111.03
hsa-miR-10400-3p,0.0,0.0,0.2,0.0,0.0,0.0
hsa-miR-10401-3p,0.0,0.21,1.57,31.03,0.0,0.0
hsa-miR-105-5p,0.0,0.21,5.68,0.0,0.0,1.25
hsa-miR-10526-3p,2.73,2.75,4.51,0.0,0.0,0.0
hsa-miR-106a-5p,0.0,0.21,0.0,0.0,0.0,0.25
hsa-miR-106b-3p,31.71,66.14,76.82,59.1,6.35,25.06
hsa-miR-106b-5p,0.0,0.42,5.88,0.0,0.79,0.0
hsa-miR-107,0.73,1.27,28.22,1.48,0.79,0.25
hsa-miR-10a-3p,2.73,9.09,6.86,54.67,0.79,0.25
hsa-miR-10a-5p,130.29,649.33,474.04,299.96,203.28,134.59
hsa-miR-10b-3p,0.0,0.0,0.2,0.0,0.0,0.0
hsa-miR-10b-5p,3.78,9.09,5.68,2.22,4.76,4.01
hsa-miR-1179,0.0,0.0,0.2,0.0,0.0,0.0
hsa-miR-1180-3p,8.08,22.4,29.98,1.48,3.18,5.76
hsa-miR-1185-1-3p,0.0,1.27,0.0,0.0,0.0,0.0
hsa-miR-1185-5p,0.0,2.11,0.0,0.0,0.0,0.0
hsa-miR-1197,0.0,0.0,2.55,0.0,0.0,0.0
hsa-miR-12136,26.46,62.12,50.76,0.74,0.0,5.51
hsa-miR-122-5p,5.88,53.46,16.46,8.13,0.79,49.62
hsa-miR-1226-3p,0.0,5.28,7.25,0.0,0.79,0.0
hsa-miR-1229-3p,0.0,0.0,0.0,0.0,0.0,0.25
hsa-miR-1229-5p,0.0,4.01,0.0,0.0,0.0,0.0
hsa-miR-1234-3p,0.0,0.0,0.0,0.0,0.79,0.0
hsa-miR-1237-5p,0.0,0.0,0.2,0.0,0.0,0.0
hsa-miR-124-3p,0.1,0.0,0.0,1.48,0.79,0.25
hsa-miR-124-5p,0.0,0.0,0.0,0.0,0.0,0.25
hsa-miR-1246,0.52,13.52,33.12,3.69,2.38,1.0
hsa-miR-1247-5p,0.52,0.85,0.39,0.74,1.59,1.0
hsa-miR-1248,5.14,3.38,0.0,0.0,0.0,3.01
hsa-miR-1249-3p,0.21,0.0,0.0,0.0,0.0,0.0
hsa-miR-1251-5p,0.21,0.21,0.59,0.0,0.0,0.0
hsa-miR-1255a,0.0,0.0,0.0,0.0,0.79,0.0
hsa-miR-1255b-5p,0.0,0.0,5.49,0.0,0.0,0.25
hsa-miR-1257,0.0,0.21,0.0,0.0,0.0,0.0
hsa-miR-125a-3p,0.1,1.06,0.2,0.0,0.0,0.0
hsa-miR-125a-5p,951.09,2913.0,3742.58,2872.5,850.44,754.15
hsa-miR-125b-1-3p,5.88,24.3,19.2,0.0,33.35,11.78
hsa-miR-125b-2-3p,2.52,0.21,6.27,0.0,0.0,0.0
hsa-miR-125b-5p,2020.07,7230.31,7258.03,6146.17,1464.25,1856.17
hsa-miR-126-3p,13.65,45.85,49.38,5.91,6.35,58.65
