miRNA,ERR9830982,ERR9830983,ERR9830984,ERR9830985,ERR9830986,ERR9830987,ERR9830988,ERR9830989,ERR9830990,ERR9830991,ERR9830992,ERR9830993,ERR9830994,ERR9830995,ERR9830996,ERR9830997,ERR9830998,ERR9830999,ERR9831000,ERR9831001,ERR9831002,ERR9831003,ERR9831004,ERR9831005,ERR9831006,ERR9831007,ERR9831008,ERR9831009,ERR9831010,ERR9831011,ERR9831012,ERR9831013,ERR9831014,ERR9831015,ERR9831016,ERR9831017,ERR9831018,ERR9831019,ERR9831020,ERR9831021,ERR9831022,ERR9831023,ERR9831024,ERR9831025,ERR9831026,ERR9831027,ERR9831028,ERR9831029,ERR9831030,ERR9831031,ERR9831032,ERR9831033
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-3p,3.28,1.11,0.56,4.13,1.23,2.03,6.42,2.75,1.28,1.56,9.4,0.16,0.87,0.36,9.51,3.15,3.99,0.36,2.16,1.36,2.13,4.8,1.44,0.52,1.9,0.16,11.83,1.34,5.21,1.11,1.17,2.38,1.32,3.1,1.14,2.01,0.15,0.95,1.08,0.0,0.15,0.73,0.14,1.02,0.7,0.27,1.04,0.27,0.84,1.64,4.15,0.18
hsa-let-7a-5p,710.73,194.53,291.49,750.85,236.16,2602.65,1500.04,750.75,821.49,344.44,1515.68,218.74,293.11,407.21,2208.13,1670.31,879.07,745.17,369.72,414.17,1034.29,1734.41,917.75,656.26,493.97,151.54,1786.12,157.62,1581.28,129.51,41.44,376.02,119.99,508.97,280.14,300.59,231.52,199.8,365.45,90.03,232.15,287.7,128.56,179.47,272.11,42.18,148.76,79.48,97.45,350.79,897.83,133.94
hsa-let-7b-3p,1.01,0.16,0.74,0.79,0.55,0.0,3.67,1.13,1.28,0.39,1.88,0.16,0.17,0.36,0.0,1.68,0.54,0.36,1.08,0.27,0.77,0.58,0.18,0.17,0.34,0.0,5.29,0.0,2.17,0.42,0.0,0.32,0.0,0.55,0.16,0.15,0.15,0.0,0.22,0.0,0.31,0.0,0.14,0.44,0.17,0.0,0.15,0.27,0.17,0.45,0.0,0.0
hsa-let-7b-5p,541.51,167.78,211.5,583.93,215.15,1655.06,982.91,533.06,720.23,228.07,1137.7,151.09,315.33,318.15,1620.45,1514.63,821.79,629.67,272.03,247.36,781.82,1077.68,516.48,336.46,318.06,77.56,1398.02,93.68,693.1,145.89,117.18,219.33,142.41,407.65,174.45,210.69,204.87,108.65,252.66,41.79,188.15,230.39,96.32,172.59,169.81,46.09,87.24,65.76,127.24,215.61,860.47,103.59
hsa-let-7c-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7c-5p,21.72,2.37,10.04,17.3,4.09,54.26,28.42,28.99,35.22,8.17,195.57,5.11,10.77,13.29,44.08,246.53,24.66,14.39,6.75,51.98,147.53,173.06,24.56,18.4,13.96,8.41,294.42,4.46,47.52,5.27,9.63,43.14,5.77,8.75,8.33,45.88,10.72,7.46,13.64,2.83,10.92,16.62,4.05,6.0,35.33,1.35,9.66,1.51,16.16,8.95,8.11,8.0
hsa-let-7d-3p,13.39,1.74,4.84,12.58,3.14,21.03,18.34,10.85,11.92,4.67,21.63,3.35,5.04,6.82,16.42,33.99,11.6,7.2,3.78,4.9,12.39,15.16,12.1,6.6,6.2,1.56,19.61,2.08,13.89,3.47,2.33,4.92,1.15,5.28,3.1,2.63,2.23,1.76,3.46,0.94,2.31,2.33,2.79,2.93,4.02,1.21,2.38,1.1,1.01,2.24,1.89,1.82
hsa-let-7d-5p,39.65,14.56,19.16,56.23,13.64,187.21,102.69,43.25,39.99,31.14,103.43,15.48,15.45,29.09,163.34,104.49,51.67,57.93,24.02,31.84,89.84,149.84,70.07,55.04,46.0,13.86,157.48,14.57,116.96,13.47,5.84,44.41,11.04,48.47,24.34,26.57,16.82,13.29,25.76,11.31,16.61,24.21,13.12,15.52,19.94,2.43,15.01,9.06,10.94,30.74,86.05,10.9
hsa-let-7e-3p,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.17,0.17,0.0,0.0,0.0,0.43,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
