miRNA,ERR9830982,ERR9830983,ERR9830984,ERR9830985,ERR9830986,ERR9830987,ERR9830988,ERR9830989,ERR9830990,ERR9830991,ERR9830992,ERR9830993,ERR9830994,ERR9830995,ERR9830996,ERR9830997,ERR9830998,ERR9830999,ERR9831000,ERR9831001,ERR9831002,ERR9831003,ERR9831004,ERR9831005,ERR9831006,ERR9831007,ERR9831008,ERR9831009,ERR9831010,ERR9831011,ERR9831012,ERR9831013,ERR9831014,ERR9831015,ERR9831016,ERR9831017,ERR9831018,ERR9831019,ERR9831020,ERR9831021,ERR9831022,ERR9831023,ERR9831024,ERR9831025,ERR9831026,ERR9831027,ERR9831028,ERR9831029,ERR9831030,ERR9831031,ERR9831032,ERR9831033
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-3p,13.0,7.0,3.0,21.0,9.0,3.0,7.0,17.0,7.0,4.0,10.0,1.0,5.0,1.0,11.0,15.0,22.0,1.0,8.0,5.0,11.0,25.0,8.0,3.0,11.0,1.0,38.0,9.0,24.0,8.0,8.0,15.0,8.0,17.0,7.0,13.0,1.0,7.0,5.0,0.0,1.0,5.0,1.0,7.0,4.0,2.0,7.0,2.0,5.0,11.0,22.0,1.0
hsa-let-7a-5p,2814.0,1229.0,1567.0,3819.0,1731.0,3837.0,1636.0,4635.0,4478.0,885.0,1612.0,1371.0,1688.0,1134.0,2555.0,7961.0,4849.0,2071.0,1370.0,1522.0,5342.0,9040.0,5082.0,3780.0,2867.0,973.0,5739.0,1060.0,7287.0,933.0,284.0,2371.0,728.0,2793.0,1715.0,1946.0,1555.0,1473.0,1688.0,573.0,1509.0,1973.0,921.0,1226.0,1556.0,313.0,1001.0,579.0,579.0,2351.0,4758.0,737.0
hsa-let-7b-3p,4.0,1.0,4.0,4.0,4.0,0.0,4.0,7.0,7.0,1.0,2.0,1.0,1.0,1.0,0.0,8.0,3.0,1.0,4.0,1.0,4.0,3.0,1.0,1.0,2.0,0.0,17.0,0.0,10.0,3.0,0.0,2.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,3.0,1.0,0.0,1.0,2.0,1.0,3.0,0.0,0.0
hsa-let-7b-5p,2144.0,1060.0,1137.0,2970.0,1577.0,2440.0,1072.0,3291.0,3926.0,586.0,1210.0,947.0,1816.0,886.0,1875.0,7219.0,4533.0,1750.0,1008.0,909.0,4038.0,5617.0,2860.0,1938.0,1846.0,498.0,4492.0,630.0,3194.0,1051.0,803.0,1383.0,864.0,2237.0,1068.0,1364.0,1376.0,801.0,1167.0,266.0,1223.0,1580.0,690.0,1179.0,971.0,342.0,587.0,479.0,756.0,1445.0,4560.0,570.0
hsa-let-7c-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7c-5p,86.0,15.0,54.0,88.0,30.0,80.0,31.0,179.0,192.0,21.0,208.0,32.0,62.0,37.0,51.0,1175.0,136.0,40.0,25.0,191.0,762.0,902.0,136.0,106.0,81.0,54.0,946.0,30.0,219.0,38.0,66.0,272.0,35.0,48.0,51.0,297.0,72.0,55.0,63.0,18.0,71.0,114.0,29.0,41.0,202.0,10.0,65.0,11.0,96.0,60.0,43.0,44.0
hsa-let-7d-3p,53.0,11.0,26.0,64.0,23.0,31.0,20.0,67.0,65.0,12.0,23.0,21.0,29.0,19.0,19.0,162.0,64.0,20.0,14.0,18.0,64.0,79.0,67.0,38.0,36.0,10.0,63.0,14.0,64.0,25.0,16.0,31.0,7.0,29.0,19.0,17.0,15.0,13.0,16.0,6.0,15.0,16.0,20.0,20.0,23.0,9.0,16.0,8.0,6.0,15.0,10.0,10.0
hsa-let-7d-5p,157.0,92.0,103.0,286.0,100.0,276.0,112.0,267.0,218.0,80.0,110.0,97.0,89.0,81.0,189.0,498.0,285.0,161.0,89.0,117.0,464.0,781.0,388.0,317.0,267.0,89.0,506.0,98.0,539.0,97.0,40.0,280.0,67.0,266.0,149.0,172.0,113.0,98.0,119.0,72.0,108.0,166.0,94.0,106.0,114.0,18.0,101.0,66.0,65.0,206.0,456.0,60.0
hsa-let-7e-3p,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7e-5p,70.0,20.0,30.0,82.0,34.0,67.0,32.0,117.0,158.0,15.0,49.0,23.0,50.0,38.0,52.0,318.0,121.0,34.0,27.0,29.0,144.0,177.0,86.0,80.0,83.0,24.0,149.0,18.0,162.0,13.0,3.0,20.0,4.0,20.0,43.0,34.0,30.0,27.0,56.0,4.0,97.0,50.0,25.0,21.0,32.0,3.0,15.0,13.0,8.0,36.0,31.0,16.0
hsa-let-7f-1-3p,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
hsa-let-7f-2-3p,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hsa-let-7f-5p,1970.0,968.0,1268.0,3009.0,1048.0,2319.0,1072.0,2400.0,2190.0,632.0,1155.0,851.0,920.0,562.0,1471.0,4397.0,2925.0,1094.0,731.0,1100.0,4579.0,6888.0,3505.0,2609.0,1885.0,570.0,4852.0,843.0,5123.0,614.0,341.0,2077.0,531.0,2351.0,1343.0,1436.0,894.0,940.0,1174.0,428.0,886.0,1347.0,622.0,759.0,748.0,191.0,788.0,468.0,424.0,1549.0,3394.0,381.0
hsa-let-7g-3p,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
