miRNA,ERR12138325,ERR12138326,ERR12138327,ERR12138328,ERR12138329,ERR12138330,ERR12138331,ERR12138332,ERR12138333,ERR12138334,ERR12138336,ERR12138338,ERR12138339
hsa-let-7a-3p,7.34,4.41,7.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-5p,1433.27,1396.54,1300.06,101.7,69.31,93.89,91.24,98.72,82.56,83.14,20.29,19.21,11.96
hsa-let-7b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0
hsa-let-7b-5p,46.47,57.27,47.56,0.0,0.0,5.52,5.7,16.45,0.0,0.0,0.0,2.74,0.0
hsa-let-7c-5p,17.12,30.84,13.21,6.36,6.93,5.52,5.7,18.28,7.74,2.68,0.0,0.0,0.0
hsa-let-7d-3p,19.57,4.41,21.14,3.18,3.47,2.76,2.85,0.0,5.16,0.0,0.0,0.0,0.0
hsa-let-7d-5p,53.81,61.68,47.56,9.53,17.33,5.52,8.55,0.0,28.38,10.73,0.0,0.0,0.0
hsa-let-7e-5p,122.29,114.54,147.97,28.6,45.05,33.14,34.22,9.14,5.16,0.0,0.0,2.74,3.99
hsa-let-7f-5p,1264.51,1066.13,1093.96,133.48,145.55,99.42,145.41,54.84,129.01,118.01,14.5,2.74,3.99
hsa-let-7g-5p,1176.46,942.77,1067.53,69.92,114.36,129.79,74.13,87.75,126.43,136.79,17.4,5.49,3.99
hsa-let-7i-3p,2.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7i-5p,472.05,493.41,459.78,0.0,24.26,24.85,5.7,20.11,10.32,2.68,0.0,2.74,0.0
hsa-miR-1-3p,0.0,0.0,0.0,9.53,0.0,2.76,0.0,0.0,10.32,5.36,2.9,0.0,3.99
hsa-miR-100-5p,7457.41,7084.01,6788.34,28.6,6.93,38.66,8.55,18.28,33.54,45.6,40.59,38.42,55.82
hsa-miR-101-3p,75.82,61.68,105.7,292.38,526.75,190.55,712.82,25.59,87.72,123.38,321.81,142.69,175.43
hsa-miR-101-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,5.49,0.0
hsa-miR-10395-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0
hsa-miR-10398-3p,0.0,0.0,0.0,0.0,0.0,0.0,2.85,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-103a-3p,110.06,704.88,1101.88,3584.89,4220.96,347.95,407.73,80.44,774.04,1834.54,2096.13,1725.94,1200.11
hsa-miR-10401-3p,0.0,0.0,0.0,6.36,3.47,2.76,0.0,0.0,0.0,0.0,0.0,2.74,0.0
hsa-miR-105-3p,0.0,0.0,0.0,9.53,0.0,5.52,2.85,1.83,0.0,0.0,0.0,0.0,0.0
hsa-miR-105-5p,0.0,0.0,0.0,368.66,391.6,386.62,364.96,12.8,15.48,24.14,0.0,0.0,0.0
hsa-miR-106a-3p,0.0,0.0,0.0,0.0,0.0,0.0,2.85,0.0,0.0,5.36,0.0,0.0,3.99
hsa-miR-106a-5p,0.0,0.0,0.0,0.0,6.93,0.0,14.26,14.63,10.32,50.96,69.58,30.18,27.91
hsa-miR-106b-3p,9.78,8.81,13.21,41.32,55.45,57.99,25.66,42.05,18.06,112.65,57.98,13.72,43.86
hsa-miR-106b-5p,14.68,8.81,34.35,111.23,103.96,80.08,159.67,18.28,54.18,195.79,121.77,63.11,59.81
hsa-miR-107,22.01,4.41,2.64,31.78,86.64,55.23,39.92,0.0,0.0,16.09,2.9,8.23,3.99
hsa-miR-10a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.58,2.68,0.0,0.0,0.0
hsa-miR-10a-5p,9.78,8.81,13.21,19.07,24.26,24.85,28.51,382.08,570.21,1432.23,55.09,2.74,0.0
hsa-miR-10b-5p,926.98,665.23,705.52,60.38,55.45,44.18,39.92,118.83,350.9,769.75,57.98,24.7,35.88
hsa-miR-11399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.68,0.0,0.0,0.0
hsa-miR-1179,0.0,0.0,0.0,15.89,0.0,2.76,14.26,10.97,10.32,13.41,8.7,2.74,15.95
hsa-miR-1180-3p,2.45,0.0,2.64,9.53,0.0,2.76,0.0,0.0,5.16,2.68,8.7,0.0,3.99
hsa-miR-1185-1-3p,2.45,8.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1185-2-3p,2.45,13.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1197,0.0,0.0,2.64,0.0,0.0,0.0,0.0,0.0,2.58,0.0,5.8,2.74,0.0
hsa-miR-12120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0
hsa-miR-12136,2.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.68,5.8,16.46,15.95
hsa-miR-122-5p,2.45,0.0,0.0,12.71,3.47,0.0,0.0,5.48,12.9,8.05,2.9,0.0,0.0
hsa-miR-1226-3p,0.0,0.0,0.0,3.18,0.0,8.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
