miRNA,ERR12138325,ERR12138326,ERR12138327,ERR12138328,ERR12138329,ERR12138330,ERR12138331,ERR12138332,ERR12138333,ERR12138334,ERR12138336,ERR12138338,ERR12138339
hsa-let-7a-3p,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-5p,586.0,317.0,492.0,32.0,20.0,34.0,32.0,54.0,32.0,31.0,7.0,7.0,3.0
hsa-let-7b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
hsa-let-7b-5p,19.0,13.0,18.0,0.0,0.0,2.0,2.0,9.0,0.0,0.0,0.0,1.0,0.0
hsa-let-7c-5p,7.0,7.0,5.0,2.0,2.0,2.0,2.0,10.0,3.0,1.0,0.0,0.0,0.0
hsa-let-7d-3p,8.0,1.0,8.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
hsa-let-7d-5p,22.0,14.0,18.0,3.0,5.0,2.0,3.0,0.0,11.0,4.0,0.0,0.0,0.0
hsa-let-7e-5p,50.0,26.0,56.0,9.0,13.0,12.0,12.0,5.0,2.0,0.0,0.0,1.0,1.0
hsa-let-7f-5p,517.0,242.0,414.0,42.0,42.0,36.0,51.0,30.0,50.0,44.0,5.0,1.0,1.0
hsa-let-7g-5p,481.0,214.0,404.0,22.0,33.0,47.0,26.0,48.0,49.0,51.0,6.0,2.0,1.0
hsa-let-7i-3p,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7i-5p,193.0,112.0,174.0,0.0,7.0,9.0,2.0,11.0,4.0,1.0,0.0,1.0,0.0
hsa-miR-1-3p,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,4.0,2.0,1.0,0.0,1.0
hsa-miR-100-5p,3049.0,1608.0,2569.0,9.0,2.0,14.0,3.0,10.0,13.0,17.0,14.0,14.0,14.0
hsa-miR-101-3p,31.0,14.0,40.0,92.0,152.0,69.0,250.0,14.0,34.0,46.0,111.0,52.0,44.0
hsa-miR-101-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
hsa-miR-10395-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-10398-3p,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-103a-3p,45.0,160.0,417.0,1128.0,1218.0,126.0,143.0,44.0,300.0,684.0,723.0,629.0,301.0
hsa-miR-10401-3p,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-105-3p,0.0,0.0,0.0,3.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-105-5p,0.0,0.0,0.0,116.0,113.0,140.0,128.0,7.0,6.0,9.0,0.0,0.0,0.0
hsa-miR-106a-3p,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0
hsa-miR-106a-5p,0.0,0.0,0.0,0.0,2.0,0.0,5.0,8.0,4.0,19.0,24.0,11.0,7.0
hsa-miR-106b-3p,4.0,2.0,5.0,13.0,16.0,21.0,9.0,23.0,7.0,42.0,20.0,5.0,11.0
hsa-miR-106b-5p,6.0,2.0,13.0,35.0,30.0,29.0,56.0,10.0,21.0,73.0,42.0,23.0,15.0
hsa-miR-107,9.0,1.0,1.0,10.0,25.0,20.0,14.0,0.0,0.0,6.0,1.0,3.0,1.0
hsa-miR-10a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
hsa-miR-10a-5p,4.0,2.0,5.0,6.0,7.0,9.0,10.0,209.0,221.0,534.0,19.0,1.0,0.0
hsa-miR-10b-5p,379.0,151.0,267.0,19.0,16.0,16.0,14.0,65.0,136.0,287.0,20.0,9.0,9.0
hsa-miR-11399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-1179,0.0,0.0,0.0,5.0,0.0,1.0,5.0,6.0,4.0,5.0,3.0,1.0,4.0
hsa-miR-1180-3p,1.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0
hsa-miR-1185-1-3p,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1185-2-3p,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1197,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0
hsa-miR-12120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-12136,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,4.0
hsa-miR-122-5p,1.0,0.0,0.0,4.0,1.0,0.0,0.0,3.0,5.0,3.0,1.0,0.0,0.0
hsa-miR-1226-3p,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1228-3p,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1229-3p,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1234-3p,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-124-3p,0.0,0.0,0.0,5.0,11.0,9.0,6.0,0.0,0.0,0.0,1.0,6.0,2.0
hsa-miR-124-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
hsa-miR-1243,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-1245a,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1246,0.0,0.0,0.0,0.0,7.0,5.0,3.0,2.0,2.0,3.0,6.0,2.0,5.0
hsa-miR-1247-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-1247-5p,0.0,0.0,0.0,3.0,1.0,1.0,6.0,64.0,43.0,45.0,0.0,0.0,0.0
hsa-miR-1249-3p,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-125a-3p,0.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-125a-5p,188.0,93.0,144.0,385.0,345.0,462.0,404.0,460.0,350.0,364.0,101.0,142.0,87.0
hsa-miR-125b-1-3p,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-125b-2-3p,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0
hsa-miR-125b-5p,1613.0,933.0,1448.0,57.0,42.0,65.0,34.0,177.0,118.0,93.0,32.0,37.0,25.0
hsa-miR-126-3p,18.0,6.0,14.0,15.0,17.0,31.0,30.0,20.0,34.0,65.0,12.0,3.0,7.0
hsa-miR-126-5p,13.0,6.0,10.0,24.0,8.0,26.0,28.0,19.0,39.0,52.0,8.0,3.0,3.0
hsa-miR-1260b,0.0,1.0,2.0,0.0,0.0,2.0,0.0,11.0,4.0,2.0,2.0,3.0,0.0
hsa-miR-1262,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-1263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,26.0,85.0,1.0,0.0,0.0
hsa-miR-1266-5p,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1268a,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-1269a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0
hsa-miR-1269b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
hsa-miR-127-3p,32.0,20.0,50.0,0.0,0.0,1.0,0.0,5.0,2.0,0.0,4.0,6.0,6.0
hsa-miR-127-5p,12.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-1271-5p,0.0,0.0,3.0,2.0,1.0,4.0,3.0,6.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-1275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1277-3p,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1278,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-128-1-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-128-3p,22.0,10.0,29.0,59.0,46.0,43.0,56.0,33.0,37.0,100.0,35.0,33.0,14.0
