miRNA,ERR11011318,ERR11011319,ERR11011320,ERR11011321,ERR11011322,ERR11011323,ERR11011324,ERR11011325,ERR11011326
hsa-let-7a-5p,64.96,182.65,479.9,179.92,11.44,728.03,636.62,670.33,519.37
hsa-let-7b-5p,4367.12,13963.46,30647.13,26602.98,60248.54,166778.83,124904.51,53216.66,78283.34
hsa-let-7c-5p,0.0,0.0,3.42,0.0,483.36,4.23,127.32,5.44,10.88
hsa-let-7d-5p,0.0,0.0,0.0,0.0,0.0,63.49,0.0,5.44,0.0
hsa-let-7e-5p,0.81,7.61,0.0,0.0,17.16,0.0,0.0,0.0,0.0
hsa-let-7f-5p,8.12,11.42,35.86,1.51,74.36,110.05,0.0,74.28,12.44
hsa-let-7g-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.11
hsa-let-7i-5p,21.11,79.91,107.59,78.62,314.61,156.61,127.32,315.23,289.23
hsa-miR-1-3p,18.68,0.0,80.27,0.0,0.0,0.0,0.0,43.48,135.28
hsa-miR-101-3p,349.99,384.33,444.04,468.71,1593.09,3140.7,2419.15,3271.92,1634.3
hsa-miR-103a-3p,4199.84,6126.49,5818.6,1725.15,8131.34,4846.5,7130.12,10687.18,5153.27
hsa-miR-107,21.92,57.08,61.48,25.7,85.8,25.4,0.0,27.18,29.54
hsa-miR-10a-5p,26.8,79.91,0.0,22.68,0.0,21.16,127.32,382.27,146.17
hsa-miR-10b-5p,0.0,0.0,1.71,0.0,2.86,0.0,0.0,5.44,29.54
hsa-miR-1179,0.0,0.0,44.4,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-12127,4.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-122-5p,0.81,0.0,0.0,18.14,40.04,0.0,0.0,9.06,0.0
hsa-miR-1246,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-125a-5p,12.99,95.13,73.44,18.14,11.44,110.05,0.0,266.32,143.06
hsa-miR-125b-5p,0.81,13.32,3.42,18.14,0.0,4.23,0.0,1.81,3.11
hsa-miR-126-3p,0.0,3.81,0.0,0.0,0.0,97.35,0.0,25.36,0.0
hsa-miR-1268a,0.0,0.0,1.71,0.0,0.0,0.0,0.0,28.99,0.0
hsa-miR-127-3p,0.0,0.0,30.74,0.0,0.0,0.0,127.32,7.25,32.65
hsa-miR-1273h-5p,11.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-128-3p,0.0,0.0,0.0,9.07,0.0,0.0,0.0,0.0,0.0
hsa-miR-1285-5p,60.09,0.0,75.14,15.12,0.0,0.0,0.0,65.22,0.0
hsa-miR-1304-3p,17.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1306-5p,5.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1307-3p,30.05,144.6,129.8,92.23,143.01,97.35,0.0,293.49,29.54
hsa-miR-132-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55
hsa-miR-134-5p,0.0,0.0,1.71,0.0,0.0,0.0,0.0,1.81,0.0
hsa-miR-136-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.12,0.0
hsa-miR-139-3p,49.53,148.41,215.19,19.66,111.54,122.75,127.32,376.83,293.89
hsa-miR-140-3p,3.25,34.25,0.0,0.0,37.18,16.93,0.0,9.06,21.77
hsa-miR-140-5p,4.87,0.0,1.71,60.48,0.0,279.36,381.97,56.16,3.11
hsa-miR-141-3p,0.0,11.42,0.0,0.0,0.0,0.0,0.0,34.42,0.0
hsa-miR-142-3p,15549.63,53829.44,31366.13,9858.0,43674.12,23707.64,57422.97,122383.46,45331.35
hsa-miR-142-5p,960.64,1031.23,650.69,439.98,617.79,1350.25,509.29,3038.21,729.29
hsa-miR-143-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.81,0.0
hsa-miR-144-3p,0.0,0.0,0.0,0.0,2.86,4.23,0.0,0.0,0.0
hsa-miR-146a-5p,0.0,19.03,8.54,0.0,0.0,0.0,0.0,19.93,12.44
hsa-miR-146b-3p,0.0,11.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-146b-5p,0.0,0.0,0.0,0.0,40.04,29.63,0.0,7.25,0.0
hsa-miR-148a-3p,0.0,0.0,1.71,0.0,0.0,42.33,0.0,1.81,1.55
hsa-miR-150-5p,16.24,197.87,0.0,1.51,57.2,12.7,0.0,282.62,155.5
hsa-miR-151a-3p,0.0,22.83,0.0,1.51,2.86,0.0,0.0,0.0,0.0
hsa-miR-152-3p,16.24,93.23,112.72,0.0,25.74,359.78,0.0,81.53,57.53
hsa-miR-15a-5p,21.11,34.25,23.91,4.54,62.92,21.16,0.0,139.5,0.0
hsa-miR-15b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.55,0.0
hsa-miR-16-1-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.81,0.0
hsa-miR-16-5p,4777.19,6010.43,7251.48,8453.38,34301.49,42551.84,30048.38,50788.99,32791.83
hsa-miR-17-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.11
hsa-miR-181a-2-3p,0.0,0.0,0.0,0.0,0.0,29.63,0.0,0.0,0.0
hsa-miR-181a-3p,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-181a-5p,0.81,0.0,0.0,0.0,2.86,0.0,0.0,0.0,1.55
hsa-miR-181b-5p,10.56,53.27,56.36,31.75,17.16,292.06,0.0,134.07,82.41
hsa-miR-181c-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.66
hsa-miR-181d-5p,0.0,0.0,13.66,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-182-5p,6.5,43.76,18.79,24.19,74.36,38.09,127.32,27.18,153.94
hsa-miR-1825,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1827,0.0,0.0,0.0,1.51,5.72,4.23,0.0,1.81,1.55
hsa-miR-1843,0.0,0.0,0.0,0.0,8.58,0.0,0.0,0.0,0.0
hsa-miR-185-3p,6.5,0.0,0.0,0.0,0.0,25.4,0.0,16.31,0.0
hsa-miR-185-5p,3.25,0.0,1.71,1.51,57.2,12.7,0.0,5.44,6.22
hsa-miR-186-3p,1.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-186-5p,0.0,0.0,0.0,0.0,0.0,71.96,0.0,0.0,0.0
hsa-miR-18a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.68,10.88
hsa-miR-1908-5p,0.0,5.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-190a-5p,0.0,0.0,0.0,0.0,31.46,0.0,0.0,0.0,0.0
hsa-miR-191-5p,12.99,36.15,1.71,1.51,0.0,0.0,0.0,18.12,0.0
hsa-miR-192-5p,0.81,0.0,0.0,0.0,0.0,0.0,0.0,1.81,1.55
hsa-miR-194-5p,91.76,157.92,129.8,63.5,363.24,537.56,1018.59,351.47,390.3
hsa-miR-195-5p,63.34,45.66,18.79,12.1,197.35,0.0,381.97,295.31,101.07
hsa-miR-196a-5p,15.43,9.51,0.0,0.0,0.0,0.0,0.0,23.55,46.65
hsa-miR-196b-5p,12.18,66.59,251.05,54.43,200.21,829.62,2546.47,188.42,183.49
hsa-miR-1972,4.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-199a-3p,1.62,1.9,3.42,0.0,2.86,0.0,0.0,1.81,1.55
hsa-miR-199b-3p,26.8,0.0,1.71,0.0,0.0,0.0,0.0,34.42,0.0
hsa-miR-19a-3p,0.0,0.0,0.0,7.56,2.86,0.0,0.0,16.31,0.0
hsa-miR-19b-3p,0.0,0.0,0.0,43.85,2.86,0.0,0.0,25.36,0.0
hsa-miR-200c-3p,9.74,49.47,0.0,0.0,34.32,55.03,127.32,74.28,0.0
hsa-miR-202-3p,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-204-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.1
hsa-miR-206,14.62,0.0,0.0,0.0,0.0,0.0,0.0,1.81,1.55
hsa-miR-208b-5p,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-20a-5p,0.81,0.0,0.0,0.0,2.86,0.0,0.0,0.0,1.55
hsa-miR-20b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55
hsa-miR-21-5p,6.5,5.71,80.27,7.56,42.9,12.7,0.0,101.45,13.99
hsa-miR-2110,0.0,0.0,0.0,0.0,0.0,4.23,0.0,0.0,0.0
hsa-miR-2115-3p,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-218-5p,17.86,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-22-3p,0.0,0.0,0.0,1.51,0.0,0.0,0.0,0.0,0.0
hsa-miR-221-3p,0.81,0.0,1.71,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-222-3p,1.62,5.71,46.11,0.0,0.0,25.4,0.0,52.54,0.0
hsa-miR-223-3p,2270.45,2414.45,1726.62,402.18,1392.88,512.16,2673.8,3554.54,1760.26
hsa-miR-223-5p,66.59,133.18,131.5,27.22,82.94,0.0,381.97,172.11,119.73
hsa-miR-2278,0.0,0.0,0.0,0.0,0.0,88.89,0.0,0.0,0.0
hsa-miR-23a-3p,246.05,646.9,473.07,136.08,737.91,317.46,381.97,1985.62,663.98
hsa-miR-24-3p,0.0,1.9,0.0,0.0,0.0,0.0,0.0,3.62,0.0
hsa-miR-25-3p,3.25,3.81,5.12,1.51,25.74,25.4,254.65,47.1,35.76
hsa-miR-26a-5p,0.0,0.0,0.0,0.0,5.72,0.0,0.0,23.55,52.87
hsa-miR-26b-3p,0.0,5.71,0.0,25.7,0.0,0.0,0.0,38.05,0.0
hsa-miR-26b-5p,0.0,0.0,0.0,0.0,0.0,0.0,127.32,0.0,0.0
hsa-miR-27a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.62,0.0
hsa-miR-27b-3p,0.0,1.9,0.0,0.0,0.0,0.0,0.0,1.81,0.0
hsa-miR-28-3p,40.6,24.73,18.79,6.05,65.78,0.0,0.0,195.66,4.66
hsa-miR-29a-3p,9.74,26.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-301a-3p,0.0,0.0,0.0,0.0,0.0,8.47,0.0,0.0,0.0
hsa-miR-3065-5p,4.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-30a-5p,50.35,85.62,232.27,36.29,40.04,194.71,0.0,487.35,24.88
hsa-miR-30d-5p,92.57,258.76,128.09,151.2,377.54,804.22,509.29,1019.98,724.63
hsa-miR-30e-5p,103.13,138.89,317.66,39.31,114.41,554.49,381.97,894.98,589.34
hsa-miR-3150a-3p,0.0,0.0,0.0,0.0,5.72,0.0,0.0,0.0,31.1
hsa-miR-32-5p,0.0,0.0,0.0,0.0,0.0,4.23,0.0,0.0,1.55
hsa-miR-320a-3p,1089.75,1111.14,2575.42,1307.85,3886.91,7470.8,1400.56,5956.85,6017.85
hsa-miR-320a-5p,4.06,0.0,0.0,0.0,0.0,4.23,0.0,0.0,0.0
hsa-miR-320b,81.2,47.57,22.2,30.24,231.67,169.31,0.0,168.49,158.61
hsa-miR-320c,4.87,0.0,0.0,0.0,0.0,0.0,0.0,25.36,0.0
hsa-miR-320d,0.0,0.0,1.71,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-320e,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-324-3p,9.74,0.0,0.0,0.0,8.58,0.0,0.0,9.06,1.55
hsa-miR-324-5p,21.92,32.34,52.94,15.12,306.03,296.29,127.32,344.22,124.4
hsa-miR-328-3p,0.81,0.0,3.42,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-335-3p,0.0,5.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-338-3p,29.23,22.83,0.0,34.78,0.0,0.0,0.0,0.0,0.0
hsa-miR-339-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55
hsa-miR-342-3p,0.81,1.9,44.4,1.51,2.86,0.0,0.0,1.81,1.55
hsa-miR-34b-3p,0.0,3.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-361-5p,1.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3615,0.0,0.0,0.0,0.0,0.0,21.16,0.0,0.0,0.0
hsa-miR-363-3p,60.09,43.76,111.01,146.66,197.35,541.79,254.65,806.2,172.6
hsa-miR-3665,0.0,0.0,0.0,0.0,0.0,4.23,0.0,0.0,0.0
hsa-miR-3679-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.81,0.0
hsa-miR-3682-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.88
hsa-miR-3692-5p,1.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-370-3p,7.31,20.93,0.0,0.0,0.0,55.03,0.0,54.35,66.86
hsa-miR-374a-5p,0.0,0.0,0.0,0.0,8.58,0.0,0.0,0.0,0.0
hsa-miR-378a-5p,0.0,0.0,0.0,0.0,0.0,8.47,0.0,0.0,0.0
hsa-miR-3907,0.0,0.0,0.0,1.51,0.0,0.0,0.0,0.0,0.0
hsa-miR-3915,0.0,0.0,0.0,0.0,0.0,84.66,0.0,0.0,0.0
hsa-miR-3916,19.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3960,0.0,0.0,3.42,0.0,0.0,0.0,0.0,1.81,1.55
hsa-miR-424-5p,4.87,0.0,0.0,19.66,0.0,76.19,127.32,38.05,69.97
hsa-miR-425-3p,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-425-5p,0.81,11.42,0.0,4.54,17.16,33.86,0.0,36.23,9.33
hsa-miR-432-5p,43.85,490.88,416.71,98.28,291.73,0.0,763.94,282.62,17.1
hsa-miR-4433b-3p,8.12,3.81,40.99,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4433b-5p,0.0,9.51,0.0,0.0,0.0,0.0,0.0,5.44,0.0
hsa-miR-4505,0.0,0.0,0.0,1.51,0.0,0.0,0.0,0.0,0.0
hsa-miR-4511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.1
hsa-miR-451a,12.99,167.43,3.42,127.0,71.5,4.23,381.97,0.0,149.28
hsa-miR-4660,0.0,15.22,0.0,0.0,0.0,0.0,0.0,5.44,0.0
hsa-miR-4707-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.44,0.0
hsa-miR-4800-5p,0.81,0.0,1.71,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-483-5p,7.31,123.67,37.57,27.22,48.62,0.0,0.0,101.45,20.21
hsa-miR-484,19.49,7.61,1.71,12.1,20.02,0.0,0.0,23.55,43.54
hsa-miR-486-5p,0.0,20.93,93.93,25.7,280.29,292.06,127.32,1.81,113.51
hsa-miR-499a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.36,0.0
hsa-miR-501-3p,3.25,0.0,63.19,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-5192,0.0,0.0,0.0,0.0,0.0,8.47,0.0,0.0,0.0
hsa-miR-520d-3p,4.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-532-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55
hsa-miR-542-3p,0.81,32.34,0.0,0.0,62.92,0.0,0.0,32.61,55.98
hsa-miR-548ad-5p,5.68,36.15,0.0,6.05,0.0,25.4,763.94,99.64,32.65
hsa-miR-548at-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.81,0.0
hsa-miR-548f-3p,0.0,0.0,0.0,0.0,0.0,0.0,127.32,0.0,0.0
hsa-miR-5588-5p,0.81,1.9,0.0,0.0,0.0,21.16,127.32,1.81,0.0
hsa-miR-5698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55
hsa-miR-584-5p,0.81,49.47,58.07,10.58,74.36,59.26,127.32,0.0,1.55
hsa-miR-628-3p,13.8,11.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-628-5p,7.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6514-5p,0.0,0.0,0.0,0.0,0.0,21.16,0.0,0.0,0.0
hsa-miR-652-3p,2.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55
