miRNA,ERR11011318,ERR11011319,ERR11011320,ERR11011321,ERR11011322,ERR11011323,ERR11011324,ERR11011325,ERR11011326
hsa-let-7a-5p,80.0,96.0,281.0,119.0,4.0,172.0,5.0,370.0,334.0
hsa-let-7b-5p,5378.0,7339.0,17945.0,17595.0,21065.0,39402.0,981.0,29374.0,50343.0
hsa-let-7c-5p,0.0,0.0,2.0,0.0,169.0,1.0,1.0,3.0,7.0
hsa-let-7d-5p,0.0,0.0,0.0,0.0,0.0,15.0,0.0,3.0,0.0
hsa-let-7e-5p,1.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
hsa-let-7f-5p,10.0,6.0,21.0,1.0,26.0,26.0,0.0,41.0,8.0
hsa-let-7g-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
hsa-let-7i-5p,26.0,42.0,63.0,52.0,110.0,37.0,1.0,174.0,186.0
hsa-miR-1-3p,23.0,0.0,47.0,0.0,0.0,0.0,0.0,24.0,87.0
hsa-miR-101-3p,431.0,202.0,260.0,310.0,557.0,742.0,19.0,1806.0,1051.0
hsa-miR-103a-3p,5172.0,3220.0,3407.0,1141.0,2843.0,1145.0,56.0,5899.0,3314.0
hsa-miR-107,27.0,30.0,36.0,17.0,30.0,6.0,0.0,15.0,19.0
hsa-miR-10a-5p,33.0,42.0,0.0,15.0,0.0,5.0,1.0,211.0,94.0
hsa-miR-10b-5p,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,19.0
hsa-miR-1179,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-12127,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-122-5p,1.0,0.0,0.0,12.0,14.0,0.0,0.0,5.0,0.0
hsa-miR-1246,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-125a-5p,16.0,50.0,43.0,12.0,4.0,26.0,0.0,147.0,92.0
hsa-miR-125b-5p,1.0,7.0,2.0,12.0,0.0,1.0,0.0,1.0,2.0
hsa-miR-126-3p,0.0,2.0,0.0,0.0,0.0,23.0,0.0,14.0,0.0
hsa-miR-1268a,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,0.0
hsa-miR-127-3p,0.0,0.0,18.0,0.0,0.0,0.0,1.0,4.0,21.0
hsa-miR-1273h-5p,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-128-3p,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1285-5p,74.0,0.0,44.0,10.0,0.0,0.0,0.0,36.0,0.0
hsa-miR-1304-3p,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1306-5p,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1307-3p,37.0,76.0,76.0,61.0,50.0,23.0,0.0,162.0,19.0
hsa-miR-132-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-134-5p,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-136-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
hsa-miR-139-3p,61.0,78.0,126.0,13.0,39.0,29.0,1.0,208.0,189.0
hsa-miR-140-3p,4.0,18.0,0.0,0.0,13.0,4.0,0.0,5.0,14.0
hsa-miR-140-5p,6.0,0.0,1.0,40.0,0.0,66.0,3.0,31.0,2.0
hsa-miR-141-3p,0.0,6.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0
hsa-miR-142-3p,19149.0,28292.0,18366.0,6520.0,15270.0,5601.0,451.0,67552.0,29152.0
hsa-miR-142-5p,1183.0,542.0,381.0,291.0,216.0,319.0,4.0,1677.0,469.0
hsa-miR-143-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-144-3p,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
hsa-miR-146a-5p,0.0,10.0,5.0,0.0,0.0,0.0,0.0,11.0,8.0
hsa-miR-146b-3p,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-146b-5p,0.0,0.0,0.0,0.0,14.0,7.0,0.0,4.0,0.0
hsa-miR-148a-3p,0.0,0.0,1.0,0.0,0.0,10.0,0.0,1.0,1.0
hsa-miR-150-5p,20.0,104.0,0.0,1.0,20.0,3.0,0.0,156.0,100.0
hsa-miR-151a-3p,0.0,12.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-152-3p,20.0,49.0,66.0,0.0,9.0,85.0,0.0,45.0,37.0
hsa-miR-15a-5p,26.0,18.0,14.0,3.0,22.0,5.0,0.0,77.0,0.0
hsa-miR-15b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0
hsa-miR-16-1-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-16-5p,5883.0,3159.0,4246.0,5591.0,11993.0,10053.0,236.0,28034.0,21088.0
hsa-miR-17-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
hsa-miR-181a-2-3p,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
hsa-miR-181a-3p,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-181a-5p,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
hsa-miR-181b-5p,13.0,28.0,33.0,21.0,6.0,69.0,0.0,74.0,53.0
hsa-miR-181c-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
