miRNA,SRR25598526,SRR25598527,SRR25598528,SRR25598529,SRR25598530,SRR25598531,SRR25598532,SRR25598533,SRR25598534,SRR25598535,SRR25598536,SRR25598537,SRR25598538,SRR25598539,SRR25598540,SRR25598541,SRR25598542,SRR25598543,SRR25598544,SRR25598545,SRR25598546,SRR25598547,SRR25598548,SRR25598549,SRR25598550,SRR25598551,SRR25598552,SRR25598553,SRR25598554,SRR25598555,SRR25598556,SRR25598557,SRR25598558,SRR25598559,SRR25598560,SRR25598561,SRR25598562,SRR25598563,SRR25598564,SRR25598565,SRR25598566,SRR25598567,SRR25598568,SRR25598569,SRR25598570
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.53,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-3p,32.12,40.34,15.34,7.85,38.95,47.95,59.76,42.46,37.03,52.18,48.2,30.41,26.98,14.91,29.71,17.63,33.39,39.48,40.98,16.15,19.32,15.92,28.98,43.79,13.26,42.29,24.48,27.66,69.12,108.09,95.0,88.8,69.01,68.09,64.77,16.21,76.91,37.79,70.06,40.9,64.27,50.06,54.79,34.85,66.39
hsa-let-7a-5p,22575.63,10978.36,14105.16,13387.7,12311.94,28900.7,25418.35,24308.89,23304.66,33697.39,28824.61,24097.35,16682.35,6007.29,15342.69,13128.02,20804.88,22806.95,14302.14,17885.38,17152.46,11889.52,20401.56,25773.45,20373.08,17284.07,17757.09,23861.42,27807.64,36416.33,25874.66,25825.57,25773.62,23740.1,28771.25,16593.59,20991.2,21843.73,21691.3,15981.36,27984.16,25528.06,22267.04,11225.28,27234.15
hsa-let-7b-3p,18.78,11.94,10.13,7.16,12.67,22.94,10.37,20.28,24.41,22.14,21.87,11.97,9.27,6.34,10.07,20.92,11.6,22.05,13.54,9.52,24.76,2.81,24.37,24.88,11.86,6.56,16.59,19.23,14.55,41.1,35.4,41.22,24.89,19.35,32.19,16.85,24.12,33.59,27.33,9.17,45.33,14.89,21.47,9.19,18.18
hsa-let-7b-5p,10201.09,6614.72,9667.76,16009.37,7990.86,12947.23,14856.47,14306.96,13599.75,16534.69,10806.01,12086.98,11745.24,4722.46,11721.35,8583.89,10450.98,11645.98,8587.84,13460.32,11017.31,8978.31,19972.17,12977.87,15404.2,12777.68,15365.69,15620.53,14423.95,14959.69,14836.85,11301.17,15356.96,13881.93,15658.52,12770.22,13437.49,24319.44,21612.05,9979.16,14386.17,17347.19,15256.51,11485.7,16565.22
hsa-let-7c-3p,3.51,0.0,0.58,0.0,5.87,4.46,2.24,0.87,2.28,1.77,1.62,1.2,2.81,1.27,2.01,0.0,9.23,0.0,4.28,0.0,1.51,0.31,3.11,2.47,0.0,5.65,6.47,1.33,1.82,2.51,3.04,4.93,0.75,2.79,0.0,2.86,5.57,0.0,0.0,7.52,4.63,2.82,2.9,0.0,2.68
hsa-let-7c-5p,2699.45,1120.1,1988.19,3414.72,1466.43,3330.76,3488.24,6629.13,2996.68,4072.31,2854.66,2828.18,2511.56,935.23,4230.9,2115.42,2814.73,3172.59,1928.17,2219.02,2375.26,1759.4,2396.13,3001.06,3854.02,2374.63,2046.51,5829.44,2141.22,4146.72,2194.2,3000.27,5416.4,5782.34,3318.32,1877.67,2277.76,2792.49,2012.36,1893.64,3081.41,2640.88,5362.93,3046.54,2354.84
hsa-let-7d-3p,729.58,474.47,645.08,723.81,556.71,1135.58,791.11,1143.16,1408.05,1168.28,1020.27,701.48,699.84,440.65,825.84,594.6,607.6,808.53,528.1,735.64,953.79,632.24,1453.52,947.88,1080.49,1251.88,1164.14,1086.42,921.56,1459.08,1128.9,1012.93,1192.98,1320.1,1293.38,1039.44,950.73,1738.79,1500.14,1095.48,1287.05,1691.36,1087.68,677.86,1098.98
hsa-let-7d-5p,917.89,376.82,470.57,246.27,496.13,1216.83,1137.68,1198.44,1142.86,1332.23,1335.39,1096.51,475.84,218.26,641.79,508.35,803.43,864.93,529.17,385.84,671.49,453.11,597.04,1059.18,578.36,639.51,480.83,944.55,1271.72,1749.92,1215.41,1271.53,1289.33,1058.91,1372.2,453.29,1048.47,562.03,724.23,574.18,1365.62,932.32,868.78,418.59,1163.65
hsa-let-7e-3p,4.91,5.57,0.29,0.68,1.85,8.76,6.71,5.37,5.17,9.66,3.65,1.68,3.37,0.0,1.76,4.47,7.81,5.13,0.0,3.17,8.15,2.81,6.09,7.86,0.52,6.33,4.85,4.29,7.05,9.17,9.45,10.82,5.66,2.42,9.36,6.36,3.51,1.74,2.07,2.12,5.84,9.5,4.48,11.49,11.86
hsa-let-7e-5p,1139.38,771.41,1013.2,1210.89,801.84,1670.88,2025.34,1681.63,1820.1,2164.71,1286.58,1737.18,1063.25,622.43,1629.27,1193.67,1290.03,1172.55,1048.71,1479.06,1438.08,1014.82,1763.35,1400.5,2003.25,1165.27,1341.14,1795.76,2075.28,2283.84,1850.1,1419.85,2094.46,1538.32,1870.04,948.85,1587.44,1517.28,1451.22,1071.27,1942.25,1679.56,1707.39,925.26,1608.86
hsa-let-7f-1-3p,2.46,0.8,1.16,0.0,0.31,3.35,4.88,0.35,6.83,4.0,1.42,0.72,0.0,0.0,0.0,0.0,1.66,0.51,0.0,6.92,0.0,0.0,2.17,6.98,0.0,1.13,1.21,0.3,1.82,5.62,4.0,3.34,0.75,3.35,6.05,0.32,1.24,0.43,0.46,2.35,1.41,4.36,2.63,1.91,0.19
hsa-let-7f-2-3p,0.18,0.27,0.29,0.0,0.0,0.64,0.0,1.21,0.0,1.18,0.81,0.0,0.28,0.0,1.01,0.47,0.0,0.0,0.0,0.0,0.0,1.56,0.27,1.02,0.35,0.9,0.0,0.59,0.68,0.3,0.96,2.07,0.19,0.56,1.56,0.0,0.62,0.0,0.23,2.82,0.6,0.0,0.66,1.91,2.1
hsa-let-7f-5p,16427.5,9481.18,11915.84,11805.7,11711.34,21537.56,18995.77,19891.2,18752.24,25764.31,20921.45,14030.77,12397.3,5946.38,12295.15,9391.89,17486.74,15358.96,10680.99,14105.4,11839.15,10221.87,17929.06,20623.62,15413.97,14499.69,14060.96,17913.78,20539.05,30650.7,21504.84,23387.7,20845.39,20384.22,22231.95,13434.25,18373.22,18225.43,19872.8,14130.26,22679.84,21386.03,19002.15,10313.81,22127.84
hsa-let-7g-3p,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.0,0.0,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,0.64,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.41,0.0,0.0,0.38,0.0
hsa-let-7g-5p,2949.72,1912.21,2083.69,1320.04,1965.34,3773.02,3480.92,3254.25,3230.83,4689.13,3884.45,2620.37,2033.19,1065.93,2252.92,2012.72,3297.54,2799.34,2036.14,2016.58,2168.74,1569.35,2705.95,3573.72,2344.69,2832.55,2354.79,2902.44,3620.54,4995.44,4090.92,4154.19,3717.53,3877.34,3799.19,1903.42,3777.78,2819.56,2960.09,2408.59,4013.45,3283.64,3352.48,1871.2,4098.97
hsa-let-7i-3p,3.51,0.0,0.0,0.0,12.06,1.12,1.42,0.0,3.52,0.0,1.01,0.0,0.0,0.0,8.81,0.0,0.0,2.56,0.0,0.0,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1.18,1.59,2.66,3.2,1.11,0.57,0.0,0.0,0.0,1.03,0.0,0.0,1.65,0.0,0.0,0.53,1.91,3.06
hsa-let-7i-5p,4310.24,2968.36,3878.57,4792.41,4269.46,4883.27,4910.08,5244.2,6629.63,6122.77,4544.65,3713.05,3910.11,2716.22,5882.33,3896.17,5204.42,3312.04,3694.91,5543.08,3581.45,4568.57,6347.48,5776.46,4597.25,4801.04,5611.96,4429.41,4618.05,5383.27,5252.66,5404.4,4757.59,5265.16,4953.48,6297.69,4840.27,5268.34,6051.33,4309.28,6046.37,6413.01,5908.36,3815.55,5420.66
hsa-miR-1-3p,0.18,0.0,1.45,0.34,0.0,1.27,0.0,0.0,0.0,0.0,0.81,7.18,0.0,0.0,0.0,0.47,0.0,0.51,0.0,3.75,5.43,0.31,0.14,0.58,0.0,7.24,5.66,0.15,0.0,18.48,0.0,1.11,0.19,0.0,0.0,2.23,0.62,0.0,3.45,0.0,4.84,0.0,0.0,0.0,0.77
hsa-miR-100-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
hsa-miR-100-5p,1188.17,815.99,1195.52,657.63,1327.95,1628.66,2190.39,1058.93,1027.44,1388.77,1065.64,922.22,1087.14,916.51,1439.17,1567.59,1671.03,1275.09,1053.7,715.16,1143.09,1056.33,1016.68,1959.19,1509.16,1447.93,1241.42,1450.48,1674.87,1261.39,1585.94,2661.78,1196.56,1072.68,1237.59,1721.28,1948.89,1450.24,2226.9,1110.52,1375.09,2716.86,1559.08,889.64,1272.89
hsa-miR-101-2-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-101-3p,309.07,201.68,286.8,351.67,329.2,645.22,558.37,400.17,472.04,436.62,435.81,317.7,204.05,372.76,341.16,316.81,549.35,408.11,207.03,369.12,240.33,373.85,374.82,475.61,358.53,684.96,371.8,474.42,662.12,718.6,924.49,1207.55,573.02,576.89,599.29,668.49,675.27,503.1,528.53,270.28,564.74,599.13,562.02,481.78,885.84
hsa-miR-101-5p,0.0,0.0,0.0,0.0,2.47,0.48,1.42,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,1.65,2.13,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63,0.0,1.43,0.0,0.0,0.98,0.0,1.86,1.16,0.0,0.0,0.0,0.0,0.53,0.0,0.0
hsa-miR-10392-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10394-3p,1.93,0.0,0.0,0.0,0.0,0.32,0.0,0.69,1.65,0.35,1.01,0.0,0.0,3.49,0.0,0.0,0.0,0.0,2.49,0.0,0.0,0.0,0.95,1.6,1.4,0.0,0.0,2.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,1.21,1.03,1.32,0.0,0.38
hsa-miR-10395-3p,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,1.33,0.16,0.0,0.0,0.0,0.0,0.0,1.44,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.0
hsa-miR-10397-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.41,1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10398-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10399-3p,6.49,1.33,2.6,11.6,0.0,2.23,5.08,8.49,9.93,6.24,2.84,13.65,0.84,14.28,14.35,3.53,9.95,8.2,0.0,8.94,9.06,8.43,8.4,11.78,9.25,9.5,9.71,9.62,4.32,7.1,4.65,9.87,3.39,5.77,10.34,4.77,7.42,10.57,14.47,4.23,10.48,4.88,10.01,6.13,4.97
hsa-miR-10399-5p,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
