miRNA,SRR26713879,SRR26713880,SRR26713881,SRR26713882,SRR26713883,SRR26713884,SRR26713885,SRR26713886,SRR26713887,SRR26713888,SRR26713889,SRR26713890,SRR26713891,SRR26713892,SRR26713893,SRR26713894,SRR26713895,SRR26713896,SRR26713897,SRR26713898,SRR26713899,SRR26713900,SRR26713901,SRR26713902,SRR26713903,SRR26713904,SRR26713905,SRR26713906,SRR26713907,SRR26713908,SRR26713909,SRR26713910,SRR26713911,SRR26713912,SRR26713913,SRR26713914,SRR26713915,SRR26713916,SRR26713917,SRR26713918,SRR26713919,SRR26713920,SRR26713921,SRR26713922,SRR26713923,SRR26713924,SRR26713925,SRR26713926,SRR26713927,SRR26713928,SRR26713929,SRR26713930,SRR26713931,SRR26713932,SRR26713933,SRR26713934,SRR26713935,SRR26713936,SRR26713937,SRR26713938,SRR26713939,SRR26713940,SRR26713941,SRR26713942,SRR26713943,SRR26713944,SRR26713945,SRR26713946,SRR26713947,SRR26713948,SRR26713949,SRR26713950,SRR26713951,SRR26713952,SRR26713953,SRR26713954,SRR26713955,SRR26713956,SRR26713957
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-3p,1.17,45.0,28.98,37.09,25.87,19.07,29.75,23.62,33.73,24.07,0.0,2.74,32.09,12.96,11.62,16.04,4.53,4.75,7.13,3.52,19.9,5.31,8.51,22.75,0.0,0.0,43.62,22.8,24.22,18.25,70.26,2.62,14.32,9.34,5.0,30.48,2.29,0.0,10.17,2.12,21.01,4.24,9.33,6.17,2.94,0.0,3.66,1.54,2.06,6.0,14.23,1.13,10.84,0.0,25.32,15.39,2.32,0.0,0.0,13.62,13.26,4.92,0.0,23.61,36.95,25.71,23.61,0.0,20.61,12.07,6.09,25.23,25.84,26.64,41.32,15.19,2.32,19.68,20.73
hsa-let-7a-5p,518.52,1886.72,3908.26,3423.72,3483.36,6078.74,5980.23,5743.37,2678.69,3745.07,1312.05,3533.88,5867.03,3290.67,1808.57,838.33,116.24,1687.24,1657.88,1685.22,2797.73,1377.78,989.33,2827.99,889.13,1695.05,2884.07,3108.44,460.15,3211.7,2818.25,3429.68,6785.05,1493.72,3304.67,3631.82,259.5,1466.6,1986.04,1730.96,11845.4,895.75,827.38,1430.51,6472.07,1910.58,797.38,1570.57,4862.92,1388.98,1182.24,672.95,2602.71,2847.71,2228.41,2600.16,480.04,1163.61,2356.76,1521.37,1779.92,1322.36,5960.6,6438.46,4446.19,8560.44,1027.15,1939.24,810.63,803.79,275.92,1106.5,4004.26,15634.82,4032.43,1149.93,1444.91,2209.99,1276.87
hsa-let-7b-3p,1.17,16.07,5.0,4.64,24.06,6.44,8.62,3.04,5.73,8.25,0.0,1.37,12.52,10.71,9.68,4.81,0.0,4.75,3.75,2.35,6.94,4.09,6.01,15.27,4.89,15.62,24.24,11.4,24.22,2.11,42.84,15.74,18.53,9.34,3.91,4.54,0.86,0.0,10.17,4.24,18.38,2.83,4.0,3.22,5.87,0.0,5.13,0.51,1.74,2.14,10.44,1.13,14.46,0.0,0.0,30.77,1.16,0.0,0.0,5.79,21.22,0.0,0.0,16.44,15.69,26.06,0.0,0.0,0.0,3.1,2.77,0.93,12.92,42.37,21.01,2.17,1.16,2.81,4.15
hsa-let-7b-5p,344.38,5308.75,11598.86,6814.06,4775.74,4938.51,14198.36,759.33,16094.73,4983.72,2478.31,7163.57,6146.45,9122.33,7356.29,3445.19,101.14,2029.12,2237.91,1977.76,9476.45,1420.68,1317.27,5956.55,3913.14,10076.55,31404.81,6086.42,3826.55,5390.97,5043.24,14994.87,4397.02,6152.27,7688.65,7627.48,263.79,1506.78,3151.91,2122.49,17751.03,766.71,1056.98,1759.37,4954.59,5731.75,7932.07,8884.82,2854.48,4968.72,4491.74,1451.18,5469.3,21098.96,15877.44,9031.33,183.56,1822.77,4006.49,2926.29,33945.74,3000.3,8031.12,18187.55,10591.08,10685.15,1853.6,7387.57,652.62,770.33,368.45,1103.69,14242.99,13499.92,8917.15,2718.6,2603.87,5524.99,3714.54
hsa-let-7c-3p,1.17,0.0,0.0,0.93,2.14,0.0,0.0,0.14,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.11,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.08,0.0,0.84,0.0,0.22,0.65,0.0,0.0,0.0,0.0,0.0,0.47,0.44,0.0,0.0,0.0,0.73,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.34,0.0,1.87,0.0,0.0,3.5,0.0,0.0,0.0,0.0
hsa-let-7c-5p,325.59,20.36,73.95,1110.95,772.89,157.74,82.57,1118.62,260.08,59.38,1020.48,79.38,1285.96,131.33,100.69,412.75,39.25,766.59,279.69,124.76,126.1,131.16,359.98,799.69,24.43,27.34,82.4,87.4,254.3,86.33,206.66,1104.32,197.11,28.01,254.19,98.58,257.78,763.44,1115.03,183.58,238.96,143.64,387.26,106.49,70.44,382.12,244.79,442.41,680.18,50.04,25.62,20.94,292.8,323.6,481.13,276.94,266.08,766.77,418.98,445.72,795.79,37.69,125.49,156.84,120.97,319.08,1086.19,1939.24,728.19,100.39,61.5,125.23,94.03,181.69,53.92,36.88,356.87,283.98,281.91
hsa-let-7d-3p,48.13,175.71,223.84,303.24,716.38,285.06,384.63,150.57,281.67,293.67,72.89,483.14,252.03,707.96,220.75,232.65,14.34,87.58,182.83,123.98,724.19,104.19,114.15,356.46,136.79,851.43,1764.37,545.94,290.62,388.83,755.37,594.13,509.62,158.71,202.26,321.03,29.44,160.72,193.18,121.45,782.52,47.57,74.17,106.22,230.41,382.12,727.03,425.95,398.91,454.37,383.33,96.22,249.43,388.32,202.58,538.49,22.58,127.8,130.93,95.0,1986.82,172.05,690.17,643.38,526.42,664.92,271.55,184.69,34.35,49.33,19.39,45.79,398.02,1259.19,623.98,214.8,166.23,250.24,153.39
hsa-let-7d-5p,148.71,422.13,1210.15,1002.45,951.99,1019.61,1561.57,1367.81,592.68,964.69,72.89,425.65,1522.33,577.19,582.85,345.36,18.87,212.62,333.0,207.67,524.98,196.53,196.76,768.82,161.22,195.28,567.12,595.34,242.19,850.65,688.88,554.78,1066.4,298.74,294.82,689.4,100.03,220.99,562.6,115.09,2019.31,156.83,212.73,197.42,1036.12,764.23,97.47,65.85,558.44,174.28,132.84,137.53,350.64,453.05,50.65,446.18,187.04,161.43,314.23,327.56,148.55,191.72,564.69,1037.59,629.67,1324.9,342.38,277.03,212.96,176.97,57.62,159.81,674.38,2491.74,606.48,149.71,202.26,475.18,290.2
hsa-let-7e-3p,0.0,0.0,0.0,1.85,0.82,0.26,0.0,1.24,0.0,0.69,0.0,0.0,0.78,1.13,0.0,0.0,0.0,0.0,0.38,0.0,1.16,0.41,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,3.43,0.0,0.0,0.0,0.65,0.65,0.86,0.0,0.0,0.0,0.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.57,3.61,0.0,0.0,0.0,0.87,0.0,0.0,0.0,0.0,0.0,0.0,2.53,0.0,2.11,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,1.4,0.0,0.0,0.0,0.0
hsa-let-7e-5p,32.09,31.07,26.98,99.22,48.27,48.71,13.8,142.0,13.83,52.5,0.0,52.01,93.92,117.24,19.36,14.04,3.77,34.29,19.52,16.43,55.99,20.02,20.53,38.67,4.89,23.43,58.17,41.8,0.0,99.66,34.62,91.81,135.62,18.67,42.36,32.43,23.43,0.0,20.33,18.01,91.91,12.72,21.32,14.75,98.33,0.0,13.19,44.24,71.78,51.47,33.21,20.38,39.76,129.44,25.32,46.16,44.88,20.18,26.19,11.24,116.72,31.13,62.74,56.5,37.96,72.9,70.84,92.34,20.61,12.76,3.32,10.28,16.87,109.19,17.51,28.21,25.57,14.06,16.58
hsa-let-7f-1-3p,0.39,3.21,3.0,1.85,1.98,1.8,1.29,1.24,2.02,2.52,0.0,0.0,4.7,0.56,0.0,2.01,0.0,0.0,0.38,0.78,1.85,0.0,0.5,2.27,0.0,0.0,0.0,0.0,0.0,0.7,8.23,0.0,0.0,0.0,0.22,0.65,0.29,0.0,0.0,0.71,0.0,0.94,1.33,0.0,0.0,0.0,2.2,0.0,0.32,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.34,0.0,0.0,0.0,1.26,2.53,1.41,0.0,0.0,0.0,0.69,0.0,0.0,0.0,8.74,5.6,0.0,2.32,0.0,4.15
hsa-let-7f-2-3p,0.0,7.5,1.0,0.93,2.14,0.77,0.86,3.18,1.01,1.6,0.0,0.0,0.0,0.0,0.0,2.01,0.0,0.0,0.0,0.0,1.39,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,3.51,2.4,0.0,3.37,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.47,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,1.36,0.0,4.92,0.0,1.26,1.52,1.06,0.0,0.0,0.0,1.38,0.0,0.93,0.36,2.62,0.0,0.0,0.0,0.0,4.15
