miRNA,SRR26713879,SRR26713880,SRR26713881,SRR26713882,SRR26713883,SRR26713884,SRR26713885,SRR26713886,SRR26713887,SRR26713888,SRR26713889,SRR26713890,SRR26713891,SRR26713892,SRR26713893,SRR26713894,SRR26713895,SRR26713896,SRR26713897,SRR26713898,SRR26713899,SRR26713900,SRR26713901,SRR26713902,SRR26713903,SRR26713904,SRR26713905,SRR26713906,SRR26713907,SRR26713908,SRR26713909,SRR26713910,SRR26713911,SRR26713912,SRR26713913,SRR26713914,SRR26713915,SRR26713916,SRR26713917,SRR26713918,SRR26713919,SRR26713920,SRR26713921,SRR26713922,SRR26713923,SRR26713924,SRR26713925,SRR26713926,SRR26713927,SRR26713928,SRR26713929,SRR26713930,SRR26713931,SRR26713932,SRR26713933,SRR26713934,SRR26713935,SRR26713936,SRR26713937,SRR26713938,SRR26713939,SRR26713940,SRR26713941,SRR26713942,SRR26713943,SRR26713944,SRR26713945,SRR26713946,SRR26713947,SRR26713948,SRR26713949,SRR26713950,SRR26713951,SRR26713952,SRR26713953,SRR26713954,SRR26713955,SRR26713956,SRR26713957
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-3p,3.0,42.0,29.0,40.0,157.0,74.0,138.0,171.0,100.0,105.0,0.0,2.0,41.0,23.0,6.0,40.0,6.0,9.0,19.0,9.0,86.0,13.0,17.0,70.0,0.0,0.0,9.0,18.0,2.0,26.0,205.0,2.0,17.0,1.0,23.0,47.0,8.0,0.0,3.0,6.0,8.0,9.0,21.0,23.0,2.0,0.0,5.0,3.0,13.0,42.0,15.0,2.0,3.0,0.0,1.0,1.0,8.0,0.0,0.0,40.0,5.0,3.0,0.0,56.0,73.0,73.0,2.0,0.0,3.0,35.0,11.0,27.0,72.0,61.0,59.0,7.0,2.0,7.0,5.0
hsa-let-7a-5p,1325.0,1761.0,3911.0,3692.0,21142.0,23585.0,27738.0,41578.0,7941.0,16336.0,18.0,2582.0,7496.0,5838.0,934.0,2090.0,154.0,3198.0,4416.0,4309.0,12092.0,3372.0,1976.0,8703.0,182.0,434.0,595.0,2454.0,38.0,4576.0,8223.0,2615.0,8055.0,160.0,15211.0,5600.0,908.0,73.0,586.0,4903.0,4511.0,1902.0,1863.0,5333.0,4410.0,5.0,1088.0,3053.0,30757.0,9715.0,1246.0,1189.0,720.0,44.0,88.0,169.0,1658.0,173.0,90.0,4468.0,671.0,807.0,95.0,15271.0,8784.0,24307.0,87.0,21.0,118.0,2330.0,498.0,1184.0,11157.0,35797.0,5758.0,530.0,1243.0,786.0,308.0
hsa-let-7b-3p,3.0,15.0,5.0,5.0,146.0,25.0,40.0,22.0,17.0,36.0,0.0,1.0,16.0,19.0,5.0,12.0,0.0,9.0,10.0,6.0,30.0,10.0,12.0,47.0,1.0,4.0,5.0,9.0,2.0,3.0,125.0,12.0,22.0,1.0,18.0,7.0,3.0,0.0,3.0,12.0,7.0,6.0,9.0,12.0,4.0,0.0,7.0,1.0,11.0,15.0,11.0,2.0,4.0,0.0,0.0,2.0,4.0,0.0,0.0,17.0,8.0,0.0,0.0,39.0,31.0,74.0,0.0,0.0,0.0,9.0,5.0,1.0,36.0,97.0,30.0,1.0,1.0,1.0,1.0
hsa-let-7b-5p,880.0,4955.0,11607.0,7348.0,28986.0,19161.0,65856.0,5497.0,47713.0,21739.0,34.0,5234.0,7853.0,16184.0,3799.0,8589.0,134.0,3846.0,5961.0,5057.0,40958.0,3477.0,2631.0,18331.0,801.0,2580.0,6479.0,4805.0,316.0,7681.0,14715.0,11433.0,5220.0,659.0,35390.0,11761.0,923.0,75.0,930.0,6012.0,6760.0,1628.0,2380.0,6559.0,3376.0,15.0,10823.0,17271.0,18054.0,34753.0,4734.0,2564.0,1513.0,326.0,627.0,587.0,634.0,271.0,153.0,8594.0,12797.0,1831.0,128.0,43138.0,20924.0,30340.0,157.0,80.0,95.0,2233.0,665.0,1181.0,39685.0,30909.0,12733.0,1253.0,2240.0,1965.0,896.0
hsa-let-7c-3p,3.0,0.0,0.0,1.0,13.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
hsa-let-7c-5p,832.0,19.0,74.0,1198.0,4691.0,612.0,383.0,8098.0,771.0,259.0,14.0,58.0,1643.0,233.0,52.0,1029.0,52.0,1453.0,745.0,319.0,545.0,321.0,719.0,2461.0,5.0,7.0,17.0,69.0,21.0,123.0,603.0,842.0,234.0,3.0,1170.0,152.0,902.0,38.0,329.0,520.0,91.0,305.0,872.0,397.0,48.0,1.0,334.0,860.0,4302.0,350.0,27.0,37.0,81.0,5.0,19.0,18.0,919.0,114.0,16.0,1309.0,300.0,23.0,2.0,372.0,239.0,906.0,92.0,21.0,106.0,291.0,111.0,134.0,262.0,416.0,77.0,17.0,307.0,101.0,68.0
hsa-let-7d-3p,123.0,164.0,224.0,327.0,4348.0,1106.0,1784.0,1090.0,835.0,1281.0,1.0,353.0,322.0,1256.0,114.0,580.0,19.0,166.0,487.0,317.0,3130.0,255.0,228.0,1097.0,28.0,218.0,364.0,431.0,24.0,554.0,2204.0,453.0,605.0,17.0,931.0,495.0,103.0,8.0,57.0,344.0,298.0,101.0,167.0,396.0,157.0,1.0,992.0,828.0,2523.0,3178.0,404.0,170.0,69.0,6.0,8.0,35.0,78.0,19.0,5.0,279.0,749.0,105.0,11.0,1526.0,1040.0,1888.0,23.0,2.0,5.0,143.0,35.0,49.0,1109.0,2883.0,891.0,99.0,143.0,89.0,37.0
hsa-let-7d-5p,380.0,394.0,1211.0,1081.0,5778.0,3956.0,7243.0,9902.0,1757.0,4208.0,1.0,311.0,1945.0,1024.0,301.0,861.0,25.0,403.0,887.0,531.0,2269.0,481.0,393.0,2366.0,33.0,50.0,117.0,470.0,20.0,1212.0,2010.0,423.0,1266.0,32.0,1357.0,1063.0,350.0,11.0,166.0,326.0,769.0,333.0,479.0,736.0,706.0,2.0,133.0,128.0,3532.0,1219.0,140.0,243.0,97.0,7.0,2.0,29.0,646.0,24.0,12.0,962.0,56.0,117.0,9.0,2461.0,1244.0,3762.0,29.0,3.0,31.0,513.0,104.0,171.0,1879.0,5705.0,866.0,69.0,174.0,169.0,70.0
hsa-let-7e-3p,0.0,0.0,0.0,2.0,5.0,1.0,0.0,9.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
