miRNA,SRR27277256,SRR27277257,SRR27277258,SRR27277259,SRR27277260,SRR27277261,SRR27277262,SRR27277263
hsa-let-7a-3p,0.0,1.69,27.33,3.3,0.68,3.8,4.52,12.28
hsa-let-7a-5p,99.63,1128.38,15567.21,27634.44,946.72,2588.55,28182.35,56816.19
hsa-let-7b-3p,0.0,0.0,15.82,2.1,0.0,0.95,1.88,1.44
hsa-let-7b-5p,109.98,1833.4,9037.96,4863.39,645.83,1989.04,2357.28,5597.81
hsa-let-7c-5p,14.23,111.32,581.15,410.71,235.16,1630.37,256.61,961.63
hsa-let-7d-3p,1.29,87.71,486.21,250.69,38.63,124.46,329.6,732.6
hsa-let-7d-5p,6.47,42.17,739.38,1414.07,36.59,173.39,1976.5,3822.67
hsa-let-7e-3p,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0
hsa-let-7e-5p,0.0,64.09,353.87,152.22,39.98,518.28,152.39,342.82
hsa-let-7f-1-3p,0.0,0.0,7.19,0.3,0.0,0.48,0.0,0.0
hsa-let-7f-2-3p,0.0,25.3,0.0,0.0,0.0,0.48,0.0,0.0
hsa-let-7f-5p,122.92,2609.26,9519.85,32268.76,569.93,5202.28,48285.62,86677.56
hsa-let-7g-3p,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0
hsa-let-7g-5p,62.11,1425.23,2584.95,5751.46,255.49,2666.93,17043.51,13515.52
hsa-let-7i-3p,0.0,0.0,0.0,0.0,0.0,0.48,0.0,1.08
hsa-let-7i-5p,200.56,2474.33,22355.39,12164.32,1139.18,3979.02,16509.6,18650.94
hsa-miR-1-3p,358.42,850.08,1593.83,912.69,193.14,43805.84,622.71,3564.38
hsa-miR-100-5p,38.82,1609.07,568.2,112.89,243.97,3244.6,35.74,84.53
hsa-miR-101-2-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72
hsa-miR-101-3p,16.82,511.06,1671.51,753.27,157.9,1599.02,1323.31,1144.42
hsa-miR-10396a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
hsa-miR-10399-3p,0.0,0.0,37.4,10.81,0.0,0.0,8.65,10.11
hsa-miR-10399-5p,0.0,0.0,0.0,0.3,0.0,0.0,0.75,0.0
hsa-miR-103a-3p,7.76,109.63,258.93,87.67,67.77,14.73,173.08,200.85
hsa-miR-105-5p,0.0,0.0,0.0,0.0,1.36,0.0,0.0,0.0
hsa-miR-106a-3p,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0
hsa-miR-106a-5p,0.0,0.0,0.0,0.3,0.0,0.48,16.93,9.03
hsa-miR-106b-3p,10.35,65.78,235.91,150.11,31.85,173.87,239.3,190.74
hsa-miR-106b-5p,6.47,0.0,17.26,15.61,12.2,6.65,57.94,31.43
hsa-miR-107,0.0,0.0,10.07,4.5,2.71,4.28,49.67,21.67
hsa-miR-10a-3p,0.0,1.69,0.0,6.0,0.0,6.18,6.02,3.97
hsa-miR-10a-5p,29.76,743.82,3786.08,828.63,246.0,3683.07,852.61,1129.24
hsa-miR-10b-3p,0.0,1.69,8.63,0.0,0.0,0.0,5.64,0.0
hsa-miR-10b-5p,29.76,602.14,4843.36,1261.86,130.11,614.24,1443.71,1168.26
hsa-miR-11400,0.0,0.0,50.35,36.63,0.0,0.0,5.64,7.59
hsa-miR-11401,0.0,0.0,2.88,7.21,0.0,0.0,4.89,5.06
