miRNA,SRR27748542,SRR27758115,SRR27758116,SRR27758117,SRR27758118,SRR27758119,SRR27758120,SRR27758121,SRR27758122,SRR27758123,SRR27758124,SRR27758184,SRR27758185,SRR27758186,SRR27758187,SRR27758188,SRR27758189,SRR27758190,SRR27758191,SRR27758192,SRR27758193,SRR27760694,SRR27760695,SRR27760696,SRR27760697,SRR27760698,SRR27760699,SRR27760700,SRR27760701,SRR27760702,SRR27760703,SRR27760743,SRR27760744,SRR27760745,SRR27760746,SRR27760747,SRR27760748,SRR27760749,SRR27760750,SRR27760751,SRR27760752,SRR27760763,SRR27760764,SRR27760765,SRR27760766,SRR27760767,SRR27760768,SRR27761215,SRR27761216,SRR27761217,SRR27761218,SRR27761219,SRR27761220,SRR27761221,SRR27761222,SRR27761223,SRR27761224,SRR27761225,SRR27761226,SRR27763253,SRR27763254,SRR27763255,SRR27763256,SRR27763257,SRR27763258,SRR27763259,SRR27763260,SRR27763261,SRR27763262,SRR27763263,SRR27781120,SRR27781121,SRR27781122,SRR27781123,SRR27781124,SRR27781125,SRR27781126,SRR27781127,SRR27781128,SRR27781129,SRR27781714,SRR27781715,SRR27781716,SRR27781717,SRR27781718,SRR27781719,SRR27781720,SRR27781721,SRR27781722,SRR27781723,SRR27782077,SRR27782078,SRR27782079,SRR27782080,SRR27782081,SRR27782082,SRR27782083,SRR27782084,SRR27782085,SRR27782219,SRR27782220,SRR27782221,SRR27782222,SRR27782223,SRR27782224,SRR27782225,SRR27782226,SRR27782227,SRR27782228,SRR27782347,SRR27782348,SRR27782349,SRR27782350,SRR27782351,SRR27782352,SRR27782353,SRR27782354,SRR27782355,SRR27782356,SRR27782885,SRR27782886,SRR27782887,SRR27782888,SRR27782889,SRR27782890,SRR27782891,SRR27782892,SRR27782893,SRR27782894,SRR27783625,SRR27783626,SRR27783627,SRR27783628,SRR27783629,SRR27783630,SRR27783631,SRR27783632,SRR27783633,SRR27783634,SRR27784231,SRR27784232,SRR27784234,SRR27784235,SRR27784236,SRR27784237,SRR27784238,SRR27784239,SRR27784240,SRR27784706,SRR27784707,SRR27784708,SRR27834873,SRR27834874,SRR27834875,SRR27834876,SRR27834877,SRR27834878
hsa-let-7a-2-3p,0.13,0.15,0.12,0.0,0.11,0.0,0.09,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.26,0.0,0.0,1.5,0.17,0.24,0.1,0.0,0.0,0.74,1.95,0.4,0.0,0.08,0.08,0.71,0.18,0.0,0.35,0.0,0.0,0.0,0.0,0.18,0.23,0.0,0.0,0.0,0.33,1.55,0.86,0.23,1.76,0.61,0.57,1.22,0.68,0.15,0.16,0.37,0.2,0.29,0.58,0.66,0.16,0.49,0.73,0.17,0.24,0.52,0.99,0.19,0.0,0.13,0.0,0.14,0.15,0.43,0.43,0.0,0.0,0.0,1.48,0.19,1.14,0.62,2.13,0.63,1.05,2.22,0.0,0.0,0.18,0.28,0.85,0.44,0.0,0.11,0.11,0.12,0.19,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.57,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,1.77,0.55,2.42,1.71,0.0,0.0,0.0,0.0,0.95,0.41,0.21,0.43,0.71,0.0,0.0,1.89,0.0,0.0,0.0,0.0,0.25,0.0,0.17,0.0,3.68,0.98,0.0,0.19,0.32,0.36,0.0,0.0,3.15
hsa-let-7a-3p,1.02,20.92,8.24,46.3,0.44,3.6,1.7,16.48,0.84,26.3,23.15,9.86,4.01,46.51,2.62,2.58,51.06,3.64,2.59,21.67,1.02,73.51,27.24,6.09,1.99,3.71,7.99,24.88,63.79,28.72,37.98,8.72,7.56,35.12,17.69,0.54,20.45,12.48,5.5,11.85,1.62,10.88,6.45,3.17,0.49,2.1,8.28,20.21,15.48,18.23,22.38,25.19,32.79,14.49,24.81,13.09,6.72,23.42,2.37,30.49,21.57,4.44,8.91,2.43,15.2,0.17,3.91,27.16,17.4,5.33,2.68,10.24,12.93,11.1,7.08,14.55,1.74,1.14,0.19,1.93,100.0,61.25,43.08,231.04,61.19,111.63,137.81,144.32,10.97,30.38,5.79,21.46,43.54,35.61,7.4,7.34,14.27,2.36,272.05,11.06,22.99,16.47,18.17,8.45,48.16,14.73,2.86,49.58,0.94,18.98,45.39,33.19,61.36,42.63,67.23,82.54,47.88,51.73,56.09,0.43,4.04,92.54,109.2,38.64,329.13,43.62,121.34,240.89,26.12,5.64,5.64,9.44,18.63,28.77,17.26,13.79,20.53,0.6,6.34,223.1,12.77,7.81,2.99,0.41,53.64,17.44,6.17,18.84,196.41,99.91,117.74,8.05,48.65,13.63,33.32,112.88,12.39
hsa-let-7a-5p,1597.04,5449.96,5937.3,15176.58,2049.33,1879.63,2615.25,9164.32,1118.47,17801.18,12394.16,6357.05,4998.79,4804.27,3569.8,2003.53,7292.31,7738.56,3577.16,4146.91,1252.05,14692.89,4652.5,1058.76,279.29,4977.24,7292.02,15407.69,15224.73,9026.31,21046.3,5952.86,1274.86,9995.21,5861.93,281.31,2825.41,5149.65,2859.8,2380.85,2225.06,3930.54,4428.03,2958.45,549.03,3230.89,1540.04,3337.2,3493.73,3535.06,3675.8,5348.24,6226.55,4996.03,5129.03,2655.3,3190.78,3616.99,2058.45,2164.57,1635.23,2559.37,2722.91,6433.09,4097.54,171.09,1170.63,3193.58,3043.55,1020.48,3013.36,3717.66,2019.17,3825.13,2825.65,2826.0,5061.07,742.01,1064.13,1304.81,24691.58,42135.91,12508.72,16355.52,62091.25,32555.51,21421.85,31916.77,11578.69,7374.36,2233.66,3307.67,6169.71,4634.21,5329.54,3225.77,10393.11,638.9,3598.98,6532.71,12964.42,8825.41,6607.26,1970.7,6647.43,4687.6,4676.51,6873.77,292.52,6211.77,29571.42,15657.32,20610.0,4685.6,22868.44,25455.85,10773.95,14784.49,15036.29,1408.54,1779.23,16574.73,13357.26,8346.91,18999.87,33855.72,31906.96,39446.25,6430.12,6310.16,6431.25,6659.86,24805.34,6406.24,20333.83,14975.74,51328.29,1378.92,6116.58,21914.17,2849.65,8684.98,5378.78,1521.09,11776.52,10172.64,7111.27,9614.97,28392.56,20004.25,16596.41,10541.95,20039.21,6559.51,12150.58,24525.14,2106.15
hsa-let-7b-3p,2.43,14.26,4.12,22.62,0.77,1.2,3.58,10.14,0.67,35.38,14.88,22.07,13.96,3.34,2.62,5.45,20.82,10.07,8.04,11.41,0.77,18.75,9.58,2.8,1.26,0.35,3.35,21.72,18.57,18.13,20.97,3.73,1.73,19.46,4.97,0.34,6.86,1.95,1.72,4.74,0.65,5.88,8.41,10.4,1.15,2.73,3.92,2.68,1.8,1.61,2.85,3.44,3.98,3.35,4.08,3.35,0.64,3.72,1.58,2.75,2.56,1.48,2.59,2.11,7.16,0.0,0.0,2.34,1.7,0.95,1.28,4.12,9.18,2.95,1.81,10.39,4.34,1.14,0.94,5.36,20.37,2.5,4.85,35.12,7.83,7.86,21.61,21.32,1.32,6.91,2.41,7.8,18.01,17.88,3.24,1.95,8.11,1.37,28.74,14.57,25.83,14.57,14.34,0.75,36.83,41.25,4.7,29.98,0.94,2.02,2.31,5.06,4.22,4.1,7.24,7.9,9.73,6.52,9.98,0.0,0.25,8.62,5.2,1.1,24.08,11.78,21.75,20.49,2.24,1.13,1.01,2.43,2.66,2.43,4.93,3.02,7.79,0.6,1.67,33.01,1.94,1.61,2.34,0.31,9.11,2.49,1.5,2.94,19.99,15.84,47.27,2.06,9.6,0.72,1.65,22.8,1.62
hsa-let-7b-5p,1402.6,4277.72,3203.67,11880.57,1123.43,1095.67,1545.13,3641.6,758.54,27079.69,8648.39,6282.71,6970.58,3460.45,1914.76,2527.88,3517.57,3711.66,5794.49,3675.06,1163.94,6045.03,2091.77,561.37,193.96,1855.67,1473.49,9772.05,6536.71,4264.45,9011.01,3234.89,558.02,3913.35,1906.75,157.91,1267.34,1916.83,1488.25,1326.93,1154.96,1934.31,3562.26,2488.21,674.62,3505.28,818.74,682.45,465.77,594.57,547.53,980.69,1178.52,1153.05,805.93,1810.68,446.25,790.06,688.39,404.74,339.01,1040.51,1578.77,3435.6,1719.69,67.74,453.55,570.49,537.55,233.56,987.85,1642.55,1115.92,2119.42,921.59,1220.83,3709.17,722.08,871.92,1181.4,11607.97,31225.5,6141.95,17431.22,22942.21,22721.41,9122.81,9868.16,8982.79,4490.26,918.91,1184.73,2955.76,2200.52,2055.73,1943.92,9675.1,366.06,1759.69,5423.46,8606.09,8277.86,4768.32,380.1,11182.93,4725.9,3198.52,4169.0,418.97,1706.33,9452.83,10173.26,5458.26,2224.06,7154.62,5961.34,7671.29,14965.54,3489.4,612.13,604.37,3063.9,11855.33,1163.61,42551.54,9456.13,6878.86,11839.97,2335.74,1203.12,1794.62,2929.48,11042.66,1629.52,5599.67,3750.29,14958.7,1734.04,4831.0,13967.9,1927.63,3409.65,2513.7,381.4,5661.69,5979.77,3032.54,3501.31,13429.49,3759.66,6370.61,3784.91,11258.93,1220.61,4724.33,15157.98,541.08
hsa-let-7c-3p,0.13,0.93,1.58,3.17,0.11,0.22,0.19,1.27,0.17,0.16,1.82,0.43,0.16,1.67,0.0,0.14,4.62,1.07,0.0,0.66,0.0,8.06,2.35,1.36,0.1,0.0,0.37,5.01,6.89,3.04,1.27,1.19,0.41,3.24,1.11,0.0,1.42,0.11,0.0,0.79,0.0,0.61,2.54,1.06,0.33,0.0,0.33,0.52,0.86,0.23,0.33,0.4,0.38,0.15,0.51,0.3,0.16,0.25,0.0,0.43,0.12,0.16,0.16,0.16,0.44,0.0,0.0,0.26,0.14,0.0,0.38,0.4,0.44,0.28,0.3,1.04,0.29,0.19,0.0,0.21,5.93,0.58,0.57,7.39,0.95,0.94,11.54,5.11,0.38,2.76,0.0,0.42,2.44,0.89,0.28,0.8,1.37,0.0,11.44,2.77,1.26,0.95,1.61,0.0,2.83,0.0,0.0,0.0,0.0,0.35,1.16,2.84,2.34,2.46,1.62,2.72,0.0,0.7,0.0,0.0,0.0,1.86,1.09,1.35,18.04,0.18,6.21,2.33,0.75,0.38,0.2,0.81,0.57,2.43,1.85,0.22,0.35,0.0,1.0,2.94,0.83,0.69,0.39,0.21,1.01,0.62,1.17,6.18,5.74,6.06,8.59,0.19,1.6,1.79,1.23,0.0,0.1
hsa-let-7c-5p,356.22,1547.39,640.61,2713.03,290.84,220.9,481.61,1900.35,165.7,4257.03,4561.82,819.73,1338.81,1073.82,577.97,226.13,807.28,1370.66,1159.52,412.97,481.56,2147.34,636.95,151.19,53.21,754.45,742.6,6956.64,2029.7,905.49,2371.53,788.57,154.38,1069.87,258.5,44.14,320.53,581.75,296.2,237.26,199.42,483.07,746.95,947.55,113.89,668.74,159.67,257.59,128.35,110.89,100.84,177.32,89.27,104.16,146.3,61.93,109.21,322.42,257.5,63.58,60.27,69.35,160.7,837.95,206.08,8.3,148.74,255.75,354.5,24.94,327.41,747.26,284.2,597.24,318.8,276.95,1175.17,180.47,177.48,279.82,5644.72,6858.17,1287.85,5260.23,7675.71,5182.91,5898.75,3476.42,4412.4,2233.16,228.17,268.66,921.33,438.12,713.63,603.27,2438.7,91.36,476.24,1359.83,1816.15,1349.08,1148.05,95.92,2483.05,447.84,242.55,499.22,48.12,2467.36,3602.85,2655.75,2332.03,1209.87,4869.46,4765.21,1041.59,5108.91,298.72,835.73,494.92,1649.43,4770.98,803.58,18569.91,4481.72,7028.85,3655.63,1435.77,905.54,1057.87,730.55,2107.32,731.48,2057.24,1800.37,7403.25,579.31,1289.25,8702.0,1021.16,784.97,1575.68,524.36,2065.86,1797.48,1810.08,3312.86,4411.49,2328.06,2915.03,1177.8,2093.61,942.71,2122.99,535.7,60.82
hsa-let-7d-3p,21.39,69.27,37.1,128.03,10.12,15.28,26.56,241.72,3.86,174.37,97.89,133.05,71.58,29.34,30.14,47.43,76.77,82.51,74.46,119.74,9.22,83.64,142.25,32.99,11.97,4.75,6.69,214.44,38.49,28.99,82.47,26.81,12.32,46.26,31.14,1.01,26.6,10.2,14.86,21.73,4.77,31.22,47.48,38.44,5.77,13.03,15.48,36.79,28.99,20.64,33.03,30.25,34.87,38.28,34.83,10.19,14.87,31.97,46.6,16.47,9.44,20.38,27.21,32.25,34.79,0.69,8.79,21.18,27.87,3.62,12.9,26.34,26.42,17.71,14.17,31.09,25.45,8.16,5.48,18.43,708.55,78.96,182.88,1902.51,243.32,109.43,395.4,983.84,13.81,226.03,14.77,32.19,42.7,34.58,15.54,13.87,51.16,7.21,252.35,68.04,198.44,48.14,59.08,16.89,222.38,117.85,55.17,102.61,6.61,96.14,61.9,160.87,214.3,43.73,177.23,372.92,443.84,76.43,481.95,16.15,87.71,372.73,137.11,33.14,1207.41,190.3,283.25,298.79,66.42,84.27,51.57,80.6,82.32,394.31,135.0,57.53,124.59,60.08,44.71,461.13,93.04,42.74,45.57,14.87,69.07,88.44,113.56,111.6,554.54,804.96,1200.56,27.34,291.59,84.27,94.19,423.19,5.34
hsa-let-7d-5p,69.3,432.33,236.77,605.76,132.49,138.5,155.51,237.49,40.02,874.58,714.2,377.08,196.76,194.16,138.92,112.92,308.88,281.59,141.66,160.92,62.76,613.2,466.78,43.48,16.37,143.73,404.01,1044.92,450.6,329.45,1163.12,207.42,55.29,305.47,481.62,8.69,99.67,184.29,111.93,89.29,130.09,242.94,184.38,301.98,61.48,120.6,69.43,230.13,218.13,202.28,172.93,256.43,271.03,259.71,175.7,105.6,97.69,216.97,508.89,100.28,75.08,195.05,166.04,325.94,311.46,15.38,100.87,159.19,222.52,62.44,130.12,203.37,91.75,216.97,127.37,133.63,273.04,21.06,40.59,61.28,1786.75,2149.96,937.21,1564.27,5211.92,1484.78,1888.29,4091.01,793.4,656.92,90.58,142.27,224.4,167.71,363.43,223.17,695.86,30.33,89.11,264.22,623.34,418.98,296.25,105.49,347.03,197.4,131.59,208.68,29.25,558.38,1397.33,670.97,1467.09,323.85,2152.22,1769.01,1586.98,809.97,1452.04,193.42,53.33,2342.21,657.64,452.97,2436.64,2584.93,2653.53,1770.23,651.47,267.86,426.9,431.86,1738.7,1086.89,2017.58,978.08,3134.24,122.86,259.92,1992.98,367.97,597.69,411.66,159.88,945.01,710.65,201.6,587.13,2318.3,2048.07,1393.92,689.56,1160.91,316.99,1476.41,1089.04,61.96
hsa-let-7e-3p,1.54,5.27,6.3,6.03,0.99,0.98,1.41,4.65,0.76,12.59,4.3,5.57,2.89,3.1,4.15,1.0,14.6,5.79,1.3,2.48,0.51,25.69,19.0,3.44,0.84,0.35,6.69,9.28,24.11,11.65,6.04,2.22,1.07,12.41,1.47,0.07,3.78,1.63,0.57,2.37,0.73,2.54,3.46,3.47,0.16,0.63,1.42,5.53,4.7,3.44,6.91,3.74,8.15,5.18,8.67,0.61,2.4,2.97,1.58,2.46,2.33,1.48,3.24,1.62,6.43,0.0,1.71,2.99,5.09,0.57,0.89,4.92,4.97,2.25,2.71,4.16,2.6,1.14,0.76,1.93,12.59,4.04,5.14,22.8,10.2,0.31,14.47,15.54,0.19,4.6,1.75,5.3,12.18,5.17,1.11,3.09,5.48,0.87,14.61,6.82,5.35,2.53,2.72,1.69,5.67,14.73,0.82,1.15,0.0,2.64,2.15,4.11,3.28,2.46,5.81,2.72,7.1,7.92,1.9,2.34,2.53,9.56,0.82,1.83,50.09,5.52,11.91,9.47,1.24,3.01,2.22,1.35,3.04,5.67,2.05,2.59,4.6,1.2,2.0,14.3,0.56,2.07,2.34,0.41,6.83,1.87,4.84,3.83,35.15,10.95,20.63,2.43,5.76,1.79,4.73,7.35,2.48
