miRNA,SRR29300460,SRR29300461,SRR29300462,SRR29300463,SRR29300464,SRR29300465,SRR29300466,SRR29300467,SRR29300468,SRR29300469,SRR29300470,SRR29300471,SRR29300472,SRR29300473,SRR29300474,SRR29300475,SRR29300476,SRR29300477,SRR29300478,SRR29300479,SRR29300480,SRR29300481,SRR29300482,SRR29300483,SRR29300484,SRR29300485,SRR29300486,SRR29300487
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-3p,0.0,424.16,0.0,306.48,661.55,0.0,243.92,392.97,3.78,0.0,1.86,1.35,0.91,1.29,3.49,0.0,687.23,0.0,56.84,303.71,0.98,1.98,748.79,1.88,4.72,0.0,344.87,0.0
hsa-let-7a-5p,2848.74,3476.16,2415.13,1760.61,4354.42,1149.56,4915.92,2351.17,3167.19,4412.41,903.56,3195.55,5384.01,1782.18,1022.86,1186.29,1140.56,386.87,14866.84,615.8,1881.14,563.01,1174.93,78.94,413.3,1354.99,1858.31,1152.35
hsa-let-7b-3p,0.0,0.0,1.8,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.37,0.0,0.98,1.98,0.0,0.0,2.36,0.0,5.7,0.0
hsa-let-7b-5p,12998.2,13174.34,5557.5,9671.87,10563.03,6644.46,18935.4,6109.6,13463.85,19236.29,12937.47,13300.87,19722.85,8765.59,2841.65,5686.51,5044.49,4816.77,14495.02,9957.5,17567.77,10927.23,7067.83,6664.42,9562.56,16160.89,5714.6,3854.66
hsa-let-7c-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.62,0.0
hsa-let-7c-5p,7405.16,7953.72,1438.31,5805.99,5643.35,2731.9,11965.15,5537.4,10019.04,8607.22,11009.75,6384.37,7540.34,6544.94,3428.14,2675.28,2801.96,2458.69,32112.61,5110.71,8094.49,3760.7,4559.69,1589.99,3011.18,5474.95,3115.24,1258.72
hsa-let-7d-3p,5600.87,4802.85,1942.88,5271.31,10000.87,8627.11,5830.07,4172.64,5983.09,4992.67,1432.34,3055.44,7197.18,2056.06,925.11,9054.67,7192.98,1395.86,3617.54,5383.0,6454.25,9430.48,7411.78,3386.72,2824.61,7210.48,3405.96,7876.47
hsa-let-7d-5p,18.28,1017.34,16.16,5.73,655.34,1319.97,527.55,847.01,30.22,667.91,1174.45,1046.77,1205.14,101.58,342.12,108.48,207.37,103.45,7001.8,603.23,21.54,13.88,54.79,15.04,18.89,26.4,51.3,17.73
hsa-let-7e-3p,0.0,1170.41,163.4,0.0,841.69,1.35,541.95,829.75,1.89,423.11,0.0,224.98,409.6,1275.56,132.66,1.75,2604.23,304.68,291.3,0.0,793.19,787.03,782.27,1.88,281.04,2083.08,11.4,2.53
