miRNA,SRR29397945,SRR29397946,SRR29397947,SRR29397948,SRR29397949,SRR29397950,SRR29397951,SRR29397952,SRR29397953,SRR29397954,SRR29397955,SRR29397956,SRR29397957,SRR29397958,SRR29397959,SRR29397960,SRR29397961,SRR29397962,SRR29397963,SRR29397964,SRR29397965,SRR29397966,SRR29397967,SRR29397968,SRR29397969,SRR29397970,SRR29397971,SRR29397972,SRR29397973,SRR29397974,SRR29397975,SRR29397976,SRR29397977,SRR29397978,SRR29397979,SRR29397980,SRR29397981,SRR29397982,SRR29397983,SRR29397984,SRR29397985,SRR29397986,SRR29397987,SRR29397988,SRR29397989,SRR29397990,SRR29397991,SRR29397992,SRR29397993,SRR29397994,SRR29397995,SRR29397996,SRR29397997,SRR29397998,SRR29397999,SRR29398000,SRR29398001,SRR29398002,SRR29398003,SRR29398004,SRR29398005,SRR29398006,SRR29398007,SRR29398008,SRR29398009,SRR29398010,SRR29398011,SRR29398012,SRR29398013,SRR29398014,SRR29398015,SRR29398016,SRR29398017,SRR29398018,SRR29398019,SRR29398020,SRR29398021,SRR29398022,SRR29398023,SRR29398024,SRR29398025,SRR29398026,SRR29398027,SRR29398028,SRR29398029,SRR29398030,SRR29398031,SRR29398032,SRR29398033,SRR29398034,SRR29398035,SRR29398036,SRR29398037,SRR29398038,SRR29398039,SRR29398040,SRR29398041,SRR29398042,SRR29398043,SRR29398044
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-3p,15.52,24.87,13.38,2.52,7.08,15.43,0.0,15.18,23.47,0.0,20.32,0.0,8.91,21.18,16.36,24.43,0.0,2.43,27.78,1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.34,0.0,0.0,2.92,26.39,7.57,9.76,11.57,12.66,14.92,16.72,12.25,13.13,16.74,4.61,10.23,5.11,12.53,12.39,10.82,4.85,21.02,0.0,10.13,5.96,1.51,16.42,2.37,15.24,5.55,0.0,1.03,2.17,0.0,1.27,19.93,17.62,0.0,7.38,5.76,3.36,5.73,6.94,2.99,5.94,19.24,14.01,22.37,23.41,15.98,13.78,0.0,25.93,14.05,18.47,7.78,23.67,11.98,17.62,2.48,8.53,1.29,14.31,8.42,3.82,5.86,13.45,0.0,4.63,1.69,12.17
hsa-let-7a-5p,414.5,486.18,162.45,143.08,48.18,734.92,2.52,443.36,1229.8,0.0,963.61,1067.67,173.66,565.23,264.11,527.02,136.62,841.08,612.52,578.36,566.68,632.04,559.37,492.64,5349.42,386.6,2285.98,2563.07,2044.91,900.89,1133.74,94.61,174.92,1118.55,525.97,302.92,427.1,733.86,958.6,571.54,816.9,1004.23,368.43,179.87,534.23,616.75,531.37,671.94,689.76,322.46,555.73,131.83,625.21,651.06,502.83,1137.8,1087.5,352.68,1356.76,0.0,158.72,156.54,103.62,49.41,353.15,454.94,153.02,99.61,540.87,63.81,422.32,103.65,117.65,216.19,1079.44,458.05,548.59,567.41,1264.93,634.66,0.0,675.39,1160.3,1094.51,196.67,815.34,317.97,210.7,134.04,184.89,88.9,182.41,185.57,420.61,315.58,740.9,248.33,725.8,99.88,785.57
hsa-let-7b-3p,18.24,20.06,13.38,4.21,1.42,26.9,0.0,25.12,51.33,0.0,18.63,0.0,0.0,14.44,14.02,20.94,0.0,3.64,11.71,7.37,3.24,6.02,0.0,0.0,3.75,0.0,3.04,9.45,0.0,4.68,0.0,0.0,0.0,2.36,2.84,6.01,2.12,4.57,13.07,8.68,4.92,5.9,15.03,13.26,8.72,9.47,14.5,6.79,4.22,7.27,3.66,0.0,1.88,0.95,0.0,3.73,1.58,3.11,1.85,0.0,3.09,0.0,0.0,0.0,19.8,22.5,4.64,1.84,8.19,2.24,7.37,3.9,1.79,2.97,14.96,19.36,11.08,12.86,18.28,7.43,0.0,15.88,22.61,28.84,1.41,13.02,5.13,5.87,0.62,7.4,0.0,7.15,1.6,0.0,3.96,3.5,0.0,4.63,0.0,0.58
hsa-let-7b-5p,2738.49,1032.54,495.01,621.15,408.08,2126.15,128.76,1979.1,1416.07,46.45,1370.05,1837.02,779.22,1214.23,1142.93,910.95,493.36,2472.27,1501.85,1613.52,1120.4,4132.32,3194.88,2390.6,14873.41,1861.2,8035.92,5352.85,7387.71,3360.21,3783.91,2317.88,2220.76,4143.91,2929.04,4629.07,2311.79,2970.42,2225.66,1579.07,2159.28,3137.39,1472.18,699.87,2096.77,1450.26,1487.3,2684.13,1985.87,1292.25,1676.79,643.43,1696.61,1235.08,1455.63,3055.78,2551.99,1244.94,3696.64,41.6,767.84,893.59,681.25,553.67,1069.43,918.63,783.64,618.9,2617.04,198.52,1396.28,581.15,1165.19,1156.16,3477.54,2059.17,1681.52,1281.03,2229.83,2342.03,0.0,1677.14,2214.89,1444.67,993.98,2443.65,1616.2,1249.53,992.88,921.59,306.64,1065.85,1466.9,2574.49,2154.25,3008.22,1994.36,2319.69,1199.44,5062.78
hsa-let-7c-3p,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.07,0.13,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.51,0.05,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.57,0.0,0.0,0.0,1.64,0.0,0.1,0.0,0.0,0.0,0.0
hsa-let-7c-5p,5.05,8.83,0.0,10.1,1.42,16.35,0.0,8.56,29.33,0.0,23.71,0.0,0.0,4.81,9.35,11.63,3.8,13.35,17.74,17.5,97.14,15.05,25.1,4.27,85.47,0.0,60.88,25.19,48.08,11.7,25.04,0.0,0.73,26.39,5.09,4.88,13.4,18.73,20.5,9.2,7.33,15.39,3.42,5.76,5.87,12.09,5.27,17.02,7.13,4.85,15.54,7.87,7.13,7.87,0.0,14.19,15.81,11.51,12.02,0.0,0.0,0.0,0.0,0.0,7.21,11.22,9.27,0.0,5.76,0.0,4.91,2.39,3.58,17.32,34.2,9.17,4.9,6.63,42.29,17.24,0.0,13.61,9.17,13.16,7.78,13.19,1.37,0.73,4.96,19.34,1.29,7.15,5.61,19.67,10.17,19.42,8.91,20.21,0.42,4.06
hsa-let-7d-3p,144.38,110.72,99.38,53.87,46.76,252.14,15.15,208.98,402.6,0.0,311.61,78.51,53.43,108.81,63.11,230.35,3.8,29.13,242.67,77.36,22.67,3.01,0.0,8.54,56.23,13.17,70.01,110.21,70.71,88.92,7.15,0.0,34.26,70.2,70.66,83.71,90.43,100.08,171.13,248.6,184.86,177.37,184.72,76.67,174.02,288.06,173.39,142.34,216.99,53.34,154.47,98.38,132.47,151.73,61.91,99.3,59.28,90.81,89.71,0.0,15.46,9.78,7.15,2.53,140.57,185.13,46.37,57.19,72.16,92.54,90.03,56.6,57.93,67.78,200.37,157.18,149.34,200.06,178.69,136.67,0.0,149.73,143.59,339.28,97.63,226.47,79.41,116.0,32.27,113.78,41.23,64.38,66.13,71.01,109.27,113.46,42.18,132.19,81.76,45.19
hsa-let-7d-5p,372.97,234.27,101.29,85.01,66.6,242.64,2.52,148.8,560.27,0.0,277.74,266.92,84.6,234.95,114.53,200.11,11.39,151.71,199.15,653.88,16.19,42.14,60.96,112.48,852.46,59.85,252.64,425.08,183.84,126.36,92.99,0.0,69.97,342.38,324.53,198.95,250.34,313.26,396.12,357.83,445.37,702.91,303.35,434.68,334.65,441.37,315.79,586.95,239.16,58.19,208.86,33.45,212.03,234.28,126.84,337.46,304.28,192.51,343.12,0.0,29.89,33.7,54.79,10.14,161.52,206.96,20.87,73.79,199.19,11.94,184.15,88.47,114.67,190.47,460.8,279.97,295.93,351.78,611.22,539.88,0.0,220.38,362.33,303.1,155.64,358.17,180.38,201.16,55.23,98.99,68.28,160.95,129.86,193.37,274.39,320.32,41.59,147.77,110.84,141.36
hsa-let-7e-3p,0.39,0.0,1.91,0.0,0.0,0.26,0.0,1.38,0.0,0.0,0.0,0.0,0.0,0.96,2.34,0.0,0.0,0.0,0.0,0.0,3.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.07,0.11,1.21,0.3,0.09,0.32,0.58,0.0,0.25,0.0,1.38,0.0,0.0,0.91,0.0,0.0,1.67,0.0,2.99,1.58,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.05,2.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.13,2.04,0.15,0.2,1.11,0.33,0.0,0.0,0.0,2.53,0.0,0.34,0.0,0.0,0.0,0.57,0.0,0.0,0.4,0.0,0.34,0.15,0.0,0.42,0.0,0.0
