miRNA,SRR29397945,SRR29397946,SRR29397947,SRR29397948,SRR29397949,SRR29397950,SRR29397951,SRR29397952,SRR29397953,SRR29397954,SRR29397955,SRR29397956,SRR29397957,SRR29397958,SRR29397959,SRR29397960,SRR29397961,SRR29397962,SRR29397963,SRR29397964,SRR29397965,SRR29397966,SRR29397967,SRR29397968,SRR29397969,SRR29397970,SRR29397971,SRR29397972,SRR29397973,SRR29397974,SRR29397975,SRR29397976,SRR29397977,SRR29397978,SRR29397979,SRR29397980,SRR29397981,SRR29397982,SRR29397983,SRR29397984,SRR29397985,SRR29397986,SRR29397987,SRR29397988,SRR29397989,SRR29397990,SRR29397991,SRR29397992,SRR29397993,SRR29397994,SRR29397995,SRR29397996,SRR29397997,SRR29397998,SRR29397999,SRR29398000,SRR29398001,SRR29398002,SRR29398003,SRR29398004,SRR29398005,SRR29398006,SRR29398007,SRR29398008,SRR29398009,SRR29398010,SRR29398011,SRR29398012,SRR29398013,SRR29398014,SRR29398015,SRR29398016,SRR29398017,SRR29398018,SRR29398019,SRR29398020,SRR29398021,SRR29398022,SRR29398023,SRR29398024,SRR29398025,SRR29398026,SRR29398027,SRR29398028,SRR29398029,SRR29398030,SRR29398031,SRR29398032,SRR29398033,SRR29398034,SRR29398035,SRR29398036,SRR29398037,SRR29398038,SRR29398039,SRR29398040,SRR29398041,SRR29398042,SRR29398043,SRR29398044
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-3p,40.0,31.0,7.0,3.0,5.0,117.0,0.0,55.0,32.0,0.0,12.0,0.0,2.0,22.0,7.0,21.0,0.0,2.0,83.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,168.0,64.0,26.0,164.0,169.0,275.0,289.0,371.0,605.0,313.0,8.0,68.0,41.0,19.0,126.0,41.0,2.0,46.0,0.0,27.0,25.0,1.0,22.0,3.0,49.0,6.0,0.0,1.0,2.0,0.0,1.0,329.0,369.0,0.0,8.0,19.0,9.0,7.0,32.0,5.0,12.0,256.0,55.0,868.0,233.0,173.0,586.0,0.0,80.0,23.0,73.0,11.0,280.0,35.0,24.0,4.0,15.0,1.0,4.0,21.0,7.0,34.0,277.0,0.0,11.0,4.0,21.0
hsa-let-7a-5p,1068.0,606.0,85.0,170.0,34.0,5573.0,1.0,1606.0,1677.0,0.0,569.0,68.0,39.0,587.0,113.0,453.0,36.0,693.0,1830.0,1256.0,175.0,210.0,156.0,346.0,7135.0,323.0,751.0,814.0,723.0,385.0,317.0,2.0,240.0,7122.0,4444.0,807.0,6055.0,9797.0,17673.0,9879.0,24738.0,46268.0,6889.0,312.0,3552.0,4948.0,806.0,6831.0,2613.0,133.0,1216.0,67.0,1666.0,2729.0,333.0,1524.0,1376.0,1134.0,1467.0,0.0,154.0,144.0,87.0,39.0,5831.0,9525.0,66.0,108.0,1784.0,171.0,516.0,478.0,197.0,437.0,14362.0,1798.0,21291.0,5647.0,13698.0,26985.0,0.0,2084.0,1899.0,4326.0,278.0,9645.0,929.0,287.0,216.0,325.0,69.0,51.0,463.0,770.0,1831.0,15261.0,418.0,1724.0,237.0,1356.0
hsa-let-7b-3p,47.0,25.0,7.0,5.0,1.0,204.0,0.0,91.0,70.0,0.0,11.0,0.0,0.0,15.0,6.0,18.0,0.0,3.0,35.0,16.0,1.0,2.0,0.0,0.0,5.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,15.0,24.0,16.0,30.0,61.0,241.0,150.0,149.0,272.0,281.0,23.0,58.0,76.0,22.0,69.0,16.0,3.0,8.0,0.0,5.0,4.0,0.0,5.0,2.0,10.0,2.0,0.0,3.0,0.0,0.0,0.0,327.0,471.0,2.0,2.0,27.0,6.0,9.0,18.0,3.0,6.0,199.0,76.0,430.0,128.0,198.0,316.0,0.0,49.0,37.0,114.0,2.0,154.0,15.0,8.0,1.0,13.0,0.0,2.0,4.0,0.0,23.0,72.0,0.0,11.0,0.0,1.0
hsa-let-7b-5p,7056.0,1287.0,259.0,738.0,288.0,16123.0,51.0,7169.0,1931.0,7.0,809.0,117.0,175.0,1261.0,489.0,783.0,130.0,2037.0,4487.0,3504.0,346.0,1373.0,891.0,1679.0,19838.0,1555.0,2640.0,1700.0,2612.0,1436.0,1058.0,49.0,3047.0,26385.0,24748.0,12332.0,32774.0,39655.0,41033.0,27294.0,65389.0,144549.0,27527.0,1214.0,13941.0,11635.0,2256.0,27287.0,7523.0,533.0,3669.0,327.0,4521.0,5177.0,964.0,4093.0,3229.0,4003.0,3997.0,3.0,745.0,822.0,572.0,437.0,17658.0,19233.0,338.0,671.0,8632.0,532.0,1706.0,2680.0,1951.0,2337.0,46269.0,8083.0,65260.0,12749.0,24147.0,99581.0,0.0,5175.0,3625.0,5710.0,1405.0,28907.0,4722.0,1702.0,1600.0,1620.0,238.0,298.0,3660.0,4713.0,12499.0,61963.0,3357.0,5510.0,2846.0,8739.0
hsa-let-7c-3p,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0
hsa-let-7c-5p,13.0,11.0,0.0,12.0,1.0,124.0,0.0,31.0,40.0,0.0,14.0,0.0,0.0,5.0,4.0,10.0,1.0,11.0,53.0,38.0,30.0,5.0,7.0,3.0,114.0,0.0,20.0,8.0,17.0,5.0,7.0,0.0,1.0,168.0,43.0,13.0,190.0,250.0,378.0,159.0,222.0,709.0,64.0,10.0,39.0,97.0,8.0,173.0,27.0,2.0,34.0,4.0,19.0,33.0,0.0,19.0,20.0,37.0,13.0,0.0,0.0,0.0,0.0,0.0,119.0,235.0,4.0,0.0,19.0,0.0,6.0,11.0,6.0,35.0,455.0,36.0,190.0,66.0,458.0,733.0,0.0,42.0,15.0,52.0,11.0,156.0,4.0,1.0,8.0,34.0,1.0,2.0,14.0,36.0,59.0,400.0,15.0,48.0,1.0,7.0
hsa-let-7d-3p,372.0,138.0,52.0,64.0,33.0,1912.0,6.0,757.0,549.0,0.0,184.0,5.0,12.0,113.0,27.0,198.0,1.0,24.0,725.0,168.0,7.0,1.0,0.0,6.0,75.0,11.0,23.0,35.0,25.0,38.0,2.0,0.0,47.0,447.0,597.0,223.0,1282.0,1336.0,3155.0,4297.0,5598.0,8172.0,3454.0,133.0,1157.0,2311.0,263.0,1447.0,822.0,22.0,338.0,50.0,353.0,636.0,41.0,133.0,75.0,292.0,97.0,0.0,15.0,9.0,6.0,2.0,2321.0,3876.0,20.0,62.0,238.0,248.0,110.0,261.0,97.0,137.0,2666.0,617.0,5796.0,1991.0,1935.0,5811.0,0.0,462.0,235.0,1341.0,138.0,2679.0,232.0,158.0,52.0,200.0,32.0,18.0,165.0,130.0,634.0,2337.0,71.0,314.0,194.0,78.0
hsa-let-7d-5p,961.0,292.0,53.0,101.0,47.0,1840.0,1.0,539.0,764.0,0.0,164.0,17.0,19.0,244.0,49.0,172.0,3.0,125.0,595.0,1420.0,5.0,14.0,17.0,79.0,1137.0,50.0,83.0,135.0,65.0,54.0,26.0,0.0,96.0,2180.0,2742.0,530.0,3549.0,4182.0,7303.0,6185.0,13487.0,32385.0,5672.0,754.0,2225.0,3541.0,479.0,5967.0,906.0,24.0,457.0,17.0,565.0,982.0,84.0,452.0,385.0,619.0,371.0,0.0,29.0,31.0,46.0,8.0,2667.0,4333.0,9.0,80.0,657.0,32.0,225.0,408.0,192.0,385.0,6131.0,1099.0,11485.0,3501.0,6619.0,22955.0,0.0,680.0,593.0,1198.0,220.0,4237.0,527.0,274.0,89.0,174.0,53.0,45.0,324.0,354.0,1592.0,6598.0,70.0,351.0,263.0,244.0
hsa-let-7e-3p,1.0,0.0,1.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,21.0,9.0,4.0,6.0,1.0,0.0,2.0,0.0,14.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,8.0,6.0,2.0,12.0,14.0,0.0,0.0,0.0,10.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0
