miRNA,SRR29398645,SRR29398646,SRR29398647,SRR29398648,SRR29398649,SRR29398650,SRR29398651,SRR29398652,SRR29398653,SRR29398654,SRR29398655,SRR29398656,SRR29398657,SRR29398658,SRR29398659,SRR29398660,SRR29398661,SRR29398662,SRR29398663,SRR29398664,SRR29398665,SRR29398666,SRR29398667,SRR29398668,SRR29398669,SRR29398670,SRR29398671,SRR29398672,SRR29398673,SRR29398674,SRR29398675,SRR29398676,SRR29398677,SRR29398678,SRR29398679,SRR29398680,SRR29398681,SRR29398682,SRR29398683,SRR29398684,SRR29398685,SRR29398686,SRR29398687,SRR29398688,SRR29398689,SRR29398690,SRR29398691,SRR29398692,SRR29398693,SRR29398694,SRR29398695,SRR29398696,SRR29398697,SRR29398698,SRR29398699,SRR29398700,SRR29398701,SRR29398702,SRR29398703,SRR29398704,SRR29398705,SRR29398706,SRR29398707,SRR29398708,SRR29398709,SRR29398710,SRR29398711,SRR29398712,SRR29398713,SRR29398714,SRR29398715,SRR29398716,SRR29398717,SRR29398718,SRR29398719,SRR29398720,SRR29398721,SRR29398722,SRR29398723,SRR29398724,SRR29398725,SRR29398726,SRR29398727,SRR29398728,SRR29398729,SRR29398730,SRR29398731,SRR29398732,SRR29398733,SRR29398734,SRR29398735,SRR29398736,SRR29398737,SRR29398738,SRR29398739,SRR29398740,SRR29398741,SRR29398742,SRR29398743
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-3p,5.0,0.0,17.0,1.0,19.0,10.0,3.0,1.0,4.0,0.0,4.0,2.0,9.0,11.0,7.0,0.0,0.0,0.0,91.0,16.0,23.0,1.0,0.0,166.0,48.0,540.0,40.0,29.0,238.0,72.0,8.0,8.0,6.0,5.0,37.0,0.0,0.0,0.0,1.0,8.0,4.0,5.0,3.0,4.0,2.0,0.0,0.0,1.0,14.0,1.0,2.0,1.0,51.0,42.0,67.0,271.0,90.0,69.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,0.0,4.0,13.0,13.0,52.0,3.0,36.0,0.0,56.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,6.0,0.0,13.0,0.0,0.0,0.0
hsa-let-7a-5p,316.0,14.0,349.0,137.0,119.0,53.0,127.0,86.0,257.0,30.0,134.0,88.0,308.0,466.0,267.0,183.0,0.0,32.0,154.0,552.0,1403.0,15.0,132.0,5852.0,1432.0,6328.0,490.0,276.0,10355.0,710.0,686.0,312.0,672.0,11.0,4453.0,0.0,0.0,1274.0,96.0,894.0,255.0,102.0,193.0,144.0,73.0,8.0,39.0,4.0,149.0,106.0,197.0,11.0,1803.0,1024.0,2231.0,16655.0,129.0,778.0,45.0,35.0,16.0,8.0,301.0,74.0,86.0,22.0,103.0,388.0,89.0,29.0,59.0,146.0,5.0,25.0,272.0,1228.0,56.0,390.0,60.0,259.0,0.0,246.0,15.0,0.0,428.0,45.0,91.0,16.0,2245.0,1086.0,11.0,38.0,14.0,22.0,29.0,7193.0,0.0,0.0,14.0
hsa-let-7b-3p,8.0,0.0,5.0,12.0,17.0,3.0,5.0,11.0,4.0,0.0,13.0,13.0,2.0,16.0,7.0,1.0,0.0,0.0,75.0,10.0,9.0,0.0,0.0,128.0,48.0,296.0,70.0,8.0,101.0,80.0,45.0,23.0,10.0,2.0,79.0,0.0,0.0,0.0,0.0,4.0,27.0,15.0,0.0,12.0,1.0,0.0,5.0,0.0,14.0,0.0,0.0,2.0,61.0,46.0,116.0,387.0,12.0,41.0,3.0,0.0,0.0,0.0,40.0,15.0,0.0,0.0,11.0,11.0,1.0,0.0,2.0,0.0,0.0,2.0,6.0,9.0,3.0,17.0,5.0,13.0,0.0,35.0,0.0,0.0,12.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,11.0,4.0,0.0,18.0,0.0,0.0,0.0
hsa-let-7b-5p,971.0,47.0,1635.0,715.0,395.0,306.0,532.0,246.0,835.0,141.0,618.0,453.0,675.0,1339.0,621.0,791.0,0.0,877.0,295.0,1667.0,1354.0,80.0,485.0,8803.0,1970.0,21804.0,1791.0,591.0,6267.0,1644.0,1741.0,1214.0,865.0,74.0,4751.0,6.0,472.0,8899.0,339.0,3856.0,1105.0,483.0,595.0,549.0,341.0,41.0,219.0,29.0,275.0,999.0,559.0,37.0,4683.0,3075.0,3770.0,24897.0,1281.0,4377.0,178.0,86.0,35.0,26.0,4407.0,1342.0,929.0,59.0,465.0,1418.0,345.0,122.0,502.0,783.0,31.0,226.0,932.0,3868.0,323.0,1909.0,190.0,956.0,1.0,658.0,66.0,51.0,1367.0,30.0,170.0,143.0,6242.0,7282.0,111.0,369.0,447.0,108.0,199.0,14685.0,277.0,0.0,14.0
hsa-let-7c-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7c-5p,5.0,0.0,0.0,3.0,1.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,2.0,14.0,1.0,4.0,0.0,1.0,0.0,2.0,11.0,0.0,6.0,71.0,10.0,11.0,10.0,6.0,45.0,6.0,10.0,10.0,1.0,1.0,71.0,0.0,0.0,115.0,4.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,12.0,13.0,13.0,49.0,46.0,14.0,0.0,36.0,0.0,0.0,34.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,7.0,19.0,0.0,9.0,3.0,6.0,0.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,27.0,2.0,13.0,0.0,0.0,0.0,0.0,155.0,0.0,0.0,0.0
hsa-let-7d-3p,120.0,3.0,54.0,111.0,153.0,28.0,31.0,6.0,33.0,11.0,72.0,36.0,40.0,125.0,35.0,6.0,0.0,0.0,0.0,68.0,163.0,3.0,23.0,742.0,348.0,3066.0,363.0,100.0,973.0,419.0,154.0,133.0,63.0,14.0,289.0,0.0,0.0,0.0,15.0,109.0,107.0,17.0,36.0,50.0,31.0,3.0,2.0,0.0,104.0,19.0,18.0,1.0,422.0,283.0,590.0,1798.0,193.0,257.0,20.0,7.0,0.0,11.0,65.0,30.0,0.0,3.0,16.0,36.0,9.0,1.0,9.0,6.0,1.0,4.0,41.0,116.0,45.0,127.0,5.0,137.0,0.0,175.0,2.0,0.0,80.0,0.0,18.0,0.0,94.0,26.0,0.0,1.0,0.0,26.0,1.0,60.0,0.0,0.0,0.0
hsa-let-7d-5p,325.0,3.0,234.0,218.0,121.0,61.0,62.0,25.0,101.0,39.0,113.0,116.0,185.0,366.0,77.0,105.0,0.0,123.0,213.0,318.0,737.0,7.0,52.0,5630.0,1584.0,8938.0,748.0,385.0,6068.0,1565.0,1330.0,754.0,392.0,18.0,2227.0,0.0,0.0,1527.0,16.0,598.0,125.0,21.0,138.0,181.0,97.0,3.0,38.0,3.0,369.0,51.0,88.0,19.0,1393.0,1209.0,1344.0,6403.0,251.0,900.0,32.0,12.0,5.0,8.0,184.0,48.0,114.0,7.0,8.0,199.0,119.0,12.0,91.0,86.0,5.0,9.0,256.0,1269.0,66.0,489.0,27.0,391.0,0.0,192.0,10.0,0.0,425.0,0.0,75.0,39.0,1481.0,903.0,15.0,84.0,31.0,41.0,24.0,2921.0,0.0,0.0,0.0
hsa-let-7e-3p,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,5.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
