miRNA,SRR29398503,SRR29398504,SRR29398505,SRR29398506,SRR29398507,SRR29398508,SRR29398509,SRR29398510,SRR29398511,SRR29398512,SRR29398513,SRR29398514,SRR29398515,SRR29398516,SRR29398517,SRR29398518,SRR29398519,SRR29398520,SRR29398521,SRR29398522,SRR29398523,SRR29398524,SRR29398525,SRR29398526,SRR29398527,SRR29398528,SRR29398529,SRR29398530,SRR29398531,SRR29398532,SRR29398533,SRR29398534,SRR29398535,SRR29398536,SRR29398537,SRR29398538,SRR29398539,SRR29398540,SRR29398541,SRR29398542,SRR29398543,SRR29398544,SRR29398545,SRR29398546,SRR29398547,SRR29398548,SRR29398549,SRR29398550,SRR29398551,SRR29398552,SRR29398553,SRR29398554,SRR29398555,SRR29398556,SRR29398557,SRR29398558,SRR29398559,SRR29398560,SRR29398561,SRR29398562,SRR29398563,SRR29398564,SRR29398565,SRR29398566,SRR29398567,SRR29398568,SRR29398569,SRR29398570,SRR29398571,SRR29398572,SRR29398573,SRR29398574,SRR29398575,SRR29398576,SRR29398577,SRR29398578,SRR29398579,SRR29398580,SRR29398581,SRR29398582,SRR29398583,SRR29398584,SRR29398585,SRR29398586,SRR29398587,SRR29398588,SRR29398589,SRR29398590,SRR29398591,SRR29398592,SRR29398593,SRR29398594,SRR29398595,SRR29398596,SRR29398597,SRR29398598,SRR29398599,SRR29398600,SRR29398601,SRR29398602,SRR29398603,SRR29398604,SRR29398605,SRR29398606,SRR29398607,SRR29398608,SRR29398609,SRR29398610,SRR29398611,SRR29398612,SRR29398613,SRR29398614,SRR29398615,SRR29398616,SRR29398617,SRR29398618,SRR29398619,SRR29398620,SRR29398621,SRR29398622
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-3p,0.0,0.0,16.0,0.0,108.0,23.0,1.0,6.0,24.0,7.0,0.0,0.0,36.0,7.0,5.0,0.0,0.0,0.0,2.0,0.0,22.0,8.0,69.0,0.0,24.0,1.0,72.0,0.0,154.0,0.0,12.0,7.0,0.0,0.0,6.0,27.0,0.0,0.0,8.0,21.0,64.0,31.0,150.0,374.0,8.0,43.0,71.0,118.0,1.0,48.0,35.0,37.0,154.0,28.0,81.0,54.0,23.0,268.0,117.0,477.0,37.0,57.0,21.0,79.0,7.0,37.0,207.0,6.0,14.0,15.0,26.0,0.0,17.0,7.0,3.0,0.0,1.0,0.0,2.0,28.0,20.0,0.0,62.0,8.0,2.0,0.0,0.0,33.0,0.0,10.0,7.0,4.0,27.0,17.0,5.0,28.0,50.0,25.0,76.0,25.0,48.0,77.0,63.0,18.0,24.0,7.0,11.0,10.0,2.0,0.0,8.0,103.0,5.0,4.0,0.0,47.0,0.0,6.0,12.0,0.0
hsa-let-7a-5p,225.0,263.0,669.0,155.0,6232.0,602.0,861.0,189.0,1650.0,497.0,114.0,189.0,3780.0,506.0,89.0,133.0,280.0,140.0,120.0,28.0,5056.0,492.0,2454.0,101.0,725.0,113.0,1688.0,2.0,14511.0,9.0,663.0,186.0,26.0,30.0,132.0,1086.0,16.0,54.0,189.0,111.0,3578.0,1887.0,3186.0,16293.0,195.0,707.0,1250.0,5236.0,158.0,177.0,113.0,1253.0,4549.0,1084.0,4060.0,8773.0,1366.0,3260.0,6097.0,47954.0,831.0,1045.0,688.0,2179.0,55.0,807.0,8604.0,270.0,255.0,1934.0,1638.0,146.0,412.0,686.0,334.0,123.0,333.0,243.0,178.0,1389.0,206.0,400.0,2288.0,563.0,224.0,29.0,140.0,417.0,243.0,784.0,236.0,604.0,602.0,490.0,392.0,884.0,2716.0,1689.0,1159.0,320.0,1556.0,2026.0,3409.0,741.0,376.0,542.0,108.0,327.0,107.0,333.0,61.0,2188.0,86.0,59.0,22.0,1098.0,63.0,524.0,131.0,259.0
hsa-let-7b-3p,0.0,32.0,73.0,10.0,245.0,39.0,106.0,10.0,151.0,54.0,13.0,9.0,319.0,46.0,22.0,18.0,6.0,8.0,0.0,0.0,37.0,33.0,34.0,4.0,92.0,3.0,123.0,0.0,242.0,3.0,59.0,3.0,3.0,4.0,40.0,95.0,6.0,22.0,22.0,39.0,81.0,69.0,63.0,414.0,16.0,26.0,137.0,133.0,20.0,15.0,18.0,57.0,248.0,51.0,104.0,114.0,18.0,332.0,125.0,413.0,64.0,82.0,20.0,111.0,1.0,36.0,169.0,8.0,13.0,11.0,17.0,2.0,79.0,39.0,16.0,38.0,63.0,25.0,40.0,163.0,48.0,42.0,261.0,53.0,25.0,1.0,11.0,37.0,0.0,11.0,10.0,20.0,35.0,3.0,24.0,33.0,105.0,35.0,39.0,3.0,48.0,87.0,55.0,18.0,48.0,6.0,10.0,2.0,2.0,2.0,4.0,40.0,5.0,0.0,4.0,13.0,10.0,49.0,0.0,20.0
hsa-let-7b-5p,219.0,1636.0,6630.0,596.0,23205.0,2233.0,4705.0,855.0,8252.0,6781.0,814.0,980.0,30979.0,3898.0,617.0,1013.0,2145.0,1161.0,701.0,144.0,14406.0,1440.0,11344.0,670.0,5953.0,493.0,7593.0,10.0,31981.0,22.0,2523.0,560.0,84.0,191.0,839.0,8880.0,112.0,450.0,1676.0,686.0,31822.0,9650.0,16565.0,76444.0,1998.0,4657.0,12900.0,51454.0,2575.0,2124.0,2565.0,7341.0,17523.0,2892.0,15280.0,12441.0,7201.0,27927.0,21326.0,96470.0,4581.0,4744.0,5155.0,8974.0,584.0,6384.0,36520.0,4807.0,3715.0,4103.0,6387.0,566.0,3570.0,5224.0,2623.0,535.0,2362.0,1253.0,927.0,8125.0,1130.0,3965.0,12126.0,1991.0,969.0,130.0,254.0,2004.0,825.0,7637.0,2064.0,6573.0,5315.0,3515.0,3253.0,3178.0,18762.0,8896.0,23379.0,5253.0,10448.0,9642.0,24858.0,10625.0,6565.0,2394.0,1361.0,2178.0,1453.0,1164.0,452.0,15487.0,977.0,414.0,291.0,3228.0,237.0,2804.0,1113.0,1077.0
hsa-let-7c-3p,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7c-5p,0.0,0.0,10.0,1.0,46.0,0.0,22.0,6.0,3.0,10.0,23.0,0.0,42.0,0.0,0.0,0.0,21.0,7.0,1.0,0.0,19.0,12.0,22.0,0.0,38.0,3.0,76.0,0.0,79.0,0.0,14.0,3.0,0.0,0.0,10.0,6.0,0.0,1.0,10.0,1.0,35.0,121.0,74.0,129.0,15.0,14.0,67.0,83.0,10.0,2.0,4.0,18.0,70.0,21.0,199.0,135.0,25.0,47.0,118.0,373.0,17.0,31.0,30.0,25.0,0.0,34.0,76.0,29.0,0.0,20.0,9.0,0.0,14.0,6.0,2.0,9.0,2.0,12.0,0.0,15.0,2.0,2.0,1.0,1.0,17.0,1.0,0.0,26.0,0.0,4.0,7.0,7.0,6.0,10.0,1.0,19.0,111.0,24.0,54.0,7.0,25.0,30.0,29.0,4.0,2.0,1.0,10.0,1.0,0.0,0.0,2.0,13.0,2.0,3.0,10.0,45.0,24.0,32.0,1.0,0.0
hsa-let-7d-3p,0.0,97.0,390.0,4.0,1654.0,233.0,174.0,40.0,463.0,282.0,15.0,57.0,1109.0,134.0,45.0,37.0,24.0,17.0,38.0,6.0,505.0,163.0,777.0,51.0,379.0,52.0,574.0,0.0,1221.0,0.0,114.0,35.0,7.0,5.0,38.0,309.0,9.0,20.0,53.0,30.0,1137.0,632.0,1820.0,4830.0,161.0,210.0,798.0,1510.0,93.0,152.0,168.0,403.0,1239.0,324.0,381.0,1227.0,470.0,2289.0,1161.0,3744.0,303.0,380.0,146.0,652.0,46.0,211.0,2054.0,154.0,150.0,110.0,156.0,54.0,196.0,88.0,108.0,83.0,164.0,115.0,221.0,456.0,196.0,106.0,960.0,159.0,55.0,4.0,25.0,154.0,10.0,174.0,107.0,231.0,495.0,205.0,204.0,356.0,849.0,352.0,462.0,93.0,523.0,533.0,984.0,370.0,232.0,74.0,28.0,84.0,46.0,39.0,26.0,346.0,87.0,24.0,2.0,164.0,4.0,69.0,45.0,39.0
hsa-let-7d-5p,250.0,1141.0,2871.0,90.0,8433.0,2616.0,1626.0,421.0,3139.0,1051.0,253.0,273.0,7948.0,866.0,98.0,270.0,339.0,89.0,109.0,17.0,4611.0,385.0,3868.0,111.0,1468.0,587.0,2033.0,6.0,13329.0,33.0,1238.0,450.0,22.0,83.0,899.0,2943.0,52.0,234.0,31.0,93.0,4978.0,1909.0,5435.0,9981.0,224.0,869.0,1536.0,8347.0,215.0,558.0,362.0,1828.0,4048.0,1759.0,2889.0,4832.0,1559.0,2241.0,4192.0,22012.0,665.0,1053.0,704.0,1767.0,169.0,1307.0,11278.0,1192.0,799.0,1091.0,2706.0,27.0,919.0,1397.0,413.0,125.0,320.0,353.0,575.0,3367.0,1992.0,937.0,8532.0,2623.0,659.0,6.0,282.0,2989.0,193.0,822.0,300.0,329.0,1035.0,481.0,336.0,1680.0,2255.0,741.0,1962.0,701.0,1855.0,1754.0,6699.0,2438.0,1590.0,1196.0,242.0,752.0,229.0,245.0,59.0,2951.0,52.0,34.0,18.0,492.0,19.0,833.0,309.0,250.0
hsa-let-7e-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
