miRNA,SRR29398059,SRR29398060,SRR29398061,SRR29398062,SRR29398063,SRR29398064,SRR29398065,SRR29398066,SRR29398067,SRR29398068,SRR29398069,SRR29398070,SRR29398071,SRR29398072,SRR29398073,SRR29398074,SRR29398075,SRR29398076,SRR29398077,SRR29398078,SRR29398079,SRR29398080,SRR29398081,SRR29398082,SRR29398083,SRR29398084,SRR29398085,SRR29398086,SRR29398087,SRR29398088,SRR29398089,SRR29398090,SRR29398091,SRR29398092,SRR29398093,SRR29398094,SRR29398095,SRR29398096,SRR29398097,SRR29398098,SRR29398099,SRR29398100,SRR29398101,SRR29398102,SRR29398103,SRR29398104,SRR29398105,SRR29398106,SRR29398107,SRR29398108,SRR29398109,SRR29398110,SRR29398111,SRR29398112,SRR29398113,SRR29398114,SRR29398115,SRR29398116,SRR29398117,SRR29398118,SRR29398119,SRR29398120,SRR29398121,SRR29398122,SRR29398123,SRR29398124,SRR29398125,SRR29398126,SRR29398127,SRR29398128,SRR29398129,SRR29398130,SRR29398131,SRR29398132,SRR29398133,SRR29398134,SRR29398135,SRR29398136
hsa-let-7a-3p,27.48,0.0,0.0,8.98,14.26,9.09,2.29,14.83,10.74,3.03,9.48,0.0,4.81,9.56,0.0,4.26,2.84,1.93,3.54,8.64,2.83,0.0,0.0,3.9,0.0,0.0,2.03,3.19,4.54,0.0,0.0,7.17,20.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.96,9.3,0.0,14.28,0.0,0.0,13.78,1.07,7.49,16.52,27.2,15.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.89,4.72,0.0,4.06,2.56,0.0,2.89,0.0,0.0,0.0,0.0
hsa-let-7a-5p,3244.03,300.64,492.19,107.81,289.98,115.85,173.74,208.84,480.74,246.76,370.61,62.58,389.83,80.56,137.21,185.25,376.55,68.14,75.06,118.09,97.33,62.87,140.22,159.91,51.8,103.84,52.79,261.04,85.28,111.28,40.77,25.6,2482.26,130.67,149.84,712.34,279.23,44.48,304.15,98.62,516.32,363.13,239.85,70.93,1839.6,146.18,714.2,0.0,148.21,492.88,935.47,159.94,474.2,524.85,611.91,307.19,396.76,927.84,1653.18,151.98,222.5,87.49,0.0,488.45,898.72,0.0,0.0,202.76,125.66,75.23,433.43,21.31,129.05,800.42,840.46,1267.73,279.71,100.53
hsa-let-7b-3p,17.66,119.0,130.74,20.96,76.06,56.79,9.14,58.14,30.31,53.25,37.91,10.22,49.33,36.86,19.6,19.7,15.14,9.64,12.04,34.56,17.95,19.65,29.3,33.15,2.16,25.38,13.54,3.19,0.0,15.69,7.64,4.1,31.0,0.0,0.0,38.7,7.45,0.0,0.0,0.0,0.0,0.0,15.06,0.0,0.0,0.0,0.0,0.0,19.04,96.72,72.52,19.99,24.6,0.0,50.34,27.93,26.74,75.71,52.45,73.22,71.98,35.0,0.0,0.0,0.0,0.0,0.0,73.29,12.28,2.15,35.84,1.7,14.93,48.22,81.88,28.17,16.45,21.74
hsa-let-7b-5p,14795.35,1503.2,3591.45,877.46,1544.96,586.05,521.23,1798.85,2013.89,1935.15,1274.38,325.65,2206.61,1123.7,2171.26,979.5,763.98,422.97,863.18,1451.59,770.1,1033.42,2302.09,2311.35,579.56,1033.78,643.66,387.77,440.92,383.05,208.95,168.98,6071.76,1063.7,1889.35,6546.48,729.71,704.88,2727.23,1816.65,7096.26,2160.41,4451.77,1489.56,1801.16,7099.48,2704.2,809.65,588.76,3857.51,4996.4,928.22,1570.22,1734.28,1424.58,592.9,883.36,1769.65,5324.75,581.29,746.02,1347.4,1765.11,7071.79,7863.23,10508.89,2404.16,811.03,332.59,458.91,1002.11,69.05,556.72,1751.27,2374.48,2273.86,691.05,268.98
hsa-let-7c-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0
hsa-let-7c-5p,37.29,0.0,15.38,17.97,4.75,0.0,0.0,0.0,5.5,4.76,4.27,0.0,0.0,0.0,7.54,2.13,8.51,1.29,5.66,0.0,0.0,3.93,2.09,1.17,0.0,3.46,3.38,3.99,4.54,0.0,0.0,0.0,9.24,0.0,0.0,18.14,0.0,0.0,0.0,0.0,6.3,0.0,2.15,5.91,0.0,3.32,50.86,0.0,9.52,9.3,0.0,0.0,11.18,0.0,27.57,5.37,10.69,9.64,15.54,26.62,0.0,0.0,0.0,274.39,25.03,0.0,0.0,0.0,0.94,3.22,10.14,0.85,3.2,5.79,2.41,28.17,4.11,8.15
hsa-let-7d-3p,62.8,68.9,23.07,14.97,14.26,102.22,32.01,119.25,190.17,155.85,122.75,10.22,154.01,46.42,106.3,94.76,137.66,57.21,64.44,47.52,54.8,7.86,62.78,124.81,19.43,64.61,79.86,48.22,2.72,53.5,25.48,16.39,123.34,0.0,0.0,27.82,0.0,8.55,0.0,0.0,0.0,0.0,84.97,106.4,0.0,0.0,76.29,0.0,28.55,154.37,197.61,79.97,105.13,0.0,92.3,66.59,137.96,145.23,95.19,239.62,143.97,0.0,0.0,0.0,179.74,0.0,0.0,205.2,19.84,36.54,172.77,13.64,89.59,130.19,192.66,128.79,53.47,76.08
hsa-let-7d-5p,3399.06,181.64,76.9,107.81,76.06,88.59,50.29,37.38,384.31,115.16,307.1,7.66,73.39,17.75,95.75,135.21,245.51,62.35,77.18,59.04,41.58,23.58,108.83,123.25,16.19,25.38,85.96,161.01,37.2,75.61,7.64,22.53,1111.64,167.35,845.18,1101.76,0.0,73.57,0.0,173.58,850.04,583.2,388.28,0.0,0.0,358.79,690.89,0.0,33.99,340.37,591.01,68.55,290.78,332.15,320.64,143.93,309.07,404.73,1150.04,49.92,85.07,0.0,24.29,980.79,1244.56,777.18,1067.61,17.1,56.69,7.52,127.8,10.23,40.53,256.52,301.02,205.25,102.84,16.3
hsa-let-7e-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7e-5p,0.0,0.0,0.0,2.99,0.0,0.0,0.0,0.59,1.15,0.43,3.79,0.0,0.0,0.0,1.51,1.6,16.56,1.29,0.0,0.0,15.12,0.0,0.0,0.78,0.0,0.0,0.0,1.59,0.0,0.0,10.19,0.0,7.44,0.0,30.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.02,9.06,5.71,0.0,0.0,3.0,0.0,14.97,4.82,17.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.67,0.0,1.69,4.26,0.0,7.71,2.41,20.12,0.0,0.0
