miRNA,SRR29398059,SRR29398060,SRR29398061,SRR29398062,SRR29398063,SRR29398064,SRR29398065,SRR29398066,SRR29398067,SRR29398068,SRR29398069,SRR29398070,SRR29398071,SRR29398072,SRR29398073,SRR29398074,SRR29398075,SRR29398076,SRR29398077,SRR29398078,SRR29398079,SRR29398080,SRR29398081,SRR29398082,SRR29398083,SRR29398084,SRR29398085,SRR29398086,SRR29398087,SRR29398088,SRR29398089,SRR29398090,SRR29398091,SRR29398092,SRR29398093,SRR29398094,SRR29398095,SRR29398096,SRR29398097,SRR29398098,SRR29398099,SRR29398100,SRR29398101,SRR29398102,SRR29398103,SRR29398104,SRR29398105,SRR29398106,SRR29398107,SRR29398108,SRR29398109,SRR29398110,SRR29398111,SRR29398112,SRR29398113,SRR29398114,SRR29398115,SRR29398116,SRR29398117,SRR29398118,SRR29398119,SRR29398120,SRR29398121,SRR29398122,SRR29398123,SRR29398124,SRR29398125,SRR29398126,SRR29398127,SRR29398128,SRR29398129,SRR29398130,SRR29398131,SRR29398132,SRR29398133,SRR29398134,SRR29398135,SRR29398136
hsa-let-7a-3p,14.0,0.0,0.0,3.0,3.0,4.0,1.0,25.0,84.0,7.0,20.0,0.0,4.0,7.0,0.0,8.0,6.0,3.0,5.0,6.0,3.0,0.0,0.0,10.0,0.0,0.0,3.0,8.0,5.0,0.0,0.0,7.0,181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,5.0,0.0,5.0,0.0,0.0,23.0,1.0,7.0,24.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,12.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0
hsa-let-7a-5p,1653.0,48.0,64.0,36.0,61.0,51.0,76.0,352.0,3759.0,570.0,782.0,49.0,324.0,59.0,182.0,348.0,796.0,106.0,106.0,82.0,103.0,16.0,67.0,410.0,48.0,90.0,78.0,655.0,94.0,156.0,16.0,25.0,22017.0,57.0,128.0,589.0,75.0,26.0,60.0,50.0,82.0,99.0,223.0,12.0,335.0,44.0,337.0,0.0,109.0,265.0,516.0,56.0,212.0,207.0,1021.0,286.0,371.0,1348.0,851.0,137.0,34.0,5.0,0.0,251.0,395.0,0.0,0.0,83.0,133.0,70.0,1282.0,25.0,121.0,830.0,349.0,315.0,68.0,37.0
hsa-let-7b-3p,9.0,19.0,17.0,7.0,16.0,25.0,4.0,98.0,237.0,123.0,80.0,8.0,41.0,27.0,26.0,37.0,32.0,15.0,17.0,24.0,19.0,5.0,14.0,85.0,2.0,22.0,20.0,8.0,0.0,22.0,3.0,4.0,275.0,0.0,0.0,32.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,14.0,52.0,40.0,7.0,11.0,0.0,84.0,26.0,25.0,110.0,27.0,66.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,30.0,13.0,2.0,106.0,2.0,14.0,50.0,34.0,7.0,4.0,8.0
hsa-let-7b-5p,7539.0,240.0,467.0,293.0,325.0,258.0,228.0,3032.0,15747.0,4470.0,2689.0,255.0,1834.0,823.0,2880.0,1840.0,1615.0,658.0,1219.0,1008.0,815.0,263.0,1100.0,5926.0,537.0,896.0,951.0,973.0,486.0,537.0,82.0,165.0,53855.0,464.0,1614.0,5413.0,196.0,412.0,538.0,921.0,1127.0,589.0,4139.0,252.0,328.0,2137.0,1276.0,79.0,433.0,2074.0,2756.0,325.0,702.0,684.0,2377.0,552.0,826.0,2571.0,2741.0,524.0,114.0,77.0,436.0,3634.0,3456.0,311.0,295.0,332.0,352.0,427.0,2964.0,81.0,522.0,1816.0,986.0,565.0,168.0,99.0
hsa-let-7c-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-let-7c-5p,19.0,0.0,2.0,6.0,1.0,0.0,0.0,0.0,43.0,11.0,9.0,0.0,0.0,0.0,10.0,4.0,18.0,2.0,8.0,0.0,0.0,1.0,1.0,3.0,0.0,3.0,5.0,10.0,5.0,0.0,0.0,0.0,82.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,24.0,0.0,7.0,5.0,0.0,0.0,5.0,0.0,46.0,5.0,10.0,14.0,8.0,24.0,0.0,0.0,0.0,141.0,11.0,0.0,0.0,0.0,1.0,3.0,30.0,1.0,3.0,6.0,1.0,7.0,1.0,3.0
hsa-let-7d-3p,32.0,11.0,3.0,5.0,3.0,45.0,14.0,201.0,1487.0,360.0,259.0,8.0,128.0,34.0,141.0,178.0,291.0,89.0,91.0,33.0,58.0,2.0,30.0,320.0,18.0,56.0,118.0,121.0,3.0,75.0,10.0,16.0,1094.0,0.0,0.0,23.0,0.0,5.0,0.0,0.0,0.0,0.0,79.0,18.0,0.0,0.0,36.0,0.0,21.0,83.0,109.0,28.0,47.0,0.0,154.0,62.0,129.0,211.0,49.0,216.0,22.0,0.0,0.0,0.0,79.0,0.0,0.0,84.0,21.0,34.0,511.0,16.0,84.0,135.0,80.0,32.0,13.0,28.0
hsa-let-7d-5p,1732.0,29.0,10.0,36.0,16.0,39.0,22.0,63.0,3005.0,266.0,648.0,6.0,61.0,13.0,127.0,254.0,519.0,97.0,109.0,41.0,44.0,6.0,52.0,316.0,15.0,22.0,127.0,404.0,41.0,106.0,3.0,22.0,9860.0,73.0,722.0,911.0,0.0,43.0,0.0,88.0,135.0,159.0,361.0,0.0,0.0,108.0,326.0,0.0,25.0,183.0,326.0,24.0,130.0,131.0,535.0,134.0,289.0,588.0,592.0,45.0,13.0,0.0,6.0,504.0,547.0,23.0,131.0,7.0,60.0,7.0,378.0,12.0,38.0,266.0,125.0,51.0,25.0,6.0
hsa-let-7e-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7e-5p,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,9.0,1.0,8.0,0.0,0.0,0.0,2.0,3.0,35.0,2.0,0.0,0.0,16.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,66.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,2.0,0.0,0.0,5.0,0.0,14.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,5.0,5.0,0.0,8.0,1.0,5.0,0.0,0.0
