miRNA,SRR30020836,SRR30020837,SRR30020838,SRR30020839,SRR30020840,SRR30020841,SRR30020842,SRR30020843,SRR30020844,SRR30020845,SRR30020846,SRR30020847,SRR30020848,SRR30020849,SRR30020850,SRR30020851,SRR30020852,SRR30020853,SRR30020854,SRR30020855,SRR30020856,SRR30020857,SRR30020858,SRR30020859,SRR30020860,SRR30020861,SRR30020862,SRR30020863,SRR30020864,SRR30020865,SRR30020866,SRR30020867,SRR30020868,SRR30020869,SRR30020870,SRR30020871,SRR30020872,SRR30020873
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-5p,14.0,89.0,720.0,29.0,6.0,357.0,712.0,284.0,6608.0,490.0,145.0,2461.0,525.0,204.0,200.0,685.0,100.0,66.0,1657.0,1942.0,524.0,1350.0,1520.0,22.0,3.0,4.0,41.0,1031.0,94.0,45.0,208.0,83.0,1402.0,1023.0,112.0,455.0,76.0,791.0
hsa-let-7b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
hsa-let-7b-5p,474.0,8737.0,6670.0,1954.0,913.0,3419.0,9347.0,8309.0,39503.0,6240.0,3934.0,51095.0,7735.0,4872.0,6627.0,9036.0,2528.0,4333.0,13034.0,26326.0,16123.0,12029.0,28425.0,2447.0,298.0,129.0,1574.0,8847.0,1946.0,2014.0,7019.0,4023.0,21828.0,11465.0,4471.0,8762.0,4558.0,15251.0
hsa-let-7c-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7c-5p,1.0,229.0,51.0,69.0,14.0,19.0,21.0,1048.0,225.0,16.0,4.0,3487.0,69.0,5.0,773.0,28.0,4.0,146.0,107.0,187.0,38.0,83.0,125.0,143.0,13.0,6.0,57.0,87.0,12.0,67.0,372.0,148.0,139.0,114.0,164.0,21.0,266.0,43.0
hsa-let-7d-5p,0.0,8.0,5.0,0.0,0.0,0.0,0.0,11.0,17.0,0.0,0.0,55.0,0.0,3.0,7.0,14.0,0.0,11.0,4.0,29.0,6.0,26.0,17.0,0.0,0.0,0.0,0.0,8.0,0.0,17.0,13.0,1.0,13.0,12.0,0.0,1.0,5.0,7.0
hsa-let-7e-5p,0.0,0.0,23.0,0.0,1.0,0.0,8.0,26.0,76.0,5.0,0.0,77.0,4.0,2.0,7.0,4.0,3.0,2.0,43.0,22.0,5.0,25.0,9.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,25.0,1.0,19.0,1.0,9.0,5.0,1.0,3.0
hsa-let-7f-5p,8.0,109.0,122.0,26.0,21.0,56.0,97.0,117.0,553.0,99.0,51.0,1689.0,95.0,58.0,130.0,128.0,38.0,43.0,230.0,123.0,161.0,382.0,206.0,35.0,1.0,4.0,45.0,81.0,15.0,32.0,118.0,105.0,258.0,135.0,56.0,91.0,26.0,102.0
hsa-let-7g-5p,0.0,4.0,29.0,0.0,0.0,11.0,14.0,30.0,134.0,19.0,1.0,482.0,0.0,9.0,27.0,5.0,0.0,9.0,55.0,24.0,23.0,64.0,21.0,0.0,0.0,0.0,4.0,3.0,0.0,6.0,13.0,15.0,3.0,35.0,12.0,12.0,8.0,9.0
hsa-let-7i-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7i-5p,1.0,26.0,52.0,13.0,0.0,32.0,65.0,91.0,280.0,28.0,1.0,562.0,14.0,13.0,64.0,33.0,9.0,22.0,138.0,116.0,36.0,166.0,13.0,2.0,1.0,0.0,3.0,28.0,0.0,7.0,39.0,25.0,48.0,80.0,8.0,12.0,36.0,16.0
hsa-miR-1-3p,1.0,12.0,6.0,3.0,33.0,6.0,0.0,3.0,7.0,16.0,27.0,10.0,0.0,11.0,6.0,11.0,9.0,5.0,5.0,4.0,1.0,7.0,13.0,3.0,2.0,7.0,0.0,12.0,6.0,7.0,0.0,7.0,11.0,13.0,3.0,1.0,23.0,10.0
hsa-miR-100-5p,0.0,1.0,3.0,0.0,0.0,0.0,1.0,7.0,28.0,0.0,0.0,20.0,3.0,0.0,3.0,3.0,0.0,0.0,10.0,19.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,11.0,3.0,19.0,0.0,0.0,5.0,3.0
hsa-miR-101-3p,5.0,180.0,346.0,37.0,23.0,156.0,263.0,443.0,3189.0,375.0,141.0,8679.0,238.0,164.0,462.0,261.0,55.0,383.0,730.0,594.0,218.0,847.0,417.0,60.0,10.0,0.0,46.0,245.0,62.0,64.0,267.0,172.0,599.0,576.0,174.0,449.0,229.0,391.0
hsa-miR-10393-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10394-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
hsa-miR-10395-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10395-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0
hsa-miR-10396b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
hsa-miR-10397-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10399-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
hsa-miR-10399-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-103a-3p,138.0,1037.0,3693.0,410.0,214.0,1133.0,4591.0,4730.0,21494.0,2463.0,848.0,101017.0,1608.0,1283.0,5760.0,3058.0,1692.0,2562.0,17134.0,8990.0,1350.0,13424.0,2284.0,488.0,178.0,24.0,783.0,1767.0,263.0,792.0,4696.0,1948.0,3649.0,4590.0,1127.0,3120.0,1433.0,1686.0
hsa-miR-105-5p,0.0,0.0,1.0,0.0,0.0,5.0,4.0,16.0,6.0,0.0,6.0,14.0,0.0,0.0,1.0,11.0,0.0,0.0,7.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0
hsa-miR-10526-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-106b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-106b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-107,4.0,31.0,71.0,5.0,0.0,9.0,39.0,49.0,409.0,36.0,5.0,3186.0,16.0,5.0,86.0,48.0,22.0,52.0,329.0,109.0,9.0,383.0,28.0,11.0,0.0,0.0,19.0,30.0,0.0,13.0,58.0,36.0,68.0,60.0,29.0,77.0,44.0,9.0
hsa-miR-10a-3p,0.0,0.0,0.0,2.0,0.0,9.0,0.0,0.0,14.0,1.0,9.0,66.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,1.0,0.0,8.0,0.0,5.0
hsa-miR-10a-5p,37.0,305.0,326.0,52.0,21.0,111.0,400.0,101.0,1412.0,324.0,56.0,5796.0,528.0,317.0,114.0,484.0,153.0,382.0,677.0,1363.0,412.0,655.0,1553.0,104.0,27.0,25.0,124.0,157.0,83.0,137.0,454.0,300.0,884.0,454.0,227.0,701.0,108.0,337.0
hsa-miR-10b-3p,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,8.0,0.0,4.0,13.0,0.0,0.0,6.0,0.0,0.0,2.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-10b-5p,0.0,1.0,12.0,0.0,0.0,3.0,0.0,5.0,17.0,0.0,0.0,35.0,0.0,0.0,19.0,4.0,0.0,2.0,16.0,15.0,0.0,16.0,0.0,4.0,1.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,2.0,8.0,0.0,1.0,2.0,0.0
hsa-miR-1178-5p,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1179,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1180-3p,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1180-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1185-1-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-12113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-12127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-12133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-12136,0.0,9.0,17.0,7.0,0.0,0.0,5.0,0.0,2.0,0.0,14.0,25.0,12.0,2.0,0.0,3.0,2.0,4.0,0.0,20.0,84.0,9.0,0.0,32.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,3.0,54.0,0.0,8.0,7.0,12.0,7.0
hsa-miR-1224-5p,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1225-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1226-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1236-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-124-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1244,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,7.0,0.0,0.0
hsa-miR-1246,0.0,0.0,0.0,0.0,0.0,0.0,25.0,7.0,16.0,17.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,36.0,21.0,52.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0
hsa-miR-1247-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,5.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,5.0
hsa-miR-1248,9.0,2.0,7.0,0.0,0.0,0.0,9.0,0.0,44.0,0.0,0.0,111.0,0.0,0.0,4.0,2.0,0.0,0.0,16.0,6.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
hsa-miR-1255b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-125a-5p,5.0,65.0,167.0,12.0,24.0,76.0,186.0,228.0,323.0,99.0,51.0,712.0,111.0,47.0,220.0,87.0,32.0,67.0,186.0,441.0,55.0,167.0,145.0,33.0,10.0,0.0,20.0,109.0,22.0,8.0,116.0,64.0,131.0,252.0,44.0,61.0,153.0,92.0
