miRNA,SRR1054269,SRR1054270,SRR1054271,SRR1054272,SRR1054273,SRR1054274,SRR1054275,SRR1054276,SRR1054277,SRR1054278,SRR1054279,SRR1054280,SRR1054281,SRR1054282
hsa-let-7a-3p,7.0,1.0,13.0,7.0,13.0,2.0,6.0,7.0,9.0,11.0,14.0,6.0,26.0,7.0
hsa-let-7a-5p,77.0,200.0,205.0,548.0,186.0,633.0,589.0,196.0,175.0,159.0,188.0,97.0,186.0,93.0
hsa-let-7b-3p,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7b-5p,610.0,262.0,2265.0,928.0,1792.0,1844.0,1025.0,600.0,393.0,1069.0,511.0,542.0,1190.0,225.0
hsa-let-7c-3p,4.0,1.0,2.0,1.0,8.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0
hsa-let-7c-5p,32.0,47.0,125.0,84.0,660.0,121.0,102.0,67.0,61.0,113.0,45.0,152.0,81.0,27.0
hsa-let-7d-3p,69.0,69.0,227.0,166.0,353.0,390.0,184.0,40.0,13.0,24.0,60.0,115.0,156.0,58.0
hsa-let-7d-5p,26.0,26.0,94.0,42.0,73.0,68.0,67.0,36.0,31.0,38.0,20.0,22.0,49.0,8.0
hsa-let-7e-3p,0.0,0.0,2.0,2.0,2.0,0.0,2.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0
hsa-let-7e-5p,3.0,6.0,13.0,13.0,14.0,14.0,9.0,4.0,6.0,9.0,7.0,3.0,10.0,2.0
hsa-let-7f-1-3p,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0
hsa-let-7f-2-3p,0.0,0.0,4.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,3.0,3.0,4.0,1.0
hsa-let-7f-5p,39.0,32.0,129.0,60.0,106.0,83.0,100.0,37.0,36.0,69.0,47.0,48.0,79.0,32.0
hsa-let-7g-3p,2.0,3.0,5.0,1.0,8.0,2.0,4.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0
hsa-let-7g-5p,357.0,214.0,980.0,625.0,800.0,709.0,690.0,293.0,334.0,599.0,405.0,406.0,553.0,200.0
hsa-let-7i-3p,1.0,1.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-let-7i-5p,1473.0,931.0,4640.0,2775.0,3617.0,2973.0,3043.0,1762.0,1430.0,2333.0,1890.0,1670.0,2104.0,804.0
hsa-miR-1-3p,4.0,0.0,7.0,5.0,6.0,10.0,6.0,2.0,5.0,3.0,4.0,2.0,8.0,4.0
hsa-miR-100-5p,741.0,586.0,1310.0,1024.0,2099.0,912.0,1161.0,670.0,502.0,651.0,564.0,724.0,598.0,328.0
hsa-miR-101-3p,1072.0,916.0,3302.0,1902.0,2848.0,2280.0,3095.0,670.0,748.0,1212.0,1210.0,1724.0,1938.0,1061.0
