miRNA,GSM1410425,GSM1410426,GSM1410427,GSM1410428,GSM1410429,GSM1410430,GSM1410431,GSM1410432,GSM1410433,GSM1410434,GSM1410435,GSM1410436,GSM1410437,GSM1410438,GSM1410439,GSM1410440,GSM1410441,GSM1410442,GSM1410443,GSM1410444,GSM1410445,GSM1410446,GSM1410447
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.27,0.0,0.13,0.0,0.11,0.0,0.14,0.15,0.0,0.0,0.11,0.0,0.0,0.0,0.3,0.0
hsa-let-7a-3p,12.59,16.23,15.78,7.92,12.72,11.28,29.49,10.08,11.3,15.51,16.63,15.57,12.06,16.04,28.98,13.35,16.8,15.5,16.19,9.48,7.26,16.06,15.37
hsa-let-7a-5p,424.7,386.36,557.99,219.09,663.93,614.01,880.08,347.82,318.42,595.54,386.33,476.42,595.85,466.82,757.08,337.45,555.06,421.55,642.31,272.99,300.19,637.71,802.28
hsa-let-7b-3p,0.26,0.61,0.0,0.11,1.05,1.34,1.02,0.4,0.35,0.53,0.85,0.69,0.23,0.98,5.53,0.23,0.34,1.6,0.23,0.34,0.6,0.59,0.15
hsa-let-7b-5p,8171.95,8060.18,7966.93,6065.27,8401.09,8422.83,8570.45,6791.8,3665.18,4410.41,3480.84,3627.74,5833.52,4563.21,8185.4,4561.54,4982.34,4100.27,5717.3,5769.54,6183.85,6703.81,8187.81
hsa-let-7c-3p,4.8,6.66,5.45,2.23,5.47,6.36,9.05,6.85,2.68,3.98,3.28,3.32,4.57,3.24,6.55,4.11,5.68,3.96,4.16,2.93,4.84,7.29,7.01
hsa-let-7c-5p,566.14,487.37,551.86,242.3,638.16,675.19,727.81,402.51,363.72,433.57,289.56,369.6,537.53,377.34,539.92,370.66,416.21,476.83,663.01,324.56,329.83,631.31,754.68
hsa-let-7d-3p,371.24,362.01,351.22,241.97,254.89,310.91,463.84,370.53,187.28,280.47,210.16,215.83,332.12,261.12,464.76,225.04,264.87,241.09,355.44,269.49,257.05,493.75,547.58
hsa-let-7d-5p,137.67,128.99,148.75,79.8,141.11,160.43,216.08,106.84,117.05,148.85,116.31,145.76,172.62,142.1,237.26,119.94,146.91,140.37,203.04,97.5,94.35,165.97,225.15
hsa-let-7e-3p,11.16,11.14,12.38,7.81,7.99,12.28,19.42,11.96,9.32,13.92,7.77,10.53,16.28,9.85,15.73,9.81,10.44,10.58,17.34,8.58,9.07,17.85,23.57
