miRNA,SRR2927797,SRR2927798,SRR2927799,SRR2927800,SRR2927801,SRR2927802,SRR2927803,SRR2927804,SRR2927805,SRR2927806,SRR2927807,SRR2927808,SRR2927809,SRR2927810,SRR2927811,SRR2927812,SRR2927813,SRR3592837,SRR3592838,SRR3592839,SRR3592840,SRR3592841,SRR3592842,SRR3592843,SRR3592844,SRR3592845,SRR3592846,SRR3592847,SRR3592848,SRR3592849,SRR3592850,SRR3592851,SRR3592852,SRR3592853
hsa-let-7a-3p,9.7,2.98,1.85,7.66,6.9,1.8,2.42,6.87,2.49,1.68,3.76,0.86,9.39,0.57,2.94,6.36,3.25,3.96,6.53,0.0,10.77,12.14,4.14,0.0,6.22,0.0,1.83,3.62,0.0,12.39,0.0,1.32,8.47,6.5
hsa-let-7a-5p,2441.95,3194.55,3201.76,3278.58,2129.2,2852.16,3770.66,2733.41,3048.15,2028.37,1658.78,2265.98,2859.25,1369.03,2766.72,2241.75,1829.49,2288.85,2878.14,3097.8,3228.43,2148.11,2814.47,3543.55,2529.12,2922.51,1974.93,1700.34,2409.11,2703.14,1407.54,2606.2,2350.71,1767.2
hsa-let-7b-3p,0.45,1.6,0.0,0.89,0.0,0.9,1.7,1.63,0.33,0.0,0.14,0.64,1.0,0.0,1.04,0.45,2.25,1.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55,0.0,0.0,0.0,0.0
hsa-let-7b-5p,37.0,174.46,31.14,74.42,90.33,54.82,194.49,93.96,85.72,47.61,80.89,70.61,120.3,79.49,79.78,61.55,98.38,65.4,165.46,40.12,68.92,69.83,42.81,256.68,157.55,92.44,55.01,49.48,85.03,128.57,94.3,60.55,91.77,82.91
hsa-let-7c-5p,47.37,136.4,39.67,38.45,64.96,46.35,74.11,108.78,45.69,35.59,28.36,44.08,51.16,31.91,52.84,62.01,76.16,25.76,178.52,35.66,28.0,68.31,87.0,110.94,103.65,36.97,22.0,21.72,25.77,77.45,75.9,48.7,67.77,100.8
hsa-let-7d-3p,134.45,127.46,219.27,239.98,157.32,163.2,216.53,124.14,137.22,125.51,59.91,150.0,134.49,67.24,181.85,221.22,165.55,132.77,152.4,256.29,279.98,180.65,178.15,239.28,134.75,103.22,194.38,60.34,195.82,133.22,69.0,196.12,240.01,172.33
hsa-let-7d-5p,128.13,166.66,180.16,141.0,79.78,172.94,202.97,124.32,160.32,154.36,100.72,151.92,192.04,107.13,92.22,88.58,78.15,146.64,176.35,160.46,172.3,98.68,168.48,178.37,147.19,152.52,161.37,102.58,158.46,165.75,103.5,97.4,84.71,74.78
hsa-let-7e-3p,0.0,0.0,0.19,0.36,0.0,0.18,0.0,0.0,0.17,0.0,0.14,0.0,0.0,0.0,0.17,0.23,0.0,0.0,0.0,0.0,0.0,1.52,0.0,0.0,0.0,1.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7e-5p,14.21,16.73,12.6,20.65,7.92,14.79,31.97,16.99,18.77,4.81,8.1,10.06,13.39,8.55,19.86,7.72,7.24,15.85,17.42,11.14,17.23,6.07,12.43,28.28,29.02,18.49,3.67,3.62,5.15,15.49,6.9,13.16,8.47,6.5
hsa-let-7f-1-3p,1.58,1.15,0.74,5.52,1.22,1.62,1.45,1.08,1.66,0.96,0.72,0.0,1.4,0.28,1.9,2.73,2.75,3.96,2.18,4.46,4.31,0.0,0.0,2.18,0.0,7.7,0.0,0.0,1.29,0.0,0.0,2.63,1.41,3.25
