miRNA,SRR2927797,SRR2927798,SRR2927799,SRR2927800,SRR2927801,SRR2927802,SRR2927803,SRR2927804,SRR2927805,SRR2927806,SRR2927807,SRR2927808,SRR2927809,SRR2927810,SRR2927811,SRR2927812,SRR2927813,SRR3592837,SRR3592838,SRR3592839,SRR3592840,SRR3592841,SRR3592842,SRR3592843,SRR3592844,SRR3592845,SRR3592846,SRR3592847,SRR3592848,SRR3592849,SRR3592850,SRR3592851,SRR3592852,SRR3592853
hsa-let-7a-3p,43.0,13.0,10.0,43.0,34.0,10.0,10.0,38.0,15.0,7.0,26.0,4.0,47.0,2.0,17.0,28.0,13.0,2.0,3.0,0.0,5.0,8.0,3.0,0.0,3.0,0.0,1.0,3.0,0.0,8.0,0.0,1.0,6.0,4.0
hsa-let-7a-5p,10825.0,13935.0,17274.0,18416.0,10489.0,15816.0,15568.0,15127.0,18348.0,8436.0,11463.0,10590.0,14308.0,4805.0,16021.0,9870.0,7327.0,1155.0,1322.0,1390.0,1499.0,1415.0,2038.0,1629.0,1220.0,1897.0,1077.0,1409.0,1870.0,1745.0,612.0,1980.0,1665.0,1087.0
hsa-let-7b-3p,2.0,7.0,0.0,5.0,0.0,5.0,7.0,9.0,2.0,0.0,1.0,3.0,5.0,0.0,6.0,2.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-let-7b-5p,164.0,761.0,168.0,418.0,445.0,304.0,803.0,520.0,516.0,198.0,559.0,330.0,602.0,279.0,462.0,271.0,394.0,33.0,76.0,18.0,32.0,46.0,31.0,118.0,76.0,60.0,30.0,41.0,66.0,83.0,41.0,46.0,65.0,51.0
hsa-let-7c-5p,210.0,595.0,214.0,216.0,320.0,257.0,306.0,602.0,275.0,148.0,196.0,206.0,256.0,112.0,306.0,273.0,305.0,13.0,82.0,16.0,13.0,45.0,63.0,51.0,50.0,24.0,12.0,18.0,20.0,50.0,33.0,37.0,48.0,62.0
hsa-let-7d-3p,596.0,556.0,1183.0,1348.0,775.0,905.0,894.0,687.0,826.0,522.0,414.0,701.0,673.0,236.0,1053.0,974.0,663.0,67.0,70.0,115.0,130.0,119.0,129.0,110.0,65.0,67.0,106.0,50.0,152.0,86.0,30.0,149.0,170.0,106.0
hsa-let-7d-5p,568.0,727.0,972.0,792.0,393.0,959.0,838.0,688.0,965.0,642.0,696.0,710.0,961.0,376.0,534.0,390.0,313.0,74.0,81.0,72.0,80.0,65.0,122.0,82.0,71.0,99.0,88.0,85.0,123.0,107.0,45.0,74.0,60.0,46.0
hsa-let-7e-3p,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7e-5p,63.0,73.0,68.0,116.0,39.0,82.0,132.0,94.0,113.0,20.0,56.0,47.0,67.0,30.0,115.0,34.0,29.0,8.0,8.0,5.0,8.0,4.0,9.0,13.0,14.0,12.0,2.0,3.0,4.0,10.0,3.0,10.0,6.0,4.0
hsa-let-7f-1-3p,7.0,5.0,4.0,31.0,6.0,9.0,6.0,6.0,10.0,4.0,5.0,0.0,7.0,1.0,11.0,12.0,11.0,2.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0
hsa-let-7f-2-3p,17.0,9.0,5.0,33.0,19.0,11.0,6.0,11.0,6.0,7.0,15.0,0.0,36.0,2.0,12.0,16.0,3.0,3.0,2.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0
hsa-let-7f-5p,26100.0,27637.0,36699.0,47271.0,25433.0,30715.0,30975.0,34416.0,37919.0,18622.0,24773.0,21332.0,46270.0,9136.0,37453.0,22905.0,16193.0,2959.0,2864.0,2754.0,3804.0,3364.0,4184.0,3172.0,2864.0,3926.0,2307.0,2881.0,3585.0,5913.0,1148.0,4745.0,3616.0,2446.0
hsa-let-7g-3p,11.0,13.0,3.0,26.0,17.0,6.0,5.0,8.0,4.0,8.0,11.0,6.0,24.0,4.0,7.0,17.0,14.0,0.0,1.0,0.0,1.0,4.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,3.0,2.0
hsa-let-7g-5p,7398.0,7414.0,8029.0,10814.0,6904.0,10001.0,7715.0,8629.0,10111.0,5379.0,8418.0,6192.0,11739.0,3178.0,9571.0,6482.0,4734.0,856.0,727.0,612.0,857.0,915.0,1293.0,838.0,727.0,1013.0,703.0,1007.0,1003.0,1450.0,394.0,1164.0,1024.0,713.0
hsa-let-7i-3p,193.0,108.0,93.0,161.0,174.0,271.0,66.0,157.0,179.0,83.0,130.0,77.0,140.0,142.0,132.0,85.0,140.0,31.0,12.0,9.0,19.0,35.0,33.0,9.0,23.0,28.0,5.0,16.0,19.0,24.0,17.0,19.0,21.0,21.0
hsa-let-7i-5p,10829.0,8671.0,8966.0,13895.0,13321.0,13791.0,10112.0,13588.0,12910.0,8096.0,10816.0,8626.0,27763.0,4739.0,13255.0,9515.0,7302.0,1208.0,843.0,715.0,1092.0,1792.0,1704.0,1053.0,1131.0,1306.0,978.0,1282.0,1413.0,3504.0,623.0,1715.0,1510.0,1133.0
hsa-miR-1-3p,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-100-5p,68.0,35.0,31.0,127.0,35.0,83.0,51.0,55.0,70.0,8.0,13.0,8.0,238.0,5.0,48.0,19.0,12.0,7.0,8.0,4.0,12.0,2.0,9.0,10.0,4.0,11.0,0.0,0.0,2.0,36.0,1.0,4.0,5.0,2.0
hsa-miR-101-2-5p,1.0,0.0,3.0,12.0,8.0,2.0,6.0,1.0,3.0,1.0,2.0,1.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-101-3p,1930.0,1367.0,717.0,3382.0,2738.0,1593.0,1134.0,2106.0,1172.0,947.0,2261.0,1040.0,6306.0,442.0,1917.0,2215.0,1649.0,255.0,140.0,58.0,299.0,394.0,223.0,145.0,191.0,127.0,126.0,246.0,167.0,855.0,58.0,227.0,361.0,261.0
hsa-miR-101-5p,2.0,1.0,1.0,1.0,4.0,5.0,3.0,2.0,0.0,3.0,5.0,2.0,0.0,1.0,6.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
hsa-miR-10226,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10392-3p,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10392-5p,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
