miRNA,SRR3130770,SRR3130771,SRR3130772,SRR3130773,SRR3130774,SRR3130775,SRR3130776,SRR3130777,SRR3130778,SRR3130779,SRR3130780,SRR3130781,SRR3130782
hsa-let-7a-2-3p,0.0,0.0,23.96,0.0,0.0,0.0,62.13,32.39,32.46,0.0,0.0,7.25,0.0
hsa-let-7a-3p,43.35,67.59,23.96,71.5,49.07,43.14,0.0,0.0,32.46,0.0,0.0,7.25,0.0
hsa-let-7a-5p,0.0,45.06,23.96,35.75,49.07,172.56,124.26,161.93,162.31,21.65,43.5,43.51,71.39
hsa-let-7b-3p,0.0,45.06,0.0,35.75,49.07,129.42,62.13,32.39,0.0,0.0,0.0,7.25,0.0
hsa-let-7b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.8
hsa-let-7c-5p,0.0,0.0,0.0,35.75,0.0,0.0,0.0,32.39,0.0,21.65,0.0,7.25,0.0
hsa-let-7e-3p,86.71,0.0,47.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7e-5p,0.0,0.0,0.0,35.75,0.0,43.14,0.0,32.39,0.0,0.0,0.0,7.25,0.0
hsa-let-7f-5p,0.0,0.0,0.0,35.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7g-3p,0.0,0.0,0.0,0.0,49.07,0.0,0.0,0.0,0.0,21.65,0.0,0.0,0.0
hsa-let-7g-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25,0.0
hsa-let-7i-3p,0.0,0.0,23.96,71.5,0.0,0.0,0.0,0.0,0.0,0.0,21.75,0.0,23.8
hsa-let-7i-5p,0.0,90.12,95.85,107.25,0.0,0.0,62.13,161.93,97.39,0.0,21.75,72.52,23.8
hsa-miR-1-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.39,0.0,0.0,0.0,7.25,0.0
hsa-miR-100-5p,43.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-101-3p,0.0,67.59,0.0,35.75,0.0,43.14,0.0,32.39,32.46,64.96,21.75,14.5,118.99
hsa-miR-103a-3p,0.0,0.0,455.29,35.75,441.65,0.0,186.39,712.5,324.62,21.65,43.5,130.54,0.0
hsa-miR-10401-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.31,43.5,0.0,0.0
hsa-miR-106b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.39,0.0,0.0,0.0,0.0,0.0
hsa-miR-106b-5p,303.48,292.9,167.74,143.01,98.15,129.42,62.13,64.77,64.92,0.0,43.5,7.25,0.0
hsa-miR-107,173.42,90.12,71.89,35.75,0.0,0.0,0.0,0.0,32.46,0.0,0.0,0.0,0.0
hsa-miR-10a-3p,130.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10a-5p,43.35,90.12,0.0,0.0,49.07,0.0,62.13,32.39,32.46,0.0,0.0,0.0,0.0
hsa-miR-1180-3p,0.0,22.53,23.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1185-1-3p,0.0,0.0,0.0,0.0,0.0,43.14,62.13,0.0,0.0,0.0,0.0,0.0,0.0
