miRNA,GSM2208752,GSM2208753,GSM2208754,GSM2208755,GSM2208756
hsa-let-7a-3p,2.95,2.47,5.7,6.26,1.28
hsa-let-7a-5p,2816.2,1797.11,3525.53,1234.26,845.69
hsa-let-7b-3p,0.63,0.24,0.2,0.5,0.0
hsa-let-7b-5p,135.68,119.8,426.82,114.29,121.78
hsa-let-7c-3p,0.04,0.08,0.0,0.18,0.0
hsa-let-7c-5p,31.84,80.51,241.15,39.18,15.47
hsa-let-7d-3p,72.05,19.59,38.79,21.06,16.94
hsa-let-7d-5p,141.11,109.83,270.3,99.61,47.06
hsa-let-7e-5p,0.22,0.35,0.85,0.23,0.0
hsa-let-7f-1-3p,3.1,0.55,2.56,2.73,2.62
hsa-let-7f-2-3p,0.48,0.27,0.81,0.41,0.0
hsa-let-7f-5p,7360.59,3565.1,6309.9,4139.37,1824.18
hsa-let-7g-3p,0.11,0.12,0.24,0.12,0.0
hsa-let-7g-5p,2789.9,1526.49,3773.24,1809.52,686.24
hsa-let-7i-3p,0.26,0.0,1.22,0.47,0.0
hsa-let-7i-5p,1762.42,1350.0,2480.12,1319.77,662.63
hsa-miR-1-3p,0.22,0.08,0.57,0.06,0.0
hsa-miR-100-5p,0.89,1.37,4.11,1.03,0.98
hsa-miR-101-2-5p,0.37,0.08,0.12,0.15,0.0
hsa-miR-101-3p,61.83,27.52,73.6,106.01,42.09
hsa-miR-10393-3p,0.52,0.2,0.28,0.03,0.2
hsa-miR-10394-3p,1.36,0.51,0.94,0.29,0.1
hsa-miR-10394-5p,0.77,0.12,0.2,0.09,0.0
hsa-miR-10395-3p,1.36,3.89,3.58,1.47,0.2
hsa-miR-10395-5p,0.26,0.04,0.2,0.0,0.0
hsa-miR-10396a-3p,0.04,0.08,0.12,0.0,0.0
hsa-miR-10396b-3p,0.0,0.0,0.0,0.06,0.0
hsa-miR-10397-3p,0.15,0.0,0.08,0.0,0.0
hsa-miR-10398-3p,0.0,0.0,0.04,0.0,0.0
hsa-miR-10399-3p,8.15,3.81,3.75,5.93,4.22
hsa-miR-10399-5p,0.41,0.04,0.0,0.26,0.0
hsa-miR-103a-2-5p,0.0,0.04,0.08,0.06,0.0
hsa-miR-103a-3p,57.4,43.49,154.04,43.24,24.95
hsa-miR-10400-5p,0.0,0.0,0.04,0.0,0.0
hsa-miR-10401-3p,4.83,0.59,0.45,4.26,3.7
hsa-miR-10401-5p,0.0,0.0,0.0,0.12,0.0
hsa-miR-10526-3p,0.0,0.0,0.04,0.0,0.0
hsa-miR-10527-5p,0.3,0.12,0.28,0.06,0.1
hsa-miR-106a-3p,0.0,0.08,0.2,0.0,0.0
hsa-miR-106a-5p,1.11,1.37,0.24,0.73,0.07
hsa-miR-106b-3p,263.66,119.88,176.47,201.97,116.22
hsa-miR-106b-5p,13.06,12.05,28.5,32.72,5.1
hsa-miR-107,0.7,0.98,11.28,14.69,1.96
hsa-miR-10a-3p,0.37,0.04,0.24,0.0,0.0
hsa-miR-10a-5p,26.27,6.44,8.39,10.93,12.36
hsa-miR-10b-5p,5.05,6.48,12.62,4.61,1.96
hsa-miR-11401,0.18,0.0,0.16,0.41,0.0
hsa-miR-1179,0.22,0.0,0.0,0.0,0.0
hsa-miR-1180-3p,2.88,0.67,0.33,0.97,1.31
hsa-miR-1197,0.0,0.04,0.0,0.0,0.0
hsa-miR-1199-5p,0.11,0.0,0.0,0.0,0.0
hsa-miR-1207-5p,0.0,0.0,0.0,0.03,0.0
hsa-miR-12119,0.3,0.0,0.12,0.29,0.0
hsa-miR-12127,0.07,0.0,0.04,0.0,0.0
hsa-miR-12136,0.77,4.28,2.52,1.38,0.98
hsa-miR-122-5p,18.78,7.65,6.51,31.72,1.83
hsa-miR-1226-3p,0.26,0.12,0.33,0.12,0.0
hsa-miR-1227-3p,0.0,0.0,0.08,0.0,0.0
hsa-miR-1229-3p,0.22,0.04,0.2,0.09,0.0
hsa-miR-1233-3p,0.33,0.0,0.0,0.0,0.0
hsa-miR-1234-3p,0.0,0.0,0.04,0.0,0.0
hsa-miR-1236-5p,0.33,0.0,0.0,0.32,0.0
hsa-miR-1243,0.0,0.0,0.08,0.06,0.0
hsa-miR-1244,34.57,2.87,3.01,5.7,6.54
hsa-miR-1246,1334.38,128.6,509.01,3724.05,1413.38
hsa-miR-1247-5p,0.0,0.0,0.0,0.0,0.23
hsa-miR-1248,0.37,1.45,1.02,0.23,0.03
hsa-miR-1249-3p,0.85,0.35,0.65,0.44,0.03
hsa-miR-1249-5p,0.04,0.0,0.12,0.0,0.0
hsa-miR-1250-5p,0.63,0.79,0.53,0.7,0.1
hsa-miR-1255a,0.96,0.47,0.45,0.85,0.49
hsa-miR-1255b-5p,0.26,0.16,0.16,0.06,0.0
hsa-miR-125a-3p,0.0,0.0,0.37,0.12,0.0
hsa-miR-125a-5p,0.15,0.12,0.49,0.18,0.0
hsa-miR-125b-2-3p,0.0,0.24,0.45,0.15,0.0
hsa-miR-125b-5p,0.85,10.76,25.85,6.79,0.36
hsa-miR-126-3p,13.17,38.51,87.64,9.58,8.8
hsa-miR-126-5p,0.26,0.67,0.85,0.0,0.03
hsa-miR-1260a,0.07,0.0,0.08,0.03,0.03
hsa-miR-1260b,12.54,4.12,6.51,10.87,3.53
hsa-miR-1268a,41.5,3.45,10.05,29.64,8.86
hsa-miR-1268b,6.6,0.82,1.95,5.82,3.79
hsa-miR-127-3p,0.85,4.04,6.92,0.21,0.33
hsa-miR-127-5p,0.0,0.35,0.28,0.0,0.0
hsa-miR-1271-3p,0.0,0.0,0.0,0.09,0.0
hsa-miR-1271-5p,1.36,1.65,2.73,1.85,1.31
hsa-miR-1272,0.3,0.0,0.0,0.0,0.0
