miRNA,GSM2442624,GSM2442625,GSM2442626,GSM2442627,GSM2442628,GSM2442629,GSM2442630,GSM2442631,GSM2442632,GSM2442633
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.27,0.0
hsa-let-7a-3p,0.17,0.18,0.37,0.67,0.0,0.0,0.0,13.04,3.27,0.0
hsa-let-7a-5p,167.05,185.83,390.76,315.93,714.76,217.41,1690.24,1046.66,1639.33,651.95
hsa-let-7b-3p,0.0,0.0,0.12,0.0,13.36,25.09,0.0,0.0,0.0,0.0
hsa-let-7b-5p,16.65,16.02,63.76,59.5,33.4,37.63,302.97,224.98,346.15,124.99
hsa-let-7c-5p,4.25,4.27,20.48,16.28,20.04,0.0,15.95,179.33,45.72,13.51
hsa-let-7d-3p,4.59,3.38,13.66,13.36,26.72,112.89,105.24,32.61,52.25,10.13
hsa-let-7d-5p,24.81,23.5,57.18,57.48,73.48,58.53,153.08,71.73,231.86,33.78
hsa-let-7e-3p,0.0,0.0,0.0,0.11,13.36,4.18,0.0,0.0,0.0,0.0
hsa-let-7e-5p,9.35,8.72,18.65,15.72,66.8,12.54,47.84,107.6,140.42,74.32
hsa-let-7f-1-3p,0.0,0.0,0.49,0.34,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-2-3p,0.17,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-5p,595.13,582.41,1375.27,1188.96,968.6,204.87,3775.93,1389.02,3654.2,1016.78
hsa-let-7g-3p,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7g-5p,39.43,39.16,112.9,106.32,73.48,50.17,395.45,189.12,506.17,108.1
hsa-let-7i-3p,0.17,0.71,0.61,0.11,0.0,4.18,0.0,3.26,0.0,3.38
hsa-let-7i-5p,119.64,130.65,172.88,162.46,100.2,142.15,1451.05,498.87,1423.8,499.94
hsa-miR-100-3p,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,3.27,0.0
hsa-miR-100-5p,53.02,71.2,231.41,213.43,26.72,50.17,22.32,101.08,68.58,54.05
hsa-miR-101-3p,20.05,25.45,63.28,55.91,240.48,342.84,210.48,198.9,205.73,67.56
hsa-miR-101-5p,0.0,0.0,0.0,0.0,0.0,4.18,0.0,0.0,3.27,0.0
hsa-miR-10393-3p,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10394-3p,0.51,0.89,0.24,0.67,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10395-3p,1.53,2.14,0.61,0.79,0.0,0.0,0.0,0.0,3.27,0.0
hsa-miR-10395-5p,0.51,0.71,0.37,0.67,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10396a-3p,0.0,0.53,0.49,0.22,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10396a-5p,0.51,0.18,0.24,0.56,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10396b-3p,0.68,0.36,1.22,1.12,0.0,0.0,9.57,3.26,3.27,6.76
hsa-miR-10396b-5p,0.34,0.53,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10399-3p,0.0,0.18,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10399-5p,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-103a-3p,6.29,0.18,1.22,7.86,26.72,292.67,133.94,153.25,16.33,77.69
hsa-miR-10400-5p,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
