miRNA,GSM2481395,GSM2481396,GSM2481397,GSM2481398,GSM2481399,GSM2481400
hsa-let-7a-5p,714.76,59.73,472.76,217.41,189.58,176.88
hsa-let-7b-3p,13.36,0.0,0.0,25.09,0.0,0.0
hsa-let-7b-5p,33.4,11.95,17.09,37.63,40.21,23.9
hsa-let-7c-5p,20.04,0.0,11.39,0.0,17.23,0.0
hsa-let-7d-3p,26.72,11.95,39.87,112.89,103.4,71.71
hsa-let-7d-5p,73.48,11.95,56.96,58.53,11.49,9.56
hsa-let-7e-3p,13.36,0.0,0.0,4.18,0.0,0.0
hsa-let-7e-5p,66.8,0.0,45.57,12.54,22.98,19.12
hsa-let-7f-5p,968.6,0.0,899.96,204.87,178.09,181.66
hsa-let-7g-5p,73.48,0.0,96.83,50.17,40.21,28.68
hsa-let-7i-3p,0.0,0.0,0.0,4.18,5.74,0.0
hsa-let-7i-5p,100.2,0.0,51.26,142.15,114.89,47.81
hsa-miR-100-5p,26.72,0.0,11.39,50.17,63.19,38.24
hsa-miR-101-3p,240.48,0.0,102.53,342.84,229.79,148.2
hsa-miR-101-5p,0.0,0.0,0.0,4.18,0.0,0.0
hsa-miR-10394-3p,0.0,0.0,0.0,0.0,0.0,4.78
hsa-miR-103a-3p,26.72,0.0,62.66,292.67,5.74,14.34
hsa-miR-10401-3p,0.0,0.0,0.0,0.0,0.0,4.78
hsa-miR-106a-5p,0.0,0.0,0.0,8.36,0.0,0.0
hsa-miR-106b-3p,13.36,0.0,17.09,8.36,11.49,0.0
hsa-miR-106b-5p,13.36,0.0,0.0,4.18,11.49,4.78
hsa-miR-107,6.68,0.0,17.09,0.0,0.0,52.59
hsa-miR-10a-5p,1028.72,1170.65,1087.92,1049.42,1275.33,855.73
hsa-miR-10b-5p,1643.29,59.73,1327.15,1271.01,1574.05,984.8
hsa-miR-1180-3p,0.0,0.0,0.0,0.0,5.74,0.0
hsa-miR-122-5p,0.0,0.0,0.0,12.54,0.0,0.0
hsa-miR-1246,0.0,0.0,0.0,0.0,0.0,28.68
hsa-miR-1247-5p,0.0,0.0,0.0,0.0,5.74,0.0
hsa-miR-1249-3p,0.0,0.0,0.0,4.18,0.0,4.78
hsa-miR-125a-3p,0.0,0.0,5.7,0.0,0.0,0.0
hsa-miR-125a-5p,80.16,23.89,113.92,104.52,143.62,76.49
hsa-miR-125b-2-3p,26.72,23.89,5.7,20.9,5.74,4.78
hsa-miR-125b-5p,6.68,0.0,28.48,25.09,5.74,14.34
hsa-miR-126-3p,300.6,47.78,347.45,83.62,109.15,62.15
hsa-miR-126-5p,1309.29,11.95,979.7,401.37,287.24,157.76
hsa-miR-1262,0.0,0.0,0.0,0.0,5.74,0.0
hsa-miR-127-3p,0.0,11.95,0.0,0.0,0.0,0.0
hsa-miR-127-5p,6.68,0.0,0.0,0.0,0.0,0.0
hsa-miR-1270,0.0,0.0,0.0,4.18,0.0,0.0
hsa-miR-1275,0.0,0.0,0.0,4.18,0.0,0.0
hsa-miR-128-1-5p,0.0,0.0,0.0,0.0,5.74,0.0
hsa-miR-128-3p,46.76,0.0,11.39,25.09,40.21,0.0
hsa-miR-1283,6.68,0.0,17.09,4.18,22.98,0.0
hsa-miR-1285-3p,6.68,0.0,0.0,0.0,11.49,0.0
hsa-miR-1307-3p,0.0,0.0,0.0,0.0,5.74,0.0
