miRNA,GSM2832558,GSM2832559,GSM2832560,GSM2832561,GSM2832562,GSM2832563,GSM2832564
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.36
hsa-let-7a-3p,0.0,0.13,0.96,0.0,0.16,0.98,2.9
hsa-let-7a-5p,777.29,260.43,818.28,649.68,200.69,2278.64,2462.47
hsa-let-7b-3p,1.2,0.0,0.0,0.0,0.0,0.9,0.0
hsa-let-7b-5p,775.98,223.93,740.19,1088.65,227.11,2312.97,1655.93
hsa-let-7c-3p,0.0,0.0,0.0,0.0,0.11,0.0,0.0
hsa-let-7c-5p,8.52,3.77,10.16,27.69,5.05,322.08,55.34
hsa-let-7d-3p,50.35,14.67,26.53,22.78,5.43,56.64,51.17
hsa-let-7d-5p,60.76,24.35,59.33,52.35,15.42,155.19,212.67
hsa-let-7e-3p,0.23,0.0,0.0,0.7,0.0,0.0,0.0
hsa-let-7e-5p,13.67,4.86,22.24,13.22,6.18,71.02,73.27
hsa-let-7f-1-3p,0.0,0.04,0.0,0.05,0.0,0.08,0.0
hsa-let-7f-5p,763.67,258.13,689.3,340.3,138.8,1623.05,1775.99
hsa-let-7g-3p,0.0,0.17,0.0,0.0,0.16,0.0,0.0
hsa-let-7g-5p,266.32,81.77,234.0,146.65,43.24,519.52,515.76
hsa-let-7i-3p,0.0,0.04,0.3,0.11,0.0,0.0,0.71
hsa-let-7i-5p,675.57,189.44,521.61,303.17,90.19,772.7,1182.38
hsa-miR-1-3p,1.66,0.5,4.65,1.13,0.38,2.78,2.24
hsa-miR-100-5p,14.07,3.6,12.18,17.49,2.95,121.61,37.32
hsa-miR-101-3p,98.58,26.32,85.26,63.74,16.76,243.54,166.08
hsa-miR-10393-3p,0.0,0.0,0.66,0.0,0.0,0.0,0.0
hsa-miR-10393-5p,0.0,0.0,0.0,0.0,0.05,0.0,0.0
hsa-miR-10395-3p,0.8,0.0,0.25,0.0,0.0,0.49,0.81
hsa-miR-10399-3p,0.8,0.13,0.3,2.43,0.27,5.48,2.55
hsa-miR-103a-3p,45.6,13.54,36.59,16.35,7.04,45.77,115.47
hsa-miR-10401-3p,0.0,0.21,0.0,0.0,0.0,0.0,0.0
hsa-miR-106a-5p,0.0,0.13,0.0,0.54,0.05,1.39,2.95
hsa-miR-106b-3p,0.57,0.54,2.17,5.29,0.59,6.62,13.85
hsa-miR-106b-5p,0.46,0.13,0.86,0.59,0.16,3.11,4.07
hsa-miR-107,1.32,0.25,0.0,1.67,0.32,3.68,2.44
hsa-miR-10a-3p,1.03,0.17,0.91,0.0,0.0,0.74,0.81
hsa-miR-10a-5p,252.94,64.71,240.62,326.0,89.87,1272.12,577.83
hsa-miR-10b-3p,0.0,0.0,0.81,0.7,0.43,0.0,0.51
hsa-miR-10b-5p,311.41,75.48,339.98,497.91,112.32,1906.88,624.97
hsa-miR-11400,0.06,1.97,9.0,0.49,0.0,11.77,0.61
hsa-miR-11401,1.32,0.13,0.0,0.32,0.0,0.0,1.48
hsa-miR-1180-3p,1.14,0.0,0.56,1.4,0.05,2.53,2.14
hsa-miR-1185-1-3p,1.2,0.17,0.0,0.0,0.0,0.0,0.05
hsa-miR-1185-2-3p,0.0,0.0,0.0,0.16,0.0,0.0,0.0
hsa-miR-12118,0.0,0.0,0.0,0.0,0.0,0.0,0.05
hsa-miR-12136,0.0,0.0,0.0,0.05,0.0,0.0,0.0
hsa-miR-122-5p,69.34,0.17,54.89,112.37,20.41,865.71,15.02
hsa-miR-1226-3p,0.29,0.0,0.0,0.0,0.0,0.08,0.0
hsa-miR-1238-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.25
hsa-miR-124-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.66
hsa-miR-1244,0.0,0.0,0.0,0.0,0.0,0.0,0.41
hsa-miR-1246,0.0,0.0,0.25,0.16,0.05,2.37,1.32
hsa-miR-1249-3p,0.0,0.21,0.0,0.0,0.0,0.57,0.0
hsa-miR-1255a,0.0,0.0,0.0,0.27,0.0,0.33,0.41
hsa-miR-125a-3p,0.23,0.0,0.51,0.76,0.21,4.0,3.21
hsa-miR-125a-5p,44.91,10.35,35.58,56.13,11.82,178.49,100.96
hsa-miR-125b-1-3p,0.0,0.0,0.0,0.0,0.0,0.98,0.0
hsa-miR-125b-5p,5.84,1.22,4.7,8.15,3.06,36.78,15.68
hsa-miR-126-3p,1633.31,400.96,1471.04,1810.98,410.56,7393.69,4168.3
hsa-miR-126-5p,74.83,17.14,59.28,55.38,11.44,201.21,119.19
hsa-miR-1260a,0.0,0.0,0.0,0.0,0.0,0.0,0.1
hsa-miR-1260b,0.0,0.0,0.0,0.0,0.0,0.08,0.81
hsa-miR-1268a,0.0,0.0,0.0,0.11,0.0,0.0,0.0
hsa-miR-1268b,0.0,0.0,0.0,0.49,0.0,0.0,0.0
hsa-miR-127-3p,4.58,1.72,4.85,8.26,4.94,11.6,15.68
hsa-miR-127-5p,0.0,0.0,0.25,0.0,0.16,0.0,0.76
hsa-miR-1271-5p,0.0,0.29,0.1,0.0,0.0,0.57,0.0
hsa-miR-1273c,0.0,0.0,0.0,0.0,0.0,0.0,0.41
hsa-miR-1273h-3p,2.06,0.8,1.11,0.59,0.91,1.39,6.82
hsa-miR-1273h-5p,3.66,0.54,0.45,1.35,0.27,2.62,2.8
hsa-miR-1275,0.0,0.0,0.0,0.65,0.0,0.0,1.22
