miRNA,SRR6233838,SRR6233839,SRR6233840,SRR6233841,SRR6233842,SRR6233843
hsa-let-7a-2-3p,6.02,8.17,7.59,2.81,5.1,5.01
hsa-let-7a-3p,6.93,6.4,6.78,4.68,3.24,6.68
hsa-let-7a-5p,1320.42,1601.46,1661.53,2180.39,2355.67,4172.47
hsa-let-7b-3p,2.75,3.4,3.23,2.54,4.02,4.53
hsa-let-7b-5p,6684.51,7558.23,7674.48,6881.16,7126.02,11662.29
hsa-let-7c-3p,0.0,0.0,0.0,0.27,0.31,0.0
hsa-let-7c-5p,38.32,54.33,51.85,89.58,158.96,116.15
hsa-let-7d-3p,89.21,99.67,88.03,161.64,163.44,239.33
hsa-let-7d-5p,204.44,233.25,270.38,603.39,608.34,1073.47
hsa-let-7e-3p,16.74,19.47,18.25,15.91,15.6,19.91
hsa-let-7e-5p,560.61,644.34,690.32,1021.87,963.34,1618.79
hsa-let-7f-1-3p,3.14,1.91,1.94,2.41,2.63,1.67
hsa-let-7f-2-3p,0.92,0.54,0.81,1.07,0.46,1.43
hsa-let-7f-5p,1020.89,1457.53,1321.53,1836.78,1613.39,3159.35
hsa-let-7g-3p,1.31,1.63,1.45,1.34,1.54,2.62
hsa-let-7g-5p,924.49,1127.6,1141.12,922.93,970.6,1621.05
hsa-let-7i-3p,19.49,19.74,19.06,8.42,11.43,13.71
hsa-let-7i-5p,8449.78,13003.96,11422.32,8470.99,9168.09,13080.98
hsa-miR-1-3p,4.71,9.8,7.11,4.28,2.63,5.6
hsa-miR-100-3p,0.52,0.14,0.32,0.13,0.0,0.0
hsa-miR-100-5p,1420.61,1634.82,1589.65,1038.72,940.32,1314.47
hsa-miR-101-2-5p,0.26,0.0,0.32,0.0,0.15,0.0
hsa-miR-101-3p,104.9,130.18,122.27,124.34,104.27,161.94
hsa-miR-101-5p,0.0,0.0,0.0,0.4,0.0,0.24
hsa-miR-10394-3p,0.13,0.0,0.0,0.13,0.15,0.0
hsa-miR-10394-5p,0.0,0.0,0.0,0.4,0.0,0.0
hsa-miR-10395-3p,0.13,0.0,0.0,0.13,0.0,0.24
hsa-miR-10395-5p,0.0,0.14,0.16,0.4,0.0,0.0
hsa-miR-10396a-3p,0.0,0.41,0.16,0.0,0.46,0.48
hsa-miR-10396a-5p,0.26,0.14,0.81,0.4,0.31,0.12
hsa-miR-10396b-3p,4.05,2.31,2.26,2.67,1.7,0.83
hsa-miR-10396b-5p,0.0,0.0,0.48,0.13,0.15,0.36
hsa-miR-10398-3p,0.0,0.0,0.0,0.0,0.15,0.12
hsa-miR-10399-3p,0.13,1.09,1.29,1.2,1.39,1.67
hsa-miR-10399-5p,0.52,0.0,0.0,0.0,0.0,0.0
hsa-miR-103a-1-5p,0.0,0.0,0.0,0.0,0.0,0.36
hsa-miR-103a-2-5p,0.78,0.54,0.32,0.27,0.15,0.0
